"cluster_id","original_k","qc_final_k","original_n_studies","qc_final_n_studies","reason","anchor_key"
"group_L4_e2fc1731",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:biliary_atresia|liver"
"group_L4_a1837eb4",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|STR:breast|breast"
"group_L4_4c7aac46",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:breast_cancer_cell|breast"
"group_L4_40d9c293",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:breast_cancer_cell_line|breast"
"group_L4_bb656ab0",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:breast_cancer_tissue|breast"
"group_L4_9cf864dd",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:chronic_lymphocytic_leukemia_cll|blood"
"group_L4_268a3bc7",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:colon_cancer_cell_line|colon"
"group_L4_5ccfb53b",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:colon_cancer_organoids|colon"
"group_L4_2aa37291",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:colorectal_adenocarcinoma|colon"
"group_L4_ebb64d32",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:colorectal_cancer_cell_line|colon"
"group_L4_ac93fc14",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:colorectal_carcinoma_samples|colorectal carcinoma"
"group_L4_a4daa2ed",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:diagnosis|bone marrow"
"group_L4_9bd9a6eb",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:dukes_type_c|colon"
"group_L4_3c156cdb",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:esophageal_squamous_cell_carcinoma|esophagus"
"group_L4_7e69bff8",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:gastric_cancer_cell|stomach"
"group_L4_39435ea0",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:gastric_cancer_tissue|stomach"
"group_L4_c3d30385",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:gbm|brain"
"group_L4_663a38e9",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:glioblastoma|brain"
"group_L4_3c130f26",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:glioblastoma_grade_iv|brain"
"group_L4_07e9e5e0",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|STR:hcc|liver"
"group_L4_a0dba754",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:hepatocellular_carcinoma_cells|liver"
"group_L4_b5396d3a",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:high_grade_serous_ovarian_cancer|ovary"
"group_L4_1fa75cb5",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_bladder_cancer_cell_line_j82|bladder"
"group_L4_025fc839",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:human_breast_cancer|breast"
"group_L4_58521c12",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_breast_cancer_cells|breast"
"group_L4_5bf64e28",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_colon_cancer_cells|colon"
"group_L4_7ba4555f",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_esophageal_squamous_carcinoma_cells|esophagus"
"group_L4_2b1becdc",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_lung_cancer|lung"
"group_L4_2a8ed753",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_prostate_cancer|prostate"
"group_L4_2e503870",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:human_prostate_cancer_cell_line|prostate"
"group_L4_6430d3ec",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:human_prostate_cancer_cells|prostate"
"group_L4_839beaa9",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:idiopathic_pulmonary_arterial_hypertension_ipah|Pulmonary Artery"
"group_L4_1ef5c8a4",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:idiopathic_pulmonary_fibrosis|lung"
"group_L4_ee18c197",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|STR:lesional|skin"
"group_L4_66987a45",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:liver|liver"
"group_L4_8cf03ac0",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:liver_cancer_cells|liver"
"group_L4_e9610bf8",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:liver_tumor|liver"
"group_L4_28fbd4a8",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:lucap_23_1cr3_pdx_tumor|prostate"
"group_L4_d47442e5",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:lucap_93_pdx_tumor|prostate"
"group_L4_bfcb2127",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:lung|lung"
"group_L4_82709ed8",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:lung_cancer_cell_line|lung"
"group_L4_e4b54747",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:lung_cancer_cell_lines|lung"
"group_L4_524f6812",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:lung_cancer_cells|lung"
"group_L4_101e6cc8",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:lupus|blood"
"group_L4_7283b531",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|STR:mds|bone marrow"
"group_L4_9b0e4123",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:melanoma|Skin"
"group_L4_25d34c52",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:metastatic_melanoma|melanoma"
"group_L4_9e1601fd",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:multiple_myeloma|bone marrow"
"group_L4_d536b3e2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","disease_vs_normal|STR:multiple_sclerosis|blood"
"group_L4_efb3e7d8",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:nasopharyngeal_carcinoma|nasopharynx"
"group_L4_dfd2e66a",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:neuroblastoma|neuroblastoma"
"group_L4_b9529083",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:no_doxycycline|breast"
"group_L4_82bea798",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","disease_vs_normal|STR:non_small_cell_lung_cancer|lung"
"group_L4_47773575",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:non_small_cell_lung_cancer_cell_line|lung"
"group_L4_8fa5f712",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:ovarian_cancer_cell_line|ovary"
"group_L4_cbc2bb5d",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:ovarian_cancer_cells|ovary"
"group_L4_5e955ba2",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:pancreatic_cancer_cell_line|pancreas"
"group_L4_9e1d97f1",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","disease_vs_normal|STR:pancreatic_ductal_adenocarcinoma|pancreatic ductal adenocarcinoma"
