"cluster_id","original_k","qc_final_k","original_n_studies","qc_final_n_studies","reason","anchor_key"
"group_L4_f27e8765",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:17996|liver"
"group_L4_eec59690",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:229222|breast"
"group_L4_cde60936",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:230500|breast"
"group_L4_0a60093a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:230905|breast"
"group_L4_2be65894",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:23965|breast"
"group_L4_192308f2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:27388|kidney"
"group_L4_48a7ac19",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:27899|lung"
"group_L4_8e9663a4",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:27956|prostate"
"group_L4_f046b804",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:28908|lung"
"group_L4_3a693c63",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:3077|Lung"
"group_L4_75755a28",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:30971|cervix"
"group_L4_02a1fb3f",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:3139|prostate"
"group_L4_91ecebca",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:3202|blood"
"group_L4_0b0da25f",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:34200|stomach"
"group_L4_bed9a21a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:34202|lung"
"group_L4_bf11068a",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:34206|lung"
"group_L4_b407a670",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:34884|lung"
"group_L4_7df8baa3",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:38246|breast"
"group_L4_f551ef18",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:4031|skin"
"group_L4_55b36b9d",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:41879|liver"
"group_L4_6340cd97",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:45783|prostate"
"group_L4_f5237d66",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:4672|breast"
"group_L4_d0d96134",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:4911|lung"
"group_L4_be66e6a4",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:5070|lung"
"group_L4_fcce8b64",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:50756|lung"
"group_L4_2eff8462",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:50845|lung"
"group_L4_a63aca12",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:50924|liver"
"group_L4_3efa5b64",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:5094|lung"
"group_L4_83ba946d",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:50943|lung"
"group_L4_de455ecb",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:5516|lung"
"group_L4_ef26ead2",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:61727|prostate"
"group_L4_bfa882c9",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:63013|lung"
"group_L4_a7c031d0",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:63630|prostate"
"group_L4_2ebbe2c5",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:64310|lung"
"group_L4_a6a9c38c",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:6716|uterus"
"group_L4_024b2336",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:67271|prostate"
"group_L4_6c9197b2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:6801|adipose tissue"
"group_L4_cfef477d",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:68507|prostate"
"group_L4_a0968e80",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:71200|skin"
"group_L4_33d3da79",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:72317|prostate"
"group_L4_763d919a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:72564|brain"
"group_L4_716ab478",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:75529|ovary"
"group_L4_339e30ac",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:75597|skin"
"group_L4_4b1776e2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:75928|lung"
"group_L4_f79abfc2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:75929|lung"
"group_L4_beeb180f",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:79605|skin"
"group_L4_903688b3",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEBI:88512|skin"
"group_L4_f5ebd29b",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|CHEBI:88517|skin"
"group_L4_afb95686",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","small_molecule|CHEBI:9516|kidney"
"group_L4_32888f91",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|CHEMBL:CHEMBL3544911|ovary"
"group_L4_91e8bd63",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|HGNC:3301|prostate"
"group_L4_e3c95c99",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D000001|bone marrow"
"group_L4_af9449d3",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D000073|bone marrow"
"group_L4_573f3389",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D000090|brain"
"group_L4_04e48ccc",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|MeSH:D000939|bone marrow"
"group_L4_443e277e",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D000970|bone marrow"
"group_L4_8bc3006c",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|MeSH:D000981|bone marrow"
"group_L4_747b5560",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|MeSH:D000988|bone marrow"
"group_L4_ed38c507",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D000989|bone marrow"
"group_L4_1dd4cb98",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D003101|colon"
"group_L4_afe1d542",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|MeSH:D003473|colon"
"group_L4_6c671670",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D004002|breast"
"group_L4_a9163e5c",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D004202|kidney"
"group_L4_fafe4f06",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|MeSH:D005839|brain"
"group_L4_162333ac",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|MeSH:D005899|brain"
"group_L4_c554e453",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D005963|brain"
"group_L4_94b8a92a",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D005966|brain"
"group_L4_00d529e1",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D006835|liver"
"group_L4_5ae3b01a",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D011278|prostate"
"group_L4_9229aaeb",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D011279|prostate"
"group_L4_235d39a0",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|MeSH:D011384|prostate"
"group_L4_4d99f53c",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","small_molecule|STR:adalimumab|Blood"
"group_L4_f20a562d",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","small_molecule|STR:dmso|breast"
