"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"group_L3_8eefbc2d","RNASE1","genetic_knockout",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_8f0e9d3f",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_8f170dfc","lung adenocarcinoma cells","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_8f4d5b05","Arthritis, Rheumatoid","disease_vs_normal",3,3,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L3_8f7fbc95","10um of 1-s","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_8f98afa3",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_8f99b029",NA,"disease_vs_normal",5,5,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_8fe1b72b","Osteotomy","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_8ffa3d37",NA,"environmental",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_901a60aa","3D culture","environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_90546607",NA,"genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9055fc7e","BRCA1","genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_906b56b5",NA,"environmental",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_907f3dde","1-acylglycerol 22:4","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_908c45c1",NA,"environmental",8,8,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_90a9bffd","Neoplasms","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_90c046b8","D-cycloserine(1+)","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_90cd97f1",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9107d607","muricholic acids","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_91736a57","Hepatitis B virus","pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_91a43a7b","2H-azirine","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_91aaee00",NA,"disease_vs_normal",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_91c8c789","10-nitro-9E,12Z-octadecadienoic acid","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_91e31978",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_91f27934","hexanoate","pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9223c130",NA,"small_molecule",5,5,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_92279bd6",NA,"genetic_overexpression",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9247b032","Neoplasms","disease_vs_normal",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_929dcda6",NA,"disease_vs_normal",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_92a76bba","SNTA1","genetic_knockout",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_92ba1043",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_92bd0b2f","dT8","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_92d40d55",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_92fee449","Lung Neoplasms","disease_vs_normal",14,14,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L3_934909d5","esophageal squamous cell carcinoma","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_93a085df","Carcinoma, Squamous Cell","disease_vs_normal",4,4,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L3_93a4e55e","Digitalis","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_93ad2d69",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_93b4676c",NA,"environmental",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_93cc5adb",NA,"genetic_overexpression",5,5,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_93cc7df8",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_93f19e69","prostate cancer cell line","disease_vs_normal",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9415744a","e2+p4","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_94575b24",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_94701c06","sals","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9477530f","D-cycloserine(1+)","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9479a671",NA,"differentiation",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9485197e","influenza","pathogen_or_aggregate_exposure",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_948b29c4",NA,"small_molecule",21,21,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_94966de9","hbv","pathogen_or_aggregate_exposure",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_94a9e980","gastric tumor","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9520ce03","(Kdo)2-lipid A (E. coli)","genetic_overexpression",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9555ee5f","staurosporine","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_955cc9da","truss-guided prostatic biopsy of clinically advanced/metastatic prostate cancer tissue","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
