"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"pair_L4_8b913f51","nuli_5h","pathogen_or_aggregate_exposure",1,1,NA,"epithelial__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8bc072b2","chronic hbv","disease_vs_normal",1,1,NA,"PBMCs__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8beee874","patient 7 (glioblastoma), rna-seq of brain tumor tissue","disease_vs_normal",1,1,NA,"brain__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8bffe231",NA,"disease_vs_normal",1,1,NA,"Hepatoblastoma__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8c22edfc",NA,"disease_vs_normal",1,1,NA,"carotid__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8c4cd0c8","zika virus infection","pathogen_or_aggregate_exposure",1,1,NA,"iris__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8c4ce5b9",NA,"environmental",1,1,NA,"Foreskin__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8c5cdc4b","ribosomal L1 domain containing 1","genetic_knockdown",1,1,NA,"liver__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8c70c8ce","Death","environmental",1,1,NA,"Whole Blood__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8c92dda0","ifn-iii","cytokine_stim",1,1,NA,"ileum__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8c94e272","100ngpeptide","small_molecule",1,1,NA,"lung__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8ca69c57",NA,"pathogen_or_aggregate_exposure",1,1,NA,"monocytes (THP-1)__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8cb12a88","RPMI media","environmental",1,1,NA,"Blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
