"entity","kind","level","n_members","n_override","k_membri","k_eff_pre","k_eff_post","gain"
"MeSH:D001943","disease_vs_normal",2,7,6,48,3,3,0
"MeSH:D002289","disease_vs_normal",2,2,1,4,3,3,0
"MeSH:D002289","disease_vs_normal",0,2,1,4,3,3,0
"MeSH:D009369","disease_vs_normal",2,2,1,8,3,3,0
"MeSH:D009369","disease_vs_normal",1,2,1,8,3,3,0
"MeSH:D009369","disease_vs_normal",0,2,1,7,3,3,0
"MeSH:D010190","disease_vs_normal",4,5,4,39,3,3,0
"MeSH:D010300","disease_vs_normal",4,2,1,4,3,3,0
"MeSH:D010300","disease_vs_normal",3,2,1,4,3,3,0
"MeSH:D011471","disease_vs_normal",2,6,5,18,3,3,0
"MeSH:D003424","environmental",4,4,3,4,3,3,0
"MeSH:D003424","environmental",4,2,1,4,3,3,0
"MeSH:D010051","environmental",4,2,1,8,3,3,0
"CHEBI:84491","genetic_knockdown",2,2,1,9,3,3,0
"HGNC:1101","genetic_knockdown",4,2,1,14,3,3,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",2,8,7,6,3,3,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,3,2,3,3,3,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,3,2,5,3,3,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,4,3,5,3,3,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,3,2,5,3,3,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",2,2,1,3,3,3,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",1,2,1,3,3,3,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",0,2,1,3,3,3,0
"NCBITaxon:777","pathogen_or_aggregate_exposure",4,3,2,3,3,3,0
"CHEBI:231601","small_molecule",4,5,4,5,3,3,0
"HGNC:11892","cytokine_stim",4,2,1,3,2,2,0
"MeSH:D000077192","disease_vs_normal",4,8,7,37,2,2,0
"MeSH:D000077192","disease_vs_normal",1,2,1,6,2,2,0
"MeSH:D000077195","disease_vs_normal",4,3,2,5,2,2,0
"MeSH:D000077195","disease_vs_normal",3,3,2,5,2,2,0
"MeSH:D001943","disease_vs_normal",4,2,1,10,2,2,0
"MeSH:D001943","disease_vs_normal",2,4,3,7,2,2,0
"MeSH:D001943","disease_vs_normal",2,3,2,16,2,2,0
"MeSH:D001943","disease_vs_normal",1,4,3,7,2,2,0
"MeSH:D001943","disease_vs_normal",0,4,3,7,2,2,0
"MeSH:D001943","disease_vs_normal",1,7,6,38,2,2,0
"MeSH:D001943","disease_vs_normal",0,6,5,32,2,2,0
"MeSH:D001943","disease_vs_normal",1,3,2,13,2,2,0
"MeSH:D003865","disease_vs_normal",4,2,1,3,2,2,0
"MeSH:D003865","disease_vs_normal",3,2,1,3,2,2,0
"MeSH:D005355","disease_vs_normal",4,2,1,3,2,2,0
"MeSH:D006528","disease_vs_normal",3,2,1,4,2,2,0
"MeSH:D007680","disease_vs_normal",3,7,6,12,2,2,0
"MeSH:D008113","disease_vs_normal",4,2,1,8,2,2,0
"MeSH:D011471","disease_vs_normal",4,2,1,31,2,2,0
"MeSH:D011471","disease_vs_normal",1,5,4,17,2,2,0
"MeSH:D011471","disease_vs_normal",0,4,3,10,2,2,0
"MeSH:D015470","disease_vs_normal",4,2,1,17,2,2,0
"CHEBI:16412","environmental",4,2,1,11,2,2,0
"MeSH:D001749","environmental",4,2,1,5,2,2,0
"MeSH:D014612","environmental",4,2,1,4,2,2,0
"MeSH:D015212","environmental",4,2,1,3,2,2,0
"MeSH:D015212","environmental",3,2,1,3,2,2,0
"CHEBI:84491","genetic_knockdown",1,2,1,6,2,2,0
"CHEBI:84491","genetic_knockdown",0,2,1,3,2,2,0
"MeSH:D011471","genetic_overexpression",4,2,1,14,2,2,0
"CHEBI:16412","pathogen_or_aggregate_exposure",3,2,1,7,2,2,0
"CHEBI:16412","pathogen_or_aggregate_exposure",2,2,1,5,2,2,0
"NCBITaxon:10376","pathogen_or_aggregate_exposure",3,2,1,4,2,2,0
"NCBITaxon:10407","pathogen_or_aggregate_exposure",2,2,1,3,2,2,0
"NCBITaxon:10407","pathogen_or_aggregate_exposure",3,2,1,9,2,2,0
"NCBITaxon:10407","pathogen_or_aggregate_exposure",3,3,2,6,2,2,0
"NCBITaxon:1313","pathogen_or_aggregate_exposure",3,2,1,7,2,2,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",3,4,3,13,2,2,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",1,2,1,5,2,2,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",0,2,1,5,2,2,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",1,3,2,6,2,2,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",0,3,2,6,2,2,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",2,2,1,5,2,2,0
"NCBITaxon:37296","pathogen_or_aggregate_exposure",4,2,1,3,2,2,0
"CHEBI:16469","small_molecule",2,2,1,3,2,2,0
"CHEBI:175901","small_molecule",3,2,1,5,2,2,0
"CHEBI:231601","small_molecule",3,2,1,3,2,2,0
"CHEBI:27899","small_molecule",3,4,3,5,2,2,0
"CHEBI:28748","small_molecule",3,3,2,4,2,2,0
"CHEBI:45924","small_molecule",1,2,1,3,2,2,0
"CHEBI:45924","small_molecule",0,2,1,3,2,2,0
"CHEBI:63637","small_molecule",4,2,1,10,2,2,0
"CHEBI:63637","small_molecule",3,2,1,8,2,2,0
"CHEBI:68534","small_molecule",2,2,1,6,2,2,0
"HGNC:5438","cytokine_stim",4,4,3,5,1,1,0
"HGNC:5438","cytokine_stim",4,2,1,3,1,1,0
"HGNC:5438","cytokine_stim",4,2,1,5,1,1,0
"HGNC:5438","cytokine_stim",2,2,1,3,1,1,0
"HGNC:5438","cytokine_stim",3,3,2,3,1,1,0
"HGNC:5438","cytokine_stim",3,2,1,5,1,1,0
"MeSH:D022781","differentiation",4,2,1,9,1,1,0
"MeSH:D022781","differentiation",3,2,1,6,1,1,0
"MeSH:D000077192","disease_vs_normal",2,2,1,4,1,1,0
"MeSH:D000077192","disease_vs_normal",2,6,5,4,1,1,0
"MeSH:D000077192","disease_vs_normal",2,2,1,3,1,1,0
"MeSH:D000077192","disease_vs_normal",3,3,2,12,1,1,0
"MeSH:D000077192","disease_vs_normal",3,3,2,4,1,1,0
"MeSH:D000077192","disease_vs_normal",1,2,1,4,1,1,0
"MeSH:D000077192","disease_vs_normal",1,6,5,4,1,1,0
"MeSH:D000077192","disease_vs_normal",0,2,1,4,1,1,0
"MeSH:D000077192","disease_vs_normal",0,6,5,3,1,1,0
"MeSH:D000077195","disease_vs_normal",3,3,2,5,1,1,0
"MeSH:D000077195","disease_vs_normal",3,2,1,4,1,1,0
"MeSH:D000544","disease_vs_normal",4,2,1,3,1,1,0
"MeSH:D001943","disease_vs_normal",4,2,1,14,1,1,0
"MeSH:D001943","disease_vs_normal",2,2,1,6,1,1,0
"MeSH:D001943","disease_vs_normal",3,9,8,78,1,1,0
"MeSH:D001943","disease_vs_normal",3,2,1,4,1,1,0
"MeSH:D001943","disease_vs_normal",3,2,1,5,1,1,0
"MeSH:D001943","disease_vs_normal",0,2,1,3,1,1,0
"MeSH:D002289","disease_vs_normal",3,6,5,18,1,1,0
"MeSH:D003093","disease_vs_normal",4,2,1,4,1,1,0
"MeSH:D003110","disease_vs_normal",4,7,6,24,1,1,0
"MeSH:D003110","disease_vs_normal",3,3,2,5,1,1,0
"MeSH:D005706","disease_vs_normal",4,2,1,3,1,1,0
"MeSH:D006528","disease_vs_normal",4,3,2,6,1,1,0
"MeSH:D006528","disease_vs_normal",3,7,6,42,1,1,0
"MeSH:D006528","disease_vs_normal",3,12,11,47,1,1,0
"MeSH:D006528","disease_vs_normal",2,2,1,5,1,1,0
"MeSH:D006528","disease_vs_normal",3,3,2,6,1,1,0
"MeSH:D006528","disease_vs_normal",2,2,1,4,1,1,0
"MeSH:D006528","disease_vs_normal",1,2,1,5,1,1,0
"MeSH:D006528","disease_vs_normal",1,2,1,4,1,1,0
"MeSH:D006528","disease_vs_normal",0,2,1,4,1,1,0
"MeSH:D008175","disease_vs_normal",4,2,1,6,1,1,0
"MeSH:D008180","disease_vs_normal",4,2,1,4,1,1,0
"MeSH:D008180","disease_vs_normal",2,2,1,3,1,1,0
"MeSH:D009369","disease_vs_normal",4,2,1,3,1,1,0
"MeSH:D009369","disease_vs_normal",3,2,1,3,1,1,0
"MeSH:D009369","disease_vs_normal",2,2,1,4,1,1,0
"MeSH:D009369","disease_vs_normal",2,4,3,6,1,1,0
"MeSH:D009369","disease_vs_normal",1,2,1,4,1,1,0
"MeSH:D009369","disease_vs_normal",1,4,3,6,1,1,0
"MeSH:D009369","disease_vs_normal",0,2,1,4,1,1,0
"MeSH:D009369","disease_vs_normal",0,4,3,5,1,1,0
"MeSH:D010051","disease_vs_normal",4,3,2,3,1,1,0
"MeSH:D010051","disease_vs_normal",3,3,2,29,1,1,0
"MeSH:D010051","disease_vs_normal",3,3,2,3,1,1,0
"MeSH:D010190","disease_vs_normal",4,3,2,4,1,1,0
"MeSH:D010190","disease_vs_normal",4,2,1,7,1,1,0
"MeSH:D010190","disease_vs_normal",4,2,1,5,1,1,0
"MeSH:D010190","disease_vs_normal",3,2,1,3,1,1,0
"MeSH:D011471","disease_vs_normal",3,8,7,63,1,1,0
"MeSH:D011471","disease_vs_normal",2,2,1,9,1,1,0
"MeSH:D011471","disease_vs_normal",2,2,1,16,1,1,0
"MeSH:D011471","disease_vs_normal",1,2,1,9,1,1,0
"MeSH:D011471","disease_vs_normal",1,2,1,12,1,1,0
"MeSH:D011471","disease_vs_normal",0,2,1,8,1,1,0
"MeSH:D015179","disease_vs_normal",4,5,4,8,1,1,0
"MeSH:D015179","disease_vs_normal",4,9,8,11,1,1,0
"MeSH:D015179","disease_vs_normal",4,2,1,6,1,1,0
"MeSH:D015179","disease_vs_normal",4,2,1,4,1,1,0
"MeSH:D015179","disease_vs_normal",3,2,1,8,1,1,0
"MeSH:D015179","disease_vs_normal",2,4,3,5,1,1,0
"MeSH:D015179","disease_vs_normal",3,3,2,13,1,1,0
"MeSH:D015179","disease_vs_normal",3,4,3,5,1,1,0
"MeSH:D015179","disease_vs_normal",3,2,1,6,1,1,0
"MeSH:D015179","disease_vs_normal",3,2,1,4,1,1,0
"MeSH:D015179","disease_vs_normal",1,4,3,5,1,1,0
"MeSH:D015212","disease_vs_normal",4,2,1,3,1,1,0
"MeSH:D015451","disease_vs_normal",4,6,5,10,1,1,0
"MeSH:D015451","disease_vs_normal",4,3,2,3,1,1,0
"MeSH:D015451","disease_vs_normal",3,6,5,10,1,1,0
"MeSH:D015470","disease_vs_normal",4,4,3,5,1,1,0
"MeSH:D015470","disease_vs_normal",3,2,1,3,1,1,0
"MeSH:D015470","disease_vs_normal",3,3,2,4,1,1,0
"MeSH:D015470","disease_vs_normal",3,2,1,10,1,1,0
"MeSH:D015470","disease_vs_normal",2,3,2,6,1,1,0
"MeSH:D015470","disease_vs_normal",1,3,2,6,1,1,0
"MeSH:D015470","disease_vs_normal",0,3,2,6,1,1,0
"MeSH:D016403","disease_vs_normal",4,4,3,4,1,1,0
"MeSH:D016403","disease_vs_normal",4,2,1,4,1,1,0
"MeSH:D016403","disease_vs_normal",3,4,3,4,1,1,0
"MeSH:D016403","disease_vs_normal",3,2,1,4,1,1,0
"MeSH:D016889","disease_vs_normal",4,3,2,13,1,1,0
"MeSH:D016889","disease_vs_normal",3,2,1,8,1,1,0
"MeSH:D029424","disease_vs_normal",4,2,1,9,1,1,0
"MeSH:D029424","disease_vs_normal",2,2,1,3,1,1,0
"MeSH:D029424","disease_vs_normal",3,2,1,7,1,1,0
"MeSH:D029424","disease_vs_normal",1,2,1,3,1,1,0
"MeSH:D029424","disease_vs_normal",0,2,1,3,1,1,0
"MeSH:D046152","disease_vs_normal",4,3,2,3,1,1,0
"MeSH:D054198","disease_vs_normal",4,2,1,5,1,1,0
"MeSH:D054198","disease_vs_normal",3,2,1,7,1,1,0
"MeSH:D054198","disease_vs_normal",3,2,1,5,1,1,0
"MeSH:D064726","disease_vs_normal",3,18,17,9,1,1,0
"CHEBI:16412","environmental",3,2,1,3,1,1,0
"CHEBI:17026","environmental",4,4,3,4,1,1,0
"CHEBI:50114","environmental",3,2,1,3,1,1,0
"CHEBI:60156","environmental",4,2,1,5,1,1,0
"CHEBI:60156","environmental",3,2,1,5,1,1,0
"MeSH:D001749","environmental",3,2,1,4,1,1,0
"MeSH:D011471","environmental",3,2,1,5,1,1,0
"MeSH:D011471","environmental",3,4,3,5,1,1,0
"MeSH:D014466","environmental",2,2,1,3,1,1,0
"MeSH:D059951","environmental",4,2,1,4,1,1,0
"MeSH:D059951","environmental",2,2,1,4,1,1,0
"MeSH:D059951","environmental",3,2,1,4,1,1,0
"CHEBI:84491","genetic_knockdown",2,2,1,9,1,1,0
"CHEBI:84491","genetic_knockdown",1,2,1,8,1,1,0
"HGNC:1101","genetic_knockdown",4,3,2,3,1,1,0
"HGNC:1101","genetic_knockdown",3,2,1,5,1,1,0
"HGNC:28866","genetic_knockdown",4,2,1,3,1,1,0
"HGNC:28866","genetic_knockdown",3,2,1,3,1,1,0
"HGNC:6407","genetic_knockdown",4,2,1,5,1,1,0
"HGNC:6407","genetic_knockdown",3,2,1,5,1,1,0
"HGNC:8620","genetic_knockdown",4,2,1,3,1,1,0
"MeSH:D011471","genetic_knockdown",3,2,1,7,1,1,0
"HGNC:613","genetic_overexpression",4,2,1,4,1,1,0
"MeSH:D006528","genetic_overexpression",3,2,1,6,1,1,0
"MeSH:D006528","genetic_overexpression",2,2,1,4,1,1,0
"MeSH:D011471","genetic_overexpression",3,2,1,5,1,1,0
"CHEBI:16412","pathogen_or_aggregate_exposure",1,2,1,3,1,1,0
"CHEBI:16412","pathogen_or_aggregate_exposure",0,2,1,3,1,1,0
"MeSH:D008175","pathogen_or_aggregate_exposure",4,2,1,5,1,1,0
"NCBITaxon:10407","pathogen_or_aggregate_exposure",2,2,1,3,1,1,0
"NCBITaxon:10407","pathogen_or_aggregate_exposure",1,2,1,3,1,1,0
"NCBITaxon:10566","pathogen_or_aggregate_exposure",4,9,8,5,1,1,0
"NCBITaxon:10566","pathogen_or_aggregate_exposure",3,8,7,3,1,1,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",3,2,1,6,1,1,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,4,3,3,1,1,0
"NCBITaxon:5476","pathogen_or_aggregate_exposure",4,2,1,4,1,1,0
"CHEBI:16330","small_molecule",3,2,1,5,1,1,0
"CHEBI:16330","small_molecule",2,2,1,3,1,1,0
"CHEBI:16330","small_molecule",1,2,1,3,1,1,0
"CHEBI:16330","small_molecule",0,2,1,3,1,1,0
"CHEBI:231598","small_molecule",4,2,1,3,1,1,0
"CHEBI:28748","small_molecule",4,2,1,4,1,1,0
"CHEBI:41774","small_molecule",3,2,1,3,1,1,0
"CHEBI:4911","small_molecule",4,2,1,4,1,1,0
"CHEBI:4911","small_molecule",3,2,1,3,1,1,0
"CHEBI:68534","small_molecule",1,2,1,4,1,1,0
"CHEBI:68534","small_molecule",0,2,1,3,1,1,0
"MeSH:D050417","differentiation",4,2,1,4,0,0,0
"MeSH:D050417","differentiation",3,2,1,4,0,0,0
"MeSH:D000077192","disease_vs_normal",4,3,2,6,0,0,0
"MeSH:D000077192","disease_vs_normal",4,6,5,8,0,0,0
"MeSH:D000077192","disease_vs_normal",2,2,1,17,0,0,0
"MeSH:D000077192","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D000077192","disease_vs_normal",2,9,8,23,0,0,0
"MeSH:D000077192","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D000077192","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D000077192","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D000077192","disease_vs_normal",3,2,1,5,0,0,0
"MeSH:D000077192","disease_vs_normal",3,3,2,14,0,0,0
"MeSH:D000077192","disease_vs_normal",3,15,14,68,0,0,0
"MeSH:D000077192","disease_vs_normal",3,3,2,9,0,0,0
"MeSH:D000077192","disease_vs_normal",2,3,2,4,0,0,0
"MeSH:D000077192","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D000077192","disease_vs_normal",2,2,1,7,0,0,0
"MeSH:D000077192","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D000077192","disease_vs_normal",3,3,2,3,0,0,0
"MeSH:D000077192","disease_vs_normal",1,2,1,14,0,0,0
"MeSH:D000077192","disease_vs_normal",0,2,1,8,0,0,0
"MeSH:D000077192","disease_vs_normal",1,7,6,17,0,0,0
"MeSH:D000077192","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D000077192","disease_vs_normal",0,3,2,8,0,0,0
"MeSH:D000077192","disease_vs_normal",0,5,4,9,0,0,0
"MeSH:D000077192","disease_vs_normal",1,3,2,3,0,0,0
"MeSH:D000077192","disease_vs_normal",1,2,1,4,0,0,0
"MeSH:D000077192","disease_vs_normal",0,2,1,4,0,0,0
"MeSH:D000077192","disease_vs_normal",1,2,1,6,0,0,0
"MeSH:D000077195","disease_vs_normal",4,2,1,6,0,0,0
"MeSH:D000077195","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D000077195","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D000077273","disease_vs_normal",3,2,1,8,0,0,0
"MeSH:D001172","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D001749","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D001749","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D001943","disease_vs_normal",4,5,4,9,0,0,0
"MeSH:D001943","disease_vs_normal",4,3,2,4,0,0,0
"MeSH:D001943","disease_vs_normal",4,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",4,3,2,3,0,0,0
"MeSH:D001943","disease_vs_normal",4,4,3,4,0,0,0
"MeSH:D001943","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D001943","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",3,3,2,7,0,0,0
"MeSH:D001943","disease_vs_normal",3,4,3,20,0,0,0
"MeSH:D001943","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",2,5,4,17,0,0,0
"MeSH:D001943","disease_vs_normal",2,3,2,5,0,0,0
"MeSH:D001943","disease_vs_normal",2,2,1,13,0,0,0
"MeSH:D001943","disease_vs_normal",2,2,1,19,0,0,0
"MeSH:D001943","disease_vs_normal",3,4,3,6,0,0,0
"MeSH:D001943","disease_vs_normal",3,6,5,7,0,0,0
"MeSH:D001943","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D001943","disease_vs_normal",3,3,2,3,0,0,0
"MeSH:D001943","disease_vs_normal",3,7,6,7,0,0,0
"MeSH:D001943","disease_vs_normal",3,2,1,6,0,0,0
"MeSH:D001943","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",1,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",0,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D001943","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D001943","disease_vs_normal",1,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",0,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",1,5,4,14,0,0,0
"MeSH:D001943","disease_vs_normal",0,5,4,12,0,0,0
"MeSH:D001943","disease_vs_normal",1,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",1,2,1,16,0,0,0
"MeSH:D001943","disease_vs_normal",0,2,1,15,0,0,0
"MeSH:D001943","disease_vs_normal",1,2,1,4,0,0,0
"MeSH:D001943","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D002289","disease_vs_normal",4,3,3,3,0,0,0
"MeSH:D002289","disease_vs_normal",2,3,2,5,0,0,0
"MeSH:D002289","disease_vs_normal",3,3,2,3,0,0,0
"MeSH:D002289","disease_vs_normal",1,3,2,4,0,0,0
"MeSH:D002289","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D002292","disease_vs_normal",4,4,3,5,0,0,0
"MeSH:D002292","disease_vs_normal",3,5,4,7,0,0,0
"MeSH:D002292","disease_vs_normal",3,3,2,5,0,0,0
"MeSH:D002292","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D003093","disease_vs_normal",4,2,1,3,0,0,0
"MeSH:D003093","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D003110","disease_vs_normal",4,2,1,3,0,0,0
"MeSH:D003110","disease_vs_normal",3,3,2,7,0,0,0
"MeSH:D003110","disease_vs_normal",3,2,1,8,0,0,0
"MeSH:D003424","disease_vs_normal",4,3,2,3,0,0,0
"MeSH:D006528","disease_vs_normal",4,2,1,3,0,0,0
"MeSH:D006528","disease_vs_normal",4,2,1,3,0,0,0
"MeSH:D006528","disease_vs_normal",4,3,3,3,0,0,0
"MeSH:D006528","disease_vs_normal",3,3,2,5,0,0,0
"MeSH:D006528","disease_vs_normal",2,5,4,16,0,0,0
"MeSH:D006528","disease_vs_normal",2,3,2,6,0,0,0
"MeSH:D006528","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D006528","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D006528","disease_vs_normal",3,9,8,24,0,0,0
"MeSH:D006528","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D006528","disease_vs_normal",0,2,1,5,0,0,0
"MeSH:D006528","disease_vs_normal",1,4,3,13,0,0,0
"MeSH:D006528","disease_vs_normal",0,3,2,10,0,0,0
"MeSH:D006528","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D006528","disease_vs_normal",1,3,2,5,0,0,0
"MeSH:D006528","disease_vs_normal",0,3,2,4,0,0,0
"MeSH:D006528","disease_vs_normal",1,2,1,4,0,0,0
"MeSH:D006528","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D006528","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D010051","disease_vs_normal",4,2,1,3,0,0,0
"MeSH:D010051","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D010051","disease_vs_normal",2,2,1,6,0,0,0
"MeSH:D010051","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D010051","disease_vs_normal",1,2,1,6,0,0,0
"MeSH:D010051","disease_vs_normal",0,2,1,4,0,0,0
"MeSH:D011471","disease_vs_normal",4,2,1,3,0,0,0
"MeSH:D011471","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D011471","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D011471","disease_vs_normal",3,2,1,8,0,0,0
"MeSH:D011471","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D011471","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D011471","disease_vs_normal",2,2,1,8,0,0,0
"MeSH:D011471","disease_vs_normal",2,2,1,5,0,0,0
"MeSH:D011471","disease_vs_normal",3,17,16,7,0,0,0
"MeSH:D011471","disease_vs_normal",3,6,5,7,0,0,0
"MeSH:D011471","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D011471","disease_vs_normal",2,3,2,4,0,0,0
"MeSH:D011471","disease_vs_normal",2,3,2,4,0,0,0
"MeSH:D011471","disease_vs_normal",3,2,1,6,0,0,0
"MeSH:D011471","disease_vs_normal",3,3,2,6,0,0,0
"MeSH:D011471","disease_vs_normal",1,2,1,4,0,0,0
"MeSH:D011471","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D011471","disease_vs_normal",0,2,1,4,0,0,0
"MeSH:D011471","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D011471","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D011471","disease_vs_normal",0,2,1,8,0,0,0
"MeSH:D011471","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D011471","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D011471","disease_vs_normal",1,2,1,8,0,0,0
"MeSH:D011471","disease_vs_normal",0,2,1,4,0,0,0
"MeSH:D011471","disease_vs_normal",1,2,1,5,0,0,0
"MeSH:D011471","disease_vs_normal",1,3,2,4,0,0,0
"MeSH:D011471","disease_vs_normal",0,3,2,4,0,0,0
"MeSH:D012512","disease_vs_normal",4,2,1,3,0,0,0
"MeSH:D015179","disease_vs_normal",4,3,2,5,0,0,0
"MeSH:D015179","disease_vs_normal",4,5,4,8,0,0,0
"MeSH:D015179","disease_vs_normal",4,5,4,9,0,0,0
"MeSH:D015179","disease_vs_normal",4,3,2,3,0,0,0
"MeSH:D015179","disease_vs_normal",3,3,2,7,0,0,0
"MeSH:D015179","disease_vs_normal",3,3,2,4,0,0,0
"MeSH:D015179","disease_vs_normal",3,2,1,4,0,0,0
"MeSH:D015179","disease_vs_normal",3,4,3,4,0,0,0
"MeSH:D015179","disease_vs_normal",3,2,1,8,0,0,0
"MeSH:D015179","disease_vs_normal",3,7,6,5,0,0,0
"MeSH:D015179","disease_vs_normal",2,3,2,24,0,0,0
"MeSH:D015179","disease_vs_normal",2,5,4,25,0,0,0
"MeSH:D015179","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D015179","disease_vs_normal",3,2,1,5,0,0,0
"MeSH:D015179","disease_vs_normal",3,3,2,4,0,0,0
"MeSH:D015179","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D015179","disease_vs_normal",3,4,3,3,0,0,0
"MeSH:D015179","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D015179","disease_vs_normal",0,4,3,4,0,0,0
"MeSH:D015179","disease_vs_normal",1,3,2,21,0,0,0
"MeSH:D015179","disease_vs_normal",0,3,2,18,0,0,0
"MeSH:D015179","disease_vs_normal",1,5,4,23,0,0,0
"MeSH:D015179","disease_vs_normal",0,3,2,13,0,0,0
"MeSH:D015179","disease_vs_normal",0,3,2,10,0,0,0
"MeSH:D015179","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D015464","disease_vs_normal",4,3,2,3,0,0,0
"MeSH:D015464","disease_vs_normal",3,3,2,3,0,0,0
"MeSH:D015470","disease_vs_normal",4,2,1,3,0,0,0
"MeSH:D015470","disease_vs_normal",4,5,4,7,0,0,0
"MeSH:D015470","disease_vs_normal",2,3,2,4,0,0,0
"MeSH:D015470","disease_vs_normal",2,2,1,3,0,0,0
"MeSH:D015470","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D015470","disease_vs_normal",3,2,1,3,0,0,0
"MeSH:D015470","disease_vs_normal",1,3,2,4,0,0,0
"MeSH:D015470","disease_vs_normal",1,2,1,3,0,0,0
"MeSH:D015470","disease_vs_normal",0,3,2,4,0,0,0
"MeSH:D015470","disease_vs_normal",0,2,1,3,0,0,0
"MeSH:D016889","disease_vs_normal",2,2,1,4,0,0,0
"MeSH:D016889","disease_vs_normal",1,2,1,4,0,0,0
"MeSH:D016889","disease_vs_normal",0,2,1,4,0,0,0
"MeSH:D016889","disease_vs_normal",0,2,1,4,0,0,0
"MeSH:D018281","disease_vs_normal",4,3,3,3,0,0,0
"MeSH:D054198","disease_vs_normal",4,5,4,5,0,0,0
"MeSH:D054198","disease_vs_normal",3,5,4,5,0,0,0
"MeSH:D054429","disease_vs_normal",2,3,3,3,0,0,0
"MeSH:D054429","disease_vs_normal",1,3,3,3,0,0,0
"MeSH:D055752","disease_vs_normal",4,3,2,8,0,0,0
"MeSH:D055752","disease_vs_normal",3,2,1,5,0,0,0
