"entity","kind","level","n_members","n_override","k_membri","k_eff_pre","k_eff_post","gain"
"MeSH:D006528","disease_vs_normal",1,4,3,6,1,3,2
"MeSH:D006528","disease_vs_normal",0,4,3,6,1,3,2
"MeSH:D011839","environmental",3,2,1,5,1,3,2
"MeSH:D011471","genetic_knockdown",4,3,2,11,1,3,2
"NCBITaxon:10358","pathogen_or_aggregate_exposure",4,6,5,3,1,3,2
"CHEBI:16412","small_molecule",4,5,4,4,1,3,2
"CHEBI:28748","small_molecule",3,4,3,5,1,3,2
"MeSH:D003865","disease_vs_normal",4,4,4,3,0,2,2
"MeSH:D003865","disease_vs_normal",3,4,4,3,0,2,2
"MeSH:D003928","disease_vs_normal",3,3,2,3,0,2,2
"MeSH:D006528","disease_vs_normal",2,5,4,3,0,2,2
"MeSH:D006528","disease_vs_normal",1,5,4,3,0,2,2
"MeSH:D006528","disease_vs_normal",0,5,4,3,0,2,2
"MeSH:D015179","disease_vs_normal",2,4,3,4,0,2,2
"MeSH:D015179","disease_vs_normal",1,4,3,4,0,2,2
"MeSH:D015179","disease_vs_normal",0,4,3,4,0,2,2
"MeSH:D015212","disease_vs_normal",4,7,6,7,0,2,2
"MeSH:D003922","environmental",4,5,5,4,0,2,2
"NCBITaxon:11320","pathogen_or_aggregate_exposure",4,4,3,4,0,2,2
"NCBITaxon:12814","pathogen_or_aggregate_exposure",3,12,11,3,0,2,2
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,7,7,3,0,2,2
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",2,7,7,3,0,2,2
"CHEBI:229764","small_molecule",4,3,2,3,0,2,2
"CHEBI:31638","small_molecule",3,3,2,5,0,2,2
"CHEBI:45863","small_molecule",4,3,3,3,0,2,2
"CHEBI:45863","small_molecule",3,3,3,3,0,2,2
"CHEBI:4672","small_molecule",4,3,2,3,0,2,2
"CHEBI:747353","small_molecule",4,4,3,3,0,2,2
"NCBITaxon:1773","pathogen_or_aggregate_exposure",4,12,11,58,25,26,1
"MeSH:D015470","disease_vs_normal",4,10,9,97,17,18,1
"MeSH:D015470","disease_vs_normal",3,10,9,68,15,16,1
"CHEBI:379896","small_molecule",4,2,1,19,14,15,1
"MeSH:D003876","disease_vs_normal",4,2,1,45,12,13,1
"MeSH:D003110","environmental",4,2,1,36,12,13,1
"MeSH:D003876","disease_vs_normal",3,2,1,44,11,12,1
"MeSH:D006528","environmental",4,2,1,48,9,10,1
"MeSH:D002311","disease_vs_normal",3,4,3,13,7,8,1
"MeSH:D009369","disease_vs_normal",4,2,1,21,7,8,1
"MeSH:D011471","disease_vs_normal",3,17,16,62,7,8,1
"MeSH:D003865","environmental",4,3,2,20,7,8,1
"MeSH:D003865","environmental",3,3,2,20,7,8,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,5,4,13,7,8,1
"MeSH:D003922","disease_vs_normal",4,4,3,10,6,7,1
"MeSH:D003922","disease_vs_normal",3,2,1,9,6,7,1
"MeSH:D000077195","disease_vs_normal",4,4,3,13,5,6,1
"MeSH:D000077195","disease_vs_normal",3,3,2,9,5,6,1
"MeSH:D003424","disease_vs_normal",4,5,4,10,5,6,1
"MeSH:D003424","disease_vs_normal",3,4,3,9,5,6,1
"MeSH:D006528","disease_vs_normal",4,7,6,38,5,6,1
"MeSH:D009369","disease_vs_normal",3,2,1,15,5,6,1
"MeSH:D015470","environmental",4,4,3,10,5,6,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,3,2,8,5,6,1
"CHEBI:16469","small_molecule",4,4,3,16,5,6,1
"MeSH:D001172","disease_vs_normal",4,5,4,14,4,5,1
"MeSH:D001172","disease_vs_normal",3,4,3,10,4,5,1
"MeSH:D006528","disease_vs_normal",3,3,2,21,4,5,1
"MeSH:D010051","disease_vs_normal",3,10,9,24,4,5,1
"NCBITaxon:3052230","pathogen_or_aggregate_exposure",3,3,2,14,4,5,1
"CHEBI:16469","small_molecule",4,3,2,6,4,5,1
"HGNC:11892","cytokine_stim",4,3,2,6,3,4,1
"MeSH:D001943","disease_vs_normal",4,2,1,5,3,4,1
"MeSH:D006528","disease_vs_normal",2,2,1,8,3,4,1
"MeSH:D006528","disease_vs_normal",1,2,1,8,3,4,1
"MeSH:D006528","disease_vs_normal",0,2,1,8,3,4,1
"MeSH:D015212","disease_vs_normal",4,4,3,11,3,4,1
