"cluster_id","kind","mode","n_studies","agent_id_resolved","canonical_name","n_members","n_members_resolved","n_named_diseases","n_named_compounds","n_distinct_ids","distinct_id_sample","is_minestrone"
"group_L3_d7371b8c","small_molecule","group",2,"UNK",NA,21,21,0,3,3,"STR:mg001|STR:mg004|STR:rs504393",TRUE
"group_L3_d7444001","pathogen_or_aggregate_exposure","group",3,"UNK",NA,18,18,0,0,0,"",FALSE
"group_L3_d7a08548","small_molecule","group",4,"UNK",NA,10,10,0,3,3,"STR:jq1_treatment|STR:line_1_antisense_oligonucleotide|STR:pu_1_inhibitor_db1976",TRUE
"group_L3_d7ad5197","small_molecule","group",2,"CHEBI:16240","hydrogen peroxide",6,6,0,2,2,"STR:100um_h2o2_for_4_h|STR:150_m_h2o2",TRUE
"group_L3_d7ccc206","small_molecule","group",2,"UNK",NA,27,27,0,0,0,"",FALSE
"group_L3_d807396d","disease_vs_normal","group",5,"UNK",NA,271,271,9,0,9,"STR:als_spectrum_mnd|STR:essential_tremor|STR:msa|STR:msa_c|STR:msa_p",TRUE
"group_L3_d80912a5","disease_vs_normal","group",2,"UNK",NA,10,10,2,0,2,"MeSH:D003876|STR:psoriasis_patient_treated_with_ustekinumab",TRUE
"group_L3_d8398b51","disease_vs_normal","group",3,"UNK",NA,7,7,2,0,2,"STR:cervical_cancer_cells|STR:cervix_adenocarcinoma",TRUE
"group_L3_d852c273","small_molecule","group",2,"UNK",NA,12,12,0,4,4,"STR:3_h_drb_0_min_4su|STR:3_h_drb_4_min_4su|STR:3_h_drb_8_min_4su|STR:brd9_inhibitor",TRUE
"group_L3_d87aeac4","disease_vs_normal","group",2,"UNK",NA,6,6,0,0,0,"",FALSE
"group_L3_d8b8151f","pathogen_or_aggregate_exposure","group",2,"UNK",NA,89,89,0,0,0,"",FALSE
"group_L3_d91af656","small_molecule","group",32,"UNK",NA,124,124,0,33,33,"CHEBI:124921|CHEBI:176335|CHEBI:7959|HGNC:LOX|STR:1_3_mer_transfected",TRUE
"group_L3_d9284c57","small_molecule","group",2,"UNK",NA,23,23,0,0,0,"",FALSE
"group_L3_d950fc56","disease_vs_normal","group",2,"UNK",NA,8,8,2,0,2,"STR:gallbladder|STR:gallblader_cancer",TRUE
"group_L3_d951266a","disease_vs_normal","group",5,"UNK",NA,34,34,0,0,0,"",FALSE
"group_L3_d9513676","pathogen_or_aggregate_exposure","group",2,"UNK",NA,18,18,0,3,3,"STR:mcf10a_ev|STR:mcf10a_mir_105_ev|STR:mda_mb_231_ev",TRUE
"group_L3_da27797f","small_molecule","group",2,"CHEBI:16635","Met-tRNA<small><sup>Met</small></sup>",4,4,0,1,1,"STR:plus_tgf",FALSE
"group_L3_da477bbf","small_molecule","group",2,"CHEBI:61727","2-decenal",15,15,0,11,11,"CHEBI:145365|CHEBI:145417|CHEBI:167686|CHEBI:177536|CHEBI:231358",TRUE
"group_L3_da63f45b","pathogen_or_aggregate_exposure","group",4,"UNK",NA,21,21,0,6,6,"STR:ama1|STR:csp|STR:hbs|STR:mtb|STR:t_gondii_strain_pru",TRUE
"group_L3_daa247f4","disease_vs_normal","group",13,"UNK",NA,164,164,10,0,10,"MeSH:D000077273|MeSH:D009369|MeSH:D013964|STR:laryngeal_cancer_without_thyroid_lesions|STR:non_medullary_thyroid_carcinoma_tissue",TRUE
"group_L3_dabb9270","disease_vs_normal","group",2,"UNK",NA,1,1,0,0,0,"",FALSE
"group_L3_dac48f86","disease_vs_normal","group",2,"UNK",NA,2,2,1,0,1,"STR:crpc_metastasis",FALSE
