series	n_sc	n_total	frac_sc	role	geo	libsrc	title	src
GSE239626	6	26	0.230769230769231	SC	GSM7669052	transcriptomic single cell	Patient Placebo N2 M3, GEX	Blood
GSE239626	6	26	0.230769230769231	SC	GSM7669054	transcriptomic single cell	Patient Placebo N3 J0, GEX	Blood
GSE239626	6	26	0.230769230769231	BULK	GSM7669047	other	Patient Placebo N1 J0, ADT	Blood
GSE239626	6	26	0.230769230769231	BULK	GSM7669049	other	Patient Placebo N1 M3, ADT	Blood
GSE180059	3	13	0.230769230769231	SC	GSM6470050	transcriptomic single cell	FT3, GEX	ÏÎ´ thymocytes
GSE180059	3	13	0.230769230769231	SC	GSM6470053	transcriptomic single cell	FT4, GEX	ÏÎ´ thymocytes
GSE180059	3	13	0.230769230769231	BULK	GSM5451964	transcriptomic	FT1, GEX	ÏÎ´ thymocytes
GSE180059	3	13	0.230769230769231	BULK	GSM5451965	transcriptomic	FT2, GEX	ÏÎ´ thymocytes
GSE239750	3	15	0.2	SC	GSM7670893	transcriptomic single cell	tonsil tissue-TS-GEX	tonsil from Tonsilitis patients
GSE239750	3	15	0.2	SC	GSM7670898	transcriptomic single cell	tonsil tissue-SE-GEX	tonsil from Tonsilitis patients
GSE239750	3	15	0.2	BULK	GSM7670880	transcriptomic	Human Tregs, BATF KO, rep1	Cord blood PBMC
GSE239750	3	15	0.2	BULK	GSM7670881	transcriptomic	Human Tregs, BATF KO, rep2	Cord blood PBMC
GSE243665	1	5	0.2	SC	GSM7793690	transcriptomic single cell	gene expression library 1	cell line, PBMC
GSE243665	1	5	0.2	BULK	GSM7793694	other	cell multiplexing library 1	CMOs library
GSE243665	1	5	0.2	BULK	GSM7793695	other	cell multiplexing library 2	CMOs library
GSE252114	1	5	0.2	SC	GSM8002870	transcriptomic single cell	scRNA-seq (10X) of D6 Spounateneous Blastoids	blastoids
GSE252114	1	5	0.2	BULK	GSM8002709	transcriptomic	RNA-seq of TJ 1# C-hnESC replicate 1	TJ 1# C-hnESC
GSE252114	1	5	0.2	BULK	GSM8002710	transcriptomic	RNA-seq of TJ 1# C-hnESC replicate 2	TJ 1# C-hnESC
GSE216731	2	15	0.133333333333333	SC	GSM6862354	transcriptomic single cell	Human_scRNA-seq_K297_APC	Tumor
GSE216731	2	15	0.133333333333333	SC	GSM6862355	transcriptomic single cell	Human_scRNA-seq_K416_APC	Tumor
GSE216731	2	15	0.133333333333333	BULK	GSM6689656	transcriptomic	Naive1	PBMC
GSE216731	2	15	0.133333333333333	BULK	GSM6689657	transcriptomic	Naive2	PBMC
GSE185991,GSE185993	4	31	0.129032258064516	SC	GSM6412448	transcriptomic single cell	PT11D30	BMMC (Bone marrow mononuclear cells)
GSE185991,GSE185993	4	31	0.129032258064516	SC	GSM6412452	transcriptomic single cell	PT18D14	BMMC (Bone marrow mononuclear cells)
GSE185991,GSE185993	4	31	0.129032258064516	BULK	GSM5628163	transcriptomic	PT01DX (M03)	BMMC (Bone marrow mononuclear cells)
GSE185991,GSE185993	4	31	0.129032258064516	BULK	GSM5628164	transcriptomic	PT01DX (M04)	BMMC (Bone marrow mononuclear cells)
GSE233413	2	16	0.125	SC	GSM7427191	transcriptomic single cell	scRNAseq, S3_Hepatoblast1	Hepatoblast1
GSE233413	2	16	0.125	SC	GSM7427192	transcriptomic single cell	scRNAseq, S4_Hepatoblast2	Hepatoblast2
GSE233413	2	16	0.125	BULK	GSM7427179	transcriptomic	RNAseq, C13_CiPSC_0409-C16	CiPSC
GSE233413	2	16	0.125	BULK	GSM7427180	transcriptomic	RNAseq, C14_CiPSC_0409-C19	CiPSC
GSE223071	1	8	0.125	SC	GSM6939188	transcriptomic single cell	Patient 12 Product mRNA	NKTs
GSE223071	1	8	0.125	BULK	GSM6939208	other	Patient 1, 2, 3 Product TCR	NKTs
GSE223071	1	8	0.125	BULK	GSM6939209	other	Patient 2, 4, 5, 6  Product TCR	NKTs
GSE253235	2	17	0.117647058823529	SC	GSM8136369	transcriptomic single cell	ParasymN_1	WA09
GSE253235	2	17	0.117647058823529	SC	GSM8136370	transcriptomic single cell	ParasymN_2	WA09
GSE253235	2	17	0.117647058823529	BULK	GSM8016827	transcriptomic	Neural crest cells from H9 hPSCs, day 10, biol rep 1	WA09
GSE253235	2	17	0.117647058823529	BULK	GSM8016828	transcriptomic	Neural crest cells from H9 hPSCs, day 10, biol rep 2	WA09
GSE157329	7	75	0.0933333333333333	SC	GSM6454897	transcriptomic single cell	Emb.03-trunk, scRNAseq	embryo trunk
GSE157329	7	75	0.0933333333333333	SC	GSM6454898	transcriptomic single cell	Emb.03-viscera, scRNAseq	embryo viscera
GSE157329	7	75	0.0933333333333333	BULK	GSM4761447	transcriptomic	embryo1-tail_viscera-2	embryo1-lower trunk and viscera
GSE157329	7	75	0.0933333333333333	BULK	GSM4761450	transcriptomic	embryo2-head-1	embryo2-head
GSE213972	1	14	0.0714285714285714	SC	GSM7211502	transcriptomic single cell	D25 NLW50 Ctrl	hESC
GSE213972	1	14	0.0714285714285714	BULK	GSM6597221	transcriptomic	Sample_2234-JES-1, Day21	Kidney organoid
GSE213972	1	14	0.0714285714285714	BULK	GSM6597222	transcriptomic	Sample_2234-JES-2, Day25	Kidney organoid
GSE175521,GSE216225	1	15	0.0666666666666667	SC	GSM6663198	transcriptomic single cell	single cell rna seq by 10x Genomics V3 R159_A1	primary human CD34+ hematopoietic stem and progenitor cells
GSE175521,GSE216225	1	15	0.0666666666666667	BULK	GSM6663184	transcriptomic	bulk rna sequence HSPC_d5-1	primary human CD34+ hematopoietic stem and progenitor cells
GSE175521,GSE216225	1	15	0.0666666666666667	BULK	GSM6663185	transcriptomic	bulk rna sequence HSPC_d7-1	primary human CD34+ hematopoietic stem and progenitor cells
GSE145862	2	33	0.0606060606060606	SC	GSM6444430	transcriptomic single cell	1h_inf_with_Staph	Human monocytes derived macrophages
GSE145862	2	33	0.0606060606060606	SC	GSM6444431	transcriptomic single cell	hashtags_1h_inf_with_Staph	Human monocytes derived macrophages
GSE145862	2	33	0.0606060606060606	BULK	GSM4338126	transcriptomic	4h_inf_with_GBS_donor_A	Human monocytes derived macrophages
GSE145862	2	33	0.0606060606060606	BULK	GSM4338127	transcriptomic	4h_inf_donor_A	Human monocytes derived macrophages
