series	n_sc	n_total	frac_sc	role	geo	libsrc	title	src
GSE199378	5	11	0.454545454545455	BULK	GSM6038244	other	Monocyte-derived M1 macrophages (D1) [AB-LIB]	Monocyte-derived macrophages
GSE199378	5	11	0.454545454545455	BULK	GSM6038246	other	Monocyte-derived M2a macrophages (D1) [AB-LIB]	Monocyte-derived macrophages
GSE240361	2	5	0.4	SC	GSM7696769	transcriptomic single cell	Baseline CD8+ T cells, cDNA	RNA
GSE240361	2	5	0.4	SC	GSM7696771	transcriptomic single cell	On- and post-treatment pHLA tetramer+ CD8+ T cells, cDNA	RNA
GSE240361	2	5	0.4	BULK	GSM7696770	other	Baseline CD8+ T cells, HTO	HTO
GSE240361	2	5	0.4	BULK	GSM7696772	other	On- and post-treatment pHLA tetramer+ CD8+ T cells, HTO	HTO
GSE250077	2	5	0.4	SC	GSM7973580	transcriptomic single cell	Library_3_Gene_Expression [36-1]	bone marrow
GSE250077	2	5	0.4	SC	GSM7973582	transcriptomic single cell	Library_4_Gene_Expression [37-1]	bone marrow
GSE250077	2	5	0.4	BULK	GSM7973579	other	Library_1_Multiplexing_Capture [32-2]	bone marrow
GSE250077	2	5	0.4	BULK	GSM7973581	other	Library_3_Multiplexing_Capture [36-2]	bone marrow
