cluster_id	method	n_total	n_drop_a1	n_drop_a2	n_drop_a3_scprob	n_drop_a3_libsize	n_drop_union_sc	frac_sc
pair_L1_73c4641a	mega_aug	12	0	0	0	0	0	0
pair_L1_74c680e1	mega_aug	10	0	0	0	0	0	0
pair_L1_77a6bd19	mega_aug	8	0	0	0	0	0	0
pair_L1_a440cd3d	mega_aug	44	0	0	0	0	0	0
pair_L1_e3121ea2	mega_aug	20	0	0	0	0	0	0
pair_L1_f38e0e6a	mega_aug	15	0	0	0	0	0	0
pair_L1_f5c3369a	mega_aug	15	0	0	0	0	0	0
pair_L2_01ce2d65	mega_aug	20	0	20	0	0	20	1
pair_L2_0ee944ab	mega_aug	12	0	0	0	0	0	0
pair_L2_10124068	mega_aug	10	0	0	0	0	0	0
pair_L2_167f04f0	mega_aug	23	0	0	0	0	0	0
pair_L2_1882bc74	mega_aug	24	0	18	0	0	18	0.75
pair_L2_1b897350	mega_aug	24	0	24	0	0	24	1
pair_L2_1ce3140e	mega_aug	8	0	0	0	0	0	0
pair_L2_27cf95e7	mega_aug	22	0	0	0	0	0	0
pair_L2_31496eff	mega_aug	12	0	0	0	0	0	0
pair_L2_35b87529	mega_aug	12	0	0	0	0	0	0
pair_L2_3a854b15	mega_aug	27	0	0	0	0	0	0
pair_L2_3ce85e50	mega_aug	4	0	0	0	0	0	0
pair_L2_3e3c0051	mega_aug	13	0	0	0	0	0	0
pair_L2_619b0b43	mega_aug	14	0	0	0	0	0	0
pair_L2_657be365	mega_aug	12	0	0	0	0	0	0
pair_L2_6b845b65	mega_aug	20	0	0	0	0	0	0
pair_L2_6ed8d507	mega_aug	16	0	0	0	0	0	0
pair_L2_71347562	mega_aug	12	0	0	0	0	0	0
pair_L2_71ca2be9	mega_aug	6	0	0	0	0	0	0
pair_L2_79336b23	mega_aug	11	0	0	0	0	0	0
pair_L2_79b33a16	mega_aug	15	0	0	0	0	0	0
pair_L2_82f249bc	mega_aug	11	0	0	0	0	0	0
pair_L2_84eb91d2	mega_aug	47	0	0	0	0	0	0
pair_L2_901c795a	mega_aug	12	0	0	0	0	0	0
pair_L2_980087ca	mega_aug	15	0	0	0	0	0	0
pair_L2_9897d664	mega_aug	22	0	0	0	0	0	0
pair_L2_9ab317bb	mega_aug	10	0	0	0	0	0	0
pair_L2_9e563519	mega_aug	11	0	0	0	0	0	0
pair_L2_a0de1ad5	mega_aug	14	0	0	0	0	0	0
pair_L2_a28b250f	mega_aug	5	0	0	0	0	0	0
pair_L2_adc4a832	mega_aug	44	0	0	0	0	0	0
pair_L2_b41e52bd	mega_aug	18	0	0	0	0	0	0
pair_L2_bcdbd023	mega_aug	20	0	0	0	0	0	0
pair_L2_ca516916	mega_aug	13	0	0	0	0	0	0
pair_L2_d3d107dd	mega_aug	20	0	0	0	0	0	0
pair_L2_f9295981	mega_aug	12	0	0	0	0	0	0
pair_L2_f970e999	mega_aug	22	0	0	0	0	0	0
