cluster_id	method	n_total	n_drop_a1	n_drop_a2	n_drop_a3_scprob	n_drop_a3_libsize	n_drop_union_sc	frac_sc
pair_L4_c93ebecc	mega_aug	14	0	8	0	0	8	0.571428571428571
pair_L4_c96a98c0	mega_aug	12	0	0	0	0	0	0
pair_L4_cc1560b0	mega_aug	10	0	0	0	0	0	0
pair_L4_cd4537e6	mega_aug	6	0	0	0	0	0	0
pair_L4_cd8e80d8	mega_aug	12	0	0	0	0	0	0
pair_L4_cf1049a9	mega_aug	8	0	0	0	0	0	0
pair_L4_cf5f6b94	mega_aug	13	0	0	0	0	0	0
pair_L4_d0b3b1d5	mega_aug	13	0	0	0	0	0	0
pair_L4_d13ac874	mega_aug	15	0	0	0	0	0	0
pair_L4_d51b2f0d	mega_aug	12	0	0	0	0	0	0
pair_L4_da3a6847	mega_aug	6	0	0	0	0	0	0
pair_L4_e21c5ed5	mega_aug	10	0	0	0	0	0	0
pair_L4_e473da3b	mega_aug	23	0	0	0	0	0	0
pair_L4_e4d3e220	mega_aug	6	0	0	0	0	0	0
pair_L4_e57639ec	mega_aug	68	0	68	0	0	68	1
pair_L4_e69db19e	mega_aug	12	0	0	0	0	0	0
pair_L4_e7a236dd	mega_aug	21	0	0	0	0	0	0
pair_L4_e7ae7503	mega_aug	22	0	0	0	0	0	0
pair_L4_e89a2c93	mega_aug	12	0	0	0	0	0	0
pair_L4_e89dff76	mega_aug	15	0	0	0	0	0	0
pair_L4_e8e42ed8	mega_aug	12	0	0	0	0	0	0
pair_L4_e9d1550b	mega_aug	4	0	0	0	0	0	0
pair_L4_eb096420	mega_aug	12	0	0	0	0	0	0
pair_L4_f183fcc2	mega_aug	12	0	0	0	0	0	0
pair_L4_f3a84e3c	mega_aug	22	0	0	0	0	0	0
pair_L4_f3bd8b87	mega_aug	24	0	18	0	0	18	0.75
pair_L4_f68ffdbf	mega_aug	9	0	0	0	0	0	0
pair_L4_f7181f49	mega_aug	15	0	0	0	0	0	0
pair_L4_f78dd1f0	mega_aug	7	0	0	0	0	0	0
pair_L4_fadb36f5	mega_aug	14	0	0	0	0	0	0
pair_L4_fb559664	mega_aug	11	0	0	0	0	0	0
pair_L4_fd31360a	mega_aug	4	0	0	0	0	0	0
pair_L4_fd802b79	mega_aug	33	0	0	0	0	0	0
