rank	size	normalized	example_raw	example_geo	example_series
30	5	braries generated for sequencing was carried out on illumina sequencer based on smart seq2 protocol rna libraries were prepared for sequencing using standard illumina pro	braries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol.,RNA libraries were prepared for sequencing using standard Illumina pro	GSM4091775	GSE137897
31	5	cdna was generated from facs sorted cells using to smart seq2 picelli et al nature methods 2013 nextera xt dna sample preparation index kit	cDNA was generated from FACS sorted cells using to Smart-seq2 (Picelli et al. Nature Methods 2013),Nextera XT DNA Sample Preparation Index Kit	GSM1810544	GSE70580
32	5	d enrichment with roche nimblegen seqcap libraries were prepared following the smart seq2 protocol libraries were pooled in 288 or 384 plexes and each pool sequenced on	d enrichment with Roche NimbleGen SeqCap.,Libraries were prepared following the Smart-Seq2 protocol. Libraries were pooled in 288- or 384-plexes and each pool sequenced on	GSM4775819	GSE157835,GSE168634
33	5	ed into lysis buffer whole transcriptome amplification was performed using the smart seq2 protocol picelli et al 2013 but using 5ul of a modified rt buffer containin	ed into lysis buffer.,Whole transcriptome amplification was performed using the smart-seq2 protocol (Picelli et al., 2013), but using 5uL of a modified RT buffer containin	GSM2289403	GSE75478
34	5	miltenyi biotec and filtered using 100âµm smarterstrainers miltenyi biotec smart seq2 for single cell rna seq human fallopian tube scrna seq benign donors sc b1	(Miltenyi Biotec) and filtered using 100Âµm SmarterStrainers (Miltenyi Biotec).,SMART-seq2 for single-cell RNA-seq || human fallopian tube scRNA-seq (benign donors) [sc_b1	GSM4129964	GSE139079
35	5	miltenyi biotec and filtered using 100âµm smarterstrainers miltenyi biotec smart seq2 for single cell rna seq human fallopian tube scrna seq benign donors sc b2	(Miltenyi Biotec) and filtered using 100Âµm SmarterStrainers (Miltenyi Biotec).,SMART-seq2 for single-cell RNA-seq || human fallopian tube scRNA-seq (benign donors) [sc_b2	GSM4129231	GSE139079
36	5	quencing using the single cell mrna seq protocol provided by fluidigm clontech smart seq v4 kit for fluidigm c1 and illumina nextera xt dna library preparation kit were	quencing using the single-cell mRNA-Seq protocol provided by Fluidigm. Clontech SMART-Seq v4 kit for Fluidigm C1 and Illumina Nextera XT DNA Library Preparation kit were 	GSM4052710	GSE136610
37	5	the single cell rna seq library preparation was adapted from the original smart seq 2 protocol single cells were facs sorted into a 96 well pcr plate followed by l	The single-cell RNA-Seq library preparation was adapted from the original SMART Seq-2 protocol. Single-cells were FACS sorted into a 96-well PCR plate followed by l	GSM2526776	GSE95837,GSE96045
38	4	cing libraries from 192 single cd34 cells per donor were produced based on the smart seq2 protocol of picelli et al 2014 and the tagmentation procedure of henning et al	cing libraries from 192 single CD34+ cells per donor were produced based on the smart-seq2 protocol of Picelli et al. 2014 and the tagmentation procedure of Henning et al.	GSM3161154	GSE114961,GSE115353
39	4	eparation the method for single cell cdna library making has been adapted from smartseq2 for full length rnaseq from single cells and fluidigm pmid 24385147 briefly	eparation.,The method for single cell cDNA library making has been adapted from Smartseq2 for full-length RNAseq from single cells and Fluidigm (PMID: 24385147). Briefly,	GSM4804069	GSE158602,GSE168291
