"cluster_id","kind","agent_id_v5","n_studies","gsm","in_h5","new_agent_id","new_canon","new_src","is_strong"
"pair_L4_adfeb411","pathogen_or_aggregate_exposure","STR:aiec_541_15",1,"GSM8133004",TRUE,"STR:aiec_541_15","aiec 541-15","STR_FALLBACK",FALSE
"pair_L2_4d71efdf","pathogen_or_aggregate_exposure","STR:iav_infected_moi_5",1,"GSM4432396",TRUE,"STR:iav_infected_moi_5","iav infected (moi 5)","STR_FALLBACK",FALSE
"group_L3_a258476f","pathogen_or_aggregate_exposure","UNK",1,"GSM5830207",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_e1d7d054","pathogen_or_aggregate_exposure","UNK",1,"GSM2185674",TRUE,,,"NO_RECOVERY",FALSE
"pair_L3_2ac95fae","pathogen_or_aggregate_exposure","STR:non_aiec_t75",1,"GSM8132985",TRUE,"STR:non_aiec_t75","non-aiec t75","STR_FALLBACK",FALSE
"group_L2_2b82218d","pathogen_or_aggregate_exposure","STR:iiv8/as03-iiv5/as03",1,"GSM6726260",TRUE,"STR:iiv8_as03_iiv5_as03","iiv8/as03-iiv5/as03","STR_FALLBACK",FALSE
"group_L2_f1a5019f","pathogen_or_aggregate_exposure","UNK",1,"GSM4077468",TRUE,"STR:27_33_dpi_with_hpv16_e7_ttl","27-33 dpi with hpv16 e7-ttl","STR_FALLBACK",FALSE
"group_L3_1edb385f","pathogen_or_aggregate_exposure","STR:bacillus calmette-guérin vaccine",1,"GSM2790801",TRUE,"STR:bacillus_calmette_gu_rin_bcg_vaccine","bacillus calmette-guã©rin (bcg) vaccine","STR_FALLBACK",FALSE
"pair_L3_89690ef8","pathogen_or_aggregate_exposure","UNK",1,"GSM8124607",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_f13fb825","pathogen_or_aggregate_exposure","STR:cmv_infection",1,"GSM4317907",TRUE,"STR:cmv_infection","cmv infection","STR_FALLBACK",FALSE
"group_L2_0b5dcf34","pathogen_or_aggregate_exposure","UNK",1,"GSM7136166",TRUE,"NCBITaxon:813","chlamydiatrachomatis","PATHOGEN_TAXID",TRUE
"group_L0_41780c07","pathogen_or_aggregate_exposure","UNK",1,"GSM5947385",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_904a3161","pathogen_or_aggregate_exposure","STR:infected_by_fn_the_moi_of_1_10_for_48_h",1,"GSM6935216",TRUE,"STR:infected_by_fn_the_moi_of_1_10_for_48_h","infected by fn (the moi of 1:10) for 48 h","STR_FALLBACK",FALSE
"group_L2_c0378d0b","pathogen_or_aggregate_exposure","STR:influenza_a_h3n2",1,"GSM7670529",TRUE,"STR:influenza_a_h3n2","influenza a (h3n2)","STR_FALLBACK",FALSE
"pair_L2_61781fc4","pathogen_or_aggregate_exposure","STR:jev_infected_5_moi",1,"GSM6893023",TRUE,"STR:jev_infected_5_moi","jev infected (5 moi)","STR_FALLBACK",FALSE
"group_L0_841e62c1","pathogen_or_aggregate_exposure","UNK",1,"GSM2027307",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_9b9ae79f","pathogen_or_aggregate_exposure","STR:sars-cov-2",1,"GSM5860226",TRUE,"NCBITaxon:2697049","sars-cov-2","PATHOGEN_VERNACULAR",TRUE
"group_L4_0d730a6c","pathogen_or_aggregate_exposure","STR:ptb culture positive",1,"GSM4772260",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_9d4ff85c","pathogen_or_aggregate_exposure","UNK",1,"GSM5690952",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_a2013bd2","pathogen_or_aggregate_exposure","STR:zikv_infected_moi_1",1,"GSM7497097",TRUE,"STR:zikv_infected_moi_1","zikv infected moi-1","STR_FALLBACK",FALSE
"group_L0_cff0f4a3","pathogen_or_aggregate_exposure","UNK",1,"GSM5663586",TRUE,"NCBITaxon:2955291","influenzaavirus","PATHOGEN_TAXID",TRUE
"group_L0_c78dda4f","pathogen_or_aggregate_exposure","STR:heat_killed_c_albicans_sc5314",1,"GSM5194326",TRUE,"STR:heat_killed_c_albicans_sc5314","heat-killed c. albicans (sc5314)","STR_FALLBACK",FALSE
"group_L4_4311b50a","pathogen_or_aggregate_exposure","STR:l2_deltactl0480_infected",1,"GSM5942940",TRUE,"STR:l2_deltactl0480_infected","l2 deltactl0480 infected","STR_FALLBACK",FALSE
"group_L3_7009a05d","pathogen_or_aggregate_exposure","UNK",1,"GSM4663397",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_1efc077d","pathogen_or_aggregate_exposure","STR:229e",1,"GSM7050367",TRUE,"STR:229e","229e","STR_FALLBACK",FALSE
"group_L2_c1a29131","pathogen_or_aggregate_exposure","UNK",1,"GSM6336798",TRUE,,,"NO_RECOVERY",FALSE
"pair_L3_3b7047ab","pathogen_or_aggregate_exposure","STR:sars-cov-2",2,"GSM5346225",TRUE,"STR:sars_cov_2_infected","sars-cov-2 infected","STR_FALLBACK",FALSE
"group_L3_f66ae422","pathogen_or_aggregate_exposure","UNK",1,"GSM4083638",TRUE,,,"NO_RECOVERY",FALSE
"group_L3_f3124989","pathogen_or_aggregate_exposure","STR:salmonella typhimurium",1,"GSM6432560",TRUE,"STR:s_typhimurium_co_culture","s. typhimurium co-culture","STR_FALLBACK",FALSE
"group_L2_f813976b","pathogen_or_aggregate_exposure","STR:sars_cov_2_infection",1,"GSM4711203",TRUE,"STR:sars_cov_2_infection","sars-cov-2 infection","STR_FALLBACK",FALSE
"group_L1_6712bf1a","pathogen_or_aggregate_exposure","STR:hepatitis b virus",1,"GSM5961513",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_e7f071b8","pathogen_or_aggregate_exposure","UNK",1,"GSM4727015",TRUE,"STR:porcine_rotavirus_porv","porcine rotavirus (porv)","STR_FALLBACK",FALSE
"pair_L3_b30e66ab","pathogen_or_aggregate_exposure","UNK",2,"GSM3178405",TRUE,,,"NO_RECOVERY",FALSE
"pair_L1_78e7c1c7","pathogen_or_aggregate_exposure","STR:sars-cov-2",1,"GSM4637301",TRUE,,,"NO_RECOVERY",FALSE
"pair_L0_35cb495b","pathogen_or_aggregate_exposure","STR:ebola virus",1,"GSM5594193",TRUE,"NCBITaxon:3052462","orthoebolaviruszairense","PATHOGEN_TAXID",TRUE
"group_L0_fe757f76","pathogen_or_aggregate_exposure","UNK",1,"GSM2434027",TRUE,,,"NO_RECOVERY",FALSE
"group_L3_af5ab1dc","pathogen_or_aggregate_exposure","STR:fla_st_ultrapure",1,"GSM3673511",TRUE,"STR:fla_st_ultrapure","fla-st ultrapure","STR_FALLBACK",FALSE
"group_L2_4b96ab6a","pathogen_or_aggregate_exposure","STR:seov",1,"GSM7850976",TRUE,"STR:seov","seov","STR_FALLBACK",FALSE
"group_L4_ecf75e9a","pathogen_or_aggregate_exposure","STR:us-1630677",1,"GSM4697921",TRUE,,,"NO_RECOVERY",FALSE
"group_L2_c21182db","pathogen_or_aggregate_exposure","STR:sars_cov_2_infection",1,"GSM7502418",TRUE,"STR:sars_cov_2_infection","sars-cov-2 infection","STR_FALLBACK",FALSE
"pair_L4_19836775","pathogen_or_aggregate_exposure","STR:fusobacterium_nucleatum",1,"GSM7593955",TRUE,"NCBITaxon:851","fusobacteriumnucleatum","PATHOGEN_TAXID",TRUE
"group_L0_8c417004","pathogen_or_aggregate_exposure","UNK",1,"GSM4186789",TRUE,"STR:secondary","secondary","STR_FALLBACK",FALSE
"pair_L3_500a1b65","pathogen_or_aggregate_exposure","UNK",1,"GSM7118735",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_bbf72c7c","pathogen_or_aggregate_exposure","STR:infected_with_shaan_virus_p3",1,"GSM6061480",TRUE,"STR:infected_with_shaan_virus_p3","infected with shaan virus p3","STR_FALLBACK",FALSE
"pair_L3_5d7d8eea","pathogen_or_aggregate_exposure","UNK",8,"GSM3512222",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_fcfd7dd1","pathogen_or_aggregate_exposure","UNK",1,"GSM5006443",TRUE,,,"NO_RECOVERY",FALSE
"pair_L0_7978b514","pathogen_or_aggregate_exposure","STR:etbf",1,"GSM3732878",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_b86c7ec6","pathogen_or_aggregate_exposure","STR:flagelin",1,"GSM3636499",TRUE,"STR:flagelin","flagelin","STR_FALLBACK",FALSE
"group_L0_99d6f48c","pathogen_or_aggregate_exposure","STR:nsg mouse (nod scid il2-gamma)",1,"GSM3017890",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_93a1f789","pathogen_or_aggregate_exposure","UNK",1,"GSM4038540",TRUE,"STR:moderate_ev71","moderate ev71","STR_FALLBACK",FALSE
"group_L0_5af2847d","pathogen_or_aggregate_exposure","STR:us-1635439",1,"GSM4697953",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_1d8ef576","pathogen_or_aggregate_exposure","STR:mycobacterium avium",1,"GSM8338757",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_b68535c2","pathogen_or_aggregate_exposure","UNK",1,"GSM2915763",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_e6ca3223","pathogen_or_aggregate_exposure","UNK",1,"GSM4663399",TRUE,,,"NO_RECOVERY",FALSE
"pair_L0_667ad912","pathogen_or_aggregate_exposure","UNK",1,"GSM6347939",TRUE,"STR:hbv_infected","hbv-infected","STR_FALLBACK",FALSE
"group_L1_641a6b7c","pathogen_or_aggregate_exposure","UNK",1,"GSM2902861",TRUE,"STR:cryptococcal_osteomyelitis","cryptococcal osteomyelitis","STR_FALLBACK",FALSE
"group_L1_48d18946","pathogen_or_aggregate_exposure","UNK",1,"GSM4490408",TRUE,,,"NO_RECOVERY",FALSE
"pair_L1_00e33b92","pathogen_or_aggregate_exposure","STR:jc_polyomavirus_jcpyv",1,"GSM4034955",TRUE,"STR:jc_polyomavirus_jcpyv","jc polyomavirus (jcpyv)","STR_FALLBACK",FALSE
"group_L3_4546a14f","pathogen_or_aggregate_exposure","STR:rhinovirus a39",1,"GSM3190681",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_99dc0327","pathogen_or_aggregate_exposure","STR:tuberculosis",1,"GSM4772448",TRUE,,,"NO_RECOVERY",FALSE
"pair_L2_54ddc691","pathogen_or_aggregate_exposure","UNK",1,"GSM2229993",TRUE,"STR:kshv","kshv","STR_FALLBACK",FALSE
"group_L3_ee5c6f1b","pathogen_or_aggregate_exposure","STR:parainfluenza virus type 2",1,"GSM3189414",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_4dfecbef","pathogen_or_aggregate_exposure","STR:amyloid-beta",1,"GSM2888352",TRUE,,,"NO_RECOVERY",FALSE
"group_L3_f0bee9df","pathogen_or_aggregate_exposure","UNK",1,"GSM4077465",TRUE,"STR:27_33_dpi_with_hpv16_wt","27-33 dpi with hpv16 wt","STR_FALLBACK",FALSE
"group_L0_863509ee","pathogen_or_aggregate_exposure","STR:hcmv_infected",1,"GSM2644299",TRUE,"STR:hcmv_infected","hcmv-infected","STR_FALLBACK",FALSE
"group_L3_1757e2ed","pathogen_or_aggregate_exposure","STR:infection",1,"GSM7065805",TRUE,"STR:infected_40h","infected 40h","STR_FALLBACK",FALSE
"group_L2_e87ee402","pathogen_or_aggregate_exposure","UNK",1,"GSM3703836",TRUE,,,"NO_RECOVERY",FALSE
"group_L2_8b9ab273","pathogen_or_aggregate_exposure","STR:lzrs-yfp_parkin",1,"GSM5896630",TRUE,"STR:cells_were_treated_with_12um_of_cccp","cells were treated with 12um of cccp","STR_FALLBACK",FALSE
"pair_L1_cba945ce","pathogen_or_aggregate_exposure","STR:dl312_infected",1,"GSM6365508",TRUE,"STR:dl312_infected","dl312-infected","STR_FALLBACK",FALSE
"group_L1_6158245b","pathogen_or_aggregate_exposure","UNK",1,"GSM5948007",TRUE,,,"NO_RECOVERY",FALSE
"group_L2_901cf78b","pathogen_or_aggregate_exposure","STR:lactobacillus crispatus",1,"GSM7475361",TRUE,"STR:bacteria_supernatants","bacteria supernatants","STR_FALLBACK",FALSE
"group_L1_80d97aed","pathogen_or_aggregate_exposure","STR:infected_by_pcov_gd01",1,"GSM6726866",TRUE,"STR:infected_by_pcov_gd01","infected by pcov-gd01","STR_FALLBACK",FALSE
"group_L0_f173e9a6","pathogen_or_aggregate_exposure","STR:rubella_infection_rvi_wuerzburg_deu_47_11_wb12",1,"GSM7060844",TRUE,"STR:rubella_infection_rvi_wuerzburg_deu_47_11_wb12","rubella infection (rvi/wuerzburg.deu/47.11 [wb12]","STR_FALLBACK",FALSE
"group_L1_3e25fc45","pathogen_or_aggregate_exposure","UNK",1,"GSM5884660",TRUE,,,"NO_RECOVERY",FALSE
"group_L4_cdd08360","pathogen_or_aggregate_exposure","STR:chmi",1,"GSM5860400",TRUE,,,"NO_RECOVERY",FALSE
"pair_L4_c8223bfc","pathogen_or_aggregate_exposure","STR:hiv_yu_2_strain",1,"GSM3393731",TRUE,"STR:hiv_yu_2_strain","hiv yu-2 strain","STR_FALLBACK",FALSE
"group_L0_c807c743","pathogen_or_aggregate_exposure","STR:oc43",1,"GSM7050366",TRUE,"STR:oc43","oc43","STR_FALLBACK",FALSE
"group_L2_3bf655c2","pathogen_or_aggregate_exposure","STR:rhinovirus a47",1,"GSM3190782",TRUE,,,"NO_RECOVERY",FALSE
"group_L1_d3bf9e80","pathogen_or_aggregate_exposure","STR:human immunodeficiency virus 1",1,"GSM4443511",TRUE,,,"NO_RECOVERY",FALSE
