geo_accession	series_id_raw	series_id_resolved
GSM7679530	GSE239991	GSE239991
GSM7679531	GSE239991	GSE239991
GSM7695888	GSE240308	GSE240308
GSM7695889	GSE240308	GSE240308
GSM7695890	GSE240308	GSE240308
GSM7695891	GSE240308	GSE240308
GSM7695892	GSE240308	GSE240308
GSM7695894	GSE240308	GSE240308
GSM7695895	GSE240308	GSE240308
GSM7695896	GSE240308	GSE240308
GSM7695897	GSE240308	GSE240308
GSM7695898	GSE240308	GSE240308
GSM7695899	GSE240308	GSE240308
GSM7695900	GSE240308	GSE240308
GSM7695901	GSE240308	GSE240308
GSM7695902	GSE240308	GSE240308
GSM7695903	GSE240308	GSE240308
GSM7754914	GSE242202	GSE242202
GSM7754915	GSE242202	GSE242202
GSM7754916	GSE242202	GSE242202
GSM7754917	GSE242202	GSE242202
GSM7754918	GSE242202	GSE242202
GSM7754919	GSE242202	GSE242202
GSM7754920	GSE242202	GSE242202
GSM7754921	GSE242202	GSE242202
GSM7754922	GSE242202	GSE242202
GSM7754923	GSE242202	GSE242202
GSM7754924	GSE242202	GSE242202
GSM7754925	GSE242202	GSE242202
GSM7754926	GSE242202	GSE242202
GSM7754927	GSE242202	GSE242202
GSM7754928	GSE242202	GSE242202
GSM7754929	GSE242202	GSE242202
GSM7754930	GSE242202	GSE242202
GSM7754931	GSE242202	GSE242202
GSM7754932	GSE242202	GSE242202
GSM7754933	GSE242202	GSE242202
GSM7754934	GSE242202	GSE242202
GSM7754935	GSE242202	GSE242202
GSM7754936	GSE242202	GSE242202
GSM7754937	GSE242202	GSE242202
GSM7754938	GSE242202	GSE242202
GSM7754939	GSE242202	GSE242202
GSM7754940	GSE242202	GSE242202
GSM7754941	GSE242202	GSE242202
GSM7754942	GSE242202	GSE242202
GSM7754943	GSE242202	GSE242202
GSM7754944	GSE242202	GSE242202
GSM7754945	GSE242202	GSE242202
GSM7754946	GSE242202	GSE242202
GSM7754947	GSE242202	GSE242202
