"studio","n_ricevuti","n_collocati","n_persi","persi"
"GSE193677",2489,2313,176,"GSM5976567,GSM5976744,GSM5976745,GSM5976758,GSM5976759,GSM5976760,GSM5976761,GSM5976769,GSM5976772,GSM5976773,GSM5976774,GSM5976775,GSM5976776,GSM5976777,GSM5976779,GSM5976780,GSM5976781,GSM5976784,GSM5976785,GSM5976786,GSM5976788,GSM5976790,GSM5976796,GSM5976797,GSM5976799,GSM5976801,GSM5976821,GSM5976822,GSM5976823,GSM5976842,GSM5976843,GSM5976847,GSM5976848,GSM5976862,GSM5976863,GSM5976864,GSM5976865,GSM5976866,GSM5976884,GSM5977117,GSM5977120,GSM5977127,GSM5977132,GSM5977133,GSM5977136,GSM5977141,GSM5977142,GSM5977143,GSM5977149,GSM5977154,GSM5977155,GSM5977157,GSM5977159,GSM5977160,GSM5977166,GSM5977167,GSM5977171,GSM5977177,GSM5977182,GSM5977183,GSM5977184,GSM5977185,GSM5977190,GSM5977191,GSM5977193,GSM5977196,GSM5977197,GSM5977199,GSM5977201,GSM5977202,GSM5977204,GSM5977205,GSM5977214,GSM5977216,GSM5977219,GSM5977223,GSM5977441,GSM5977865,GSM5977866,GSM5977890,GSM5977891,GSM5977906,GSM5978100,GSM5978101,GSM5978102,GSM5978103,GSM5978104,GSM5978144,GSM5978150,GSM5978151,GSM5978152,GSM5978154,GSM5978157,GSM5978160,GSM5978163,GSM5978166,GSM5978167,GSM5978169,GSM5978177,GSM5978178,GSM5978182,GSM5978184,GSM5978185,GSM5978186,GSM5978187,GSM5978188,GSM5978189,GSM5978192,GSM5978193,GSM5978195,GSM5978196,GSM5978197,GSM5978198,GSM5978200,GSM5978205,GSM5978207,GSM5978208,GSM5978211,GSM5978212,GSM5978213,GSM5978214,GSM5978215,GSM5978216,GSM5978217,GSM5978218,GSM5978219,GSM5978225,GSM5978226,GSM5978228,GSM5978229,GSM5978230,GSM5978231,GSM5978232,GSM5978462,GSM5978486,GSM5978534,GSM5978535,GSM5978541,GSM5978542,GSM5978543,GSM5978546,GSM5978746,GSM5978757,GSM5978764,GSM5978777,GSM5978778,GSM5978779,GSM5978780,GSM5978781,GSM5978782,GSM5978792,GSM5978799,GSM5978804,GSM5978805,GSM5978806,GSM5978810,GSM5978824,GSM5978825,GSM5978826,GSM5978827,GSM5978828,GSM5978830,GSM5978831,GSM5978832,GSM5978835,GSM5978839,GSM5978841,GSM5978843,GSM5978849,GSM5978851,GSM5978853,GSM5978860,GSM5978862,GSM5978863,GSM5978870,GSM5978889"
"GSE193812",16,16,0,""
"GSE193865",6,6,0,""
"GSE193897",26,26,0,""
"GSE194179",27,27,0,""
"GSE194374",21,21,0,""
"GSE194420",24,24,0,""
"GSE194434",12,12,0,""
"GSE195568",33,18,15,"GSM5840621,GSM5840623,GSM5840625,GSM5840626,GSM5840629,GSM5840630,GSM5840632,GSM5840633,GSM5840636,GSM5840639,GSM5840640,GSM5840643,GSM5840646,GSM5840647,GSM5840648"
"GSE195599",7,7,0,""
"GSE196113",6,6,0,""
"GSE196195",11,11,0,""
"GSE196243",253,253,0,""
"GSE196343",8,8,0,""
"GSE196656",9,9,0,""
"GSE196724",36,36,0,""
"GSE197132",12,12,0,""
"GSE197243",16,16,0,""
"GSE197302",18,12,6,"GSM5912852,GSM5912854,GSM5912858,GSM5912860,GSM5912862,GSM5912863"
"GSE197523",6,6,0,""
"GSE197525",12,12,0,""
"GSE197603",14,14,0,""
"GSE198000",119,60,59,"GSM5935476,GSM5935477,GSM5935478,GSM5935480,GSM5935481,GSM5935482,GSM5935483,GSM5935484,GSM5935488,GSM5935489,GSM5935490,GSM5935492,GSM5935493,GSM5935494,GSM5935495,GSM5935497,GSM5935498,GSM5935499,GSM5935503,GSM5935506,GSM5935507,GSM5935508,GSM5935509,GSM5935510,GSM5935511,GSM5935513,GSM5935514,GSM5935516,GSM5935517,GSM5935518,GSM5935528,GSM5935530,GSM5935531,GSM5935532,GSM5935533,GSM5935534,GSM5935535,GSM5935548,GSM5935551,GSM5935554,GSM5935555,GSM5935556,GSM5935557,GSM5935558,GSM5935559,GSM6533758,GSM6533759,GSM6533760,GSM6533761,GSM6533762,GSM6533763,GSM6533764,GSM6533765,GSM6533766,GSM6533767,GSM6533768,GSM6533769,GSM6533770,GSM6533771"
"GSE198460",64,64,0,""
"GSE198670",59,59,0,""
"GSE198683",16,16,0,""
"GSE198722",18,18,0,""
"GSE198740",6,6,0,""
"GSE198860",12,12,0,""
"GSE198963",29,29,0,""
"GSE199225",60,60,0,""
"GSE199367",126,126,0,""
"GSE199688",9,9,0,""
"GSE199743",16,16,0,""
"GSE199800",1564,1489,75,"GSM5985001,GSM5985002,GSM5985033,GSM5985054,GSM5985058,GSM5985081,GSM5985083,GSM5985108,GSM5985157,GSM5985173,GSM5985179,GSM5985186,GSM5985192,GSM5985204,GSM5985209,GSM5985218,GSM5985247,GSM5985255,GSM5985262,GSM5985274,GSM5985281,GSM5985282,GSM5985297,GSM5985316,GSM5985332,GSM5985337,GSM5985353,GSM5985438,GSM5985446,GSM5985447,GSM5985455,GSM5985456,GSM5985462,GSM5985506,GSM5985522,GSM5985534,GSM5985542,GSM5985547,GSM5985574,GSM5985580,GSM5985614,GSM5985621,GSM5985669,GSM5985671,GSM5985677,GSM5985711,GSM5985749,GSM5985751,GSM5985758,GSM5985768,GSM5985803,GSM5985864,GSM5985870,GSM5985889,GSM5985913,GSM5986132,GSM5986133,GSM5986166,GSM5986177,GSM5986427,GSM5986505,GSM5986530,GSM5986536,GSM5986550,GSM5986562,GSM5986566,GSM5986590,GSM5986594,GSM5986599,GSM5986626,GSM5986637,GSM5986638,GSM5986662,GSM5986686,GSM5986714"
"GSE199811",6,6,0,""
"GSE199868",38,38,0,""
"GSE200020",56,56,0,""
"GSE200029",15,15,0,""
"GSE200186",27,27,0,""
"GSE200209",6,6,0,""
"GSE201093",12,12,0,""
"GSE201506",24,24,0,""
"GSE201740",8,8,0,""
"GSE202045",29,25,4,"GSM6090233,GSM6090238,GSM6090240,GSM6090250"
"GSE202350",12,12,0,""
"GSE202436",100,100,0,""
"GSE202576",6,6,0,""
"GSE202682",12,12,0,""
"GSE202714",18,18,0,""
"GSE202859",52,52,0,""
"GSE202866",11,11,0,""
"GSE202885",18,18,0,""
"GSE203174",86,86,0,""
"GSE203206",47,47,0,""
"GSE203395",294,155,139,"GSM6170917,GSM6170918,GSM6170919,GSM6170920,GSM6170921,GSM6170922,GSM6170923,GSM6170924,GSM6170925,GSM6170926,GSM6170927,GSM6170931,GSM6170933,GSM6170934,GSM6170937,GSM6170938,GSM6170941,GSM6170945,GSM6170946,GSM6170951,GSM6170953,GSM6170954,GSM6170955,GSM6170957,GSM6170958,GSM6170960,GSM6170963,GSM6170965,GSM6170968,GSM6170971,GSM6170973,GSM6170976,GSM6170977,GSM6170981,GSM6170982,GSM6170985,GSM6170987,GSM6170988,GSM6170992,GSM6170994,GSM6170998,GSM6171003,GSM6171006,GSM6171008,GSM6171012,GSM6171014,GSM6171019,GSM6171023,GSM6171025,GSM6171028,GSM6171031,GSM6171032,GSM6171036,GSM6171038,GSM6171043,GSM6171045,GSM6171049,GSM6171052,GSM6171057,GSM6171059,GSM6171061,GSM6171062,GSM6171064,GSM6171065,GSM6171067,GSM6171068,GSM6171069,GSM6171071,GSM6171073,GSM6171074,GSM6171075,GSM6171076,GSM6171077,GSM6171079,GSM6171080,GSM6171082,GSM6171083,GSM6171084,GSM6171085,GSM6171088,GSM6171090,GSM6171091,GSM6171094,GSM6171095,GSM6171096,GSM6171099,GSM6171102,GSM6171105,GSM6171106,GSM6171109,GSM6171110,GSM6171112,GSM6171113,GSM6171115,GSM6171116,GSM6171117,GSM6171118,GSM6171121,GSM6171123,GSM6171124,GSM6171126,GSM6171128,GSM6171131,GSM6171133,GSM6171134,GSM6171135,GSM6171137,GSM6171138,GSM6171139,GSM6171140,GSM6171141,GSM6171143,GSM6171147,GSM6171148,GSM6171156,GSM6171160,GSM6171161,GSM6171162,GSM6171164,GSM6171166,GSM6171167,GSM6171168,GSM6171169,GSM6171177,GSM6171179,GSM6171184,GSM6171188,GSM6171190,GSM6171191,GSM6171192,GSM6171194,GSM6171195,GSM6171196,GSM6171197,GSM6171198,GSM6171203,GSM6171204,GSM6171207,GSM6171209"
"GSE204781",10,10,0,""
"GSE204825",64,64,0,""
"GSE204868",12,12,0,""
"GSE204929",16,16,0,""
"GSE205086",15,15,0,""
"GSE205261",12,12,0,""
"GSE205567",10,10,0,""
"GSE205621",24,24,0,""
"GSE205668",61,61,0,""
"GSE205726",15,15,0,""
"GSE205730",12,12,0,""
"GSE205787",53,53,0,""
"GSE205812",6,6,0,""
"GSE205851",8,8,0,""
"GSE205853",16,16,0,""
"GSE205890",12,12,0,""
"GSE206130",60,49,11,"GSM6244066,GSM6244070,GSM6244071,GSM6244080,GSM6244082,GSM6244084,GSM6244085,GSM6244090,GSM6244092,GSM6244099,GSM6244104"
"GSE206257",12,8,4,"GSM6248748,GSM6248749,GSM6248755,GSM6248759"
"GSE206267",12,12,0,""
"GSE206308",7,7,0,""
"GSE206428",8,8,0,""
"GSE206510",14,14,0,""
"GSE206742",16,16,0,""
"GSE206784",11,11,0,""
"GSE207122",6,6,0,""
"GSE207291",4,4,0,""
"GSE207409",32,32,0,""
"GSE207645",9,9,0,""
"GSE207821",21,21,0,""
"GSE208107",6,6,0,""
"GSE208347",15,15,0,""
"GSE208774",24,24,0,""
"GSE209536",4,4,0,""
"GSE209582",13,13,0,""
"GSE209769",9,9,0,""
"GSE210101",36,36,0,""
"GSE210196",103,103,0,""
"GSE210351",41,41,0,""
"GSE210522",48,48,0,""
"GSE210562",12,12,0,""
"GSE210693",15,15,0,""
"GSE210765",12,12,0,""
"GSE210787",12,12,0,""
"GSE210984",15,15,0,""
"GSE210989",6,6,0,""
"GSE211130",22,22,0,""
"GSE211244",30,30,0,""
"GSE211439",24,21,3,"GSM6470145,GSM6470146,GSM6470149"
"GSE211611",32,28,4,"GSM6481431,GSM6481435,GSM6481439,GSM6481445"
"GSE211829",32,30,2,"GSM6503079,GSM6503081"
"GSE211854",21,17,4,"GSM6503436,GSM6503437,GSM6503438,GSM6503439"
"GSE212613",6,6,0,""
"GSE212703",6,6,0,""
"GSE212741",5,5,0,""
"GSE212787",20,20,0,""
"GSE213001",139,139,0,""
"GSE213102",24,20,4,"GSM6571692,GSM6571703,GSM6571705,GSM6571709"
"GSE213245",101,101,0,""
"GSE213465",9,9,0,""
"GSE213481",24,24,0,""
"GSE213521",8,8,0,""
"GSE213588",42,42,0,""
"GSE213615",12,12,0,""
"GSE213650",17,17,0,""
"GSE213691",16,16,0,""
"GSE213759",338,328,10,"GSM6593643,GSM6593644,GSM6593645,GSM6593673,GSM6593675,GSM6593751,GSM6593753,GSM6593868,GSM6593869,GSM6593872"
"GSE214052",46,46,0,""
"GSE214503",18,18,0,""
"GSE214721",5,5,0,""
"GSE215039",40,40,0,""
"GSE215254",44,44,0,""
"GSE215275",16,16,0,""
"GSE215411",6,6,0,""
"GSE215653",6,6,0,""
"GSE215771",18,18,0,""
"GSE215947",6,6,0,""
"GSE215975",32,32,0,""
"GSE216137",48,48,0,""
"GSE216418",12,12,0,""
"GSE216540",40,40,0,""
"GSE216988",8,8,0,""
"GSE217099",12,12,0,""
"GSE217334",60,57,3,"GSM6714207,GSM6714208,GSM6714209"
"GSE217421",1170,913,257,"GSM6717095,GSM6717097,GSM6717100,GSM6717101,GSM6717102,GSM6717103,GSM6717104,GSM6717106,GSM6717107,GSM6717108,GSM6717111,GSM6717112,GSM6717113,GSM6717114,GSM6717115,GSM6717138,GSM6717139,GSM6717140,GSM6717141,GSM6717142,GSM6717145,GSM6717146,GSM6717147,GSM6717148,GSM6717149,GSM6717151,GSM6717154,GSM6717155,GSM6717156,GSM6717157,GSM6717222,GSM6717223,GSM6717224,GSM6717225,GSM6717233,GSM6717236,GSM6717237,GSM6717238,GSM6717239,GSM6717241,GSM6717243,GSM6717245,GSM6717246,GSM6717247,GSM6717248,GSM6717249,GSM6717250,GSM6717253,GSM6717255,GSM6717256,GSM6717259,GSM6717284,GSM6717287,GSM6717288,GSM6717289,GSM6717292,GSM6717295,GSM6717296,GSM6717298,GSM6717299,GSM6717405,GSM6717406,GSM6717407,GSM6717408,GSM6717409,GSM6717411,GSM6717412,GSM6717413,GSM6717414,GSM6717416,GSM6717417,GSM6717418,GSM6717419,GSM6717420,GSM6717421,GSM6717455,GSM6717458,GSM6717531,GSM6717532,GSM6717533,GSM6717534,GSM6717535,GSM6717536,GSM6717537,GSM6717538,GSM6717540,GSM6717541,GSM6717542,GSM6717543,GSM6717544,GSM6717545,GSM6717546,GSM6717547,GSM6717548,GSM6717549,GSM6717550,GSM6717551,GSM6717552,GSM6717553,GSM6717554,GSM6717574,GSM6717595,GSM6717596,GSM6717600,GSM6717601,GSM6717602,GSM6717609,GSM6717613,GSM6717614,GSM6717618,GSM6717620,GSM6717621,GSM6717624,GSM6717626,GSM6717628,GSM6717629,GSM6717630,GSM6717632,GSM6717672,GSM6717674,GSM6717677,GSM6717685,GSM6717691,GSM6717713,GSM6717714,GSM6717716,GSM6717718,GSM6717719,GSM6717724,GSM6717778,GSM6717784,GSM6717785,GSM6717788,GSM6717792,GSM6717793,GSM6717813,GSM6717818,GSM6717819,GSM6717822,GSM6717833,GSM6717834,GSM6717865,GSM6717877,GSM6717883,GSM6717887,GSM6717892,GSM6717893,GSM6717915,GSM6717917,GSM6717919,GSM6717920,GSM6717923,GSM6717924,GSM6717925,GSM6717926,GSM6717927,GSM6717930,GSM6717933,GSM6717934,GSM6717935,GSM6717936,GSM6717939,GSM6717940,GSM6717941,GSM6717942,GSM6717943,GSM6717944,GSM6717945,GSM6717946,GSM6717948,GSM6717949,GSM6717950,GSM6717951,GSM6717952,GSM6717953,GSM6717954,GSM6717955,GSM6717957,GSM6717958,GSM6717960,GSM6717961,GSM6717962,GSM6717967,GSM6717969,GSM6717973,GSM6717974,GSM6717975,GSM6717978,GSM6717980,GSM6717981,GSM6717982,GSM6717985,GSM6717987,GSM6717991,GSM6717992,GSM6717993,GSM6717994,GSM6717995,GSM6717998,GSM6718002,GSM6718007,GSM6718009,GSM6718013,GSM6718015,GSM6718016,GSM6718017,GSM6718019,GSM6718020,GSM6718022,GSM6718023,GSM6718024,GSM6718025,GSM6718026,GSM6718027,GSM6718028,GSM6718030,GSM6718031,GSM6718032,GSM6718034,GSM6718035,GSM6718036,GSM6718037,GSM6718038,GSM6718066,GSM6718067,GSM6718070,GSM6718072,GSM6718076,GSM6718082,GSM6718084,GSM6718211,GSM6718227,GSM6718229,GSM6718232,GSM6718233,GSM6718234,GSM6718237,GSM6718241,GSM6718242,GSM6718245,GSM6718246,GSM6718247,GSM6718248,GSM6718249,GSM6718250,GSM6718252,GSM6718253,GSM6718254,GSM6718255,GSM6718257,GSM6718258,GSM6718259,GSM6718261,GSM6718262,GSM6718263,GSM6718264,GSM6718265"
"GSE217423",342,264,78,"GSM6718283,GSM6718285,GSM6718287,GSM6718288,GSM6718289,GSM6718290,GSM6718299,GSM6718306,GSM6718317,GSM6718324,GSM6718325,GSM6718326,GSM6718327,GSM6718328,GSM6718329,GSM6718330,GSM6718331,GSM6718333,GSM6718336,GSM6718338,GSM6718383,GSM6718384,GSM6718385,GSM6718387,GSM6718388,GSM6718390,GSM6718465,GSM6718466,GSM6718484,GSM6718487,GSM6718488,GSM6718490,GSM6718515,GSM6718516,GSM6718517,GSM6718519,GSM6718520,GSM6718521,GSM6718522,GSM6718531,GSM6718533,GSM6718534,GSM6718535,GSM6718537,GSM6718548,GSM6718549,GSM6718550,GSM6718551,GSM6718553,GSM6718554,GSM6718579,GSM6718580,GSM6718581,GSM6718582,GSM6718583,GSM6718584,GSM6718585,GSM6718586,GSM6718587,GSM6718589,GSM6718590,GSM6718591,GSM6718593,GSM6718594,GSM6718595,GSM6718596,GSM6718597,GSM6718598,GSM6718599,GSM6718600,GSM6718601,GSM6718602,GSM6718603,GSM6718604,GSM6718606,GSM6718607,GSM6718608,GSM6718610"
"GSE217537",120,108,12,"GSM6721220,GSM6721221,GSM6721226,GSM6721227,GSM6721230,GSM6721231,GSM6721233,GSM6721234,GSM6721241,GSM6721242,GSM6721290,GSM6721306"
"GSE217898",72,60,12,"GSM6729571,GSM6729582,GSM6729586,GSM6729589,GSM6729590,GSM6729591,GSM6729598,GSM6729599,GSM6729613,GSM6729622,GSM6729626,GSM6729635"
"GSE218039",29,11,18,"GSM6733285,GSM6733286,GSM6733287,GSM6733288,GSM6733290,GSM6733291,GSM6733294,GSM6733295,GSM6733296,GSM6733297,GSM6733299,GSM6733300,GSM6733303,GSM6733304,GSM6733305,GSM6733306,GSM6733309,GSM6733310"
"GSE218060",31,31,0,""
"GSE218167",4,4,0,""
"GSE218556",36,36,0,""
"GSE218606",12,12,0,""
"GSE218860",32,32,0,""
"GSE219065",16,16,0,""
"GSE219159",24,24,0,""
"GSE220038",24,24,0,""
"GSE220061",18,18,0,""
"GSE220806",14,14,0,""
"GSE220972",34,34,0,""
"GSE221240",35,35,0,""
"GSE221398",6,6,0,""
"GSE221475",23,23,0,""
"GSE221511",15,15,0,""
"GSE221563",30,30,0,""
"GSE221804",110,108,2,"GSM6899818,GSM6899831"
"GSE222199",6,6,0,""
"GSE222279",9,9,0,""
"GSE222376",16,16,0,""
"GSE222658",24,24,0,""
"GSE222676",8,8,0,""
"GSE222749",9,9,0,""
"GSE222992",24,24,0,""
"GSE223119",40,40,0,""
"GSE223372",61,61,0,""
"GSE223405",44,37,7,"GSM6947277,GSM6947283,GSM6947284,GSM6947290,GSM6947294,GSM6947306,GSM6947307"
"GSE223514",12,7,5,"GSM6957886,GSM6957887,GSM6957888,GSM6957895,GSM6957896"
"GSE223524",12,12,0,""
"GSE223543",15,15,0,""
"GSE223682",9,9,0,""
"GSE223758",46,46,0,""
"GSE223839",22,22,0,""
"GSE223893",40,24,16,"GSM6998422,GSM6998423,GSM6998424,GSM6998426,GSM6998431,GSM6998435,GSM6998436,GSM6998437,GSM6998438,GSM6998441,GSM6998443,GSM6998447,GSM6998448,GSM6998449,GSM6998450,GSM6998453"
"GSE224715",4,4,0,""
"GSE224758",22,22,0,""
"GSE225095",12,12,0,""
"GSE225159",9,9,0,""
"GSE225253",12,12,0,""
"GSE225274",5,5,0,""
"GSE225481",65,65,0,""
"GSE225517",16,16,0,""
"GSE225537",8,8,0,""
"GSE225549",18,18,0,""
"GSE225564",23,23,0,""
"GSE225683",6,6,0,""
"GSE225731",74,74,0,""
"GSE225751",18,18,0,""
"GSE225846",155,155,0,""
"GSE225901",16,16,0,""
"GSE226005",16,16,0,""
"GSE226115",9,9,0,""
"GSE226146",6,6,0,""
"GSE226186",9,9,0,""
"GSE226232",6,6,0,""
"GSE226239",6,6,0,""
"GSE226280",22,22,0,""
"GSE226358",44,44,0,""
"GSE226406",18,18,0,""
"GSE226549",12,12,0,""
"GSE226702",9,9,0,""
"GSE227511",34,34,0,""
"GSE227554",27,27,0,""
"GSE227609",9,9,0,""
"GSE227839",39,36,3,"GSM7109561,GSM7109564,GSM7109569"
"GSE228090",29,29,0,""
"GSE228173",18,18,0,""
"GSE228210",18,18,0,""
"GSE228458",13,13,0,""
"GSE228587",18,18,0,""
"GSE228631",15,15,0,""
"GSE228881",20,20,0,""
"GSE228990",60,60,0,""
"GSE229014",38,38,0,""
"GSE229136",9,9,0,""
"GSE229331",28,28,0,""
"GSE229805",8,8,0,""
"GSE229967",8,6,2,"GSM7182063,GSM7182065"
"GSE230627",19,19,0,""
"GSE230791",16,16,0,""
"GSE231324",30,30,0,""
"GSE231397",12,12,0,""
"GSE231460",12,12,0,""
"GSE231480",23,18,5,"GSM7286612,GSM7286614,GSM7286616,GSM7286617,GSM7286631"
"GSE231591",12,12,0,""
"GSE231611",6,6,0,""
"GSE231686",228,225,3,"GSM7295895,GSM7295961,GSM7296013"
"GSE231871",7,7,0,""
"GSE232072",18,12,6,"GSM7311433,GSM7311440,GSM7311441,GSM7311444,GSM7311445,GSM7311446"
"GSE232176",8,8,0,""
"GSE232218",15,15,0,""
"GSE232305",24,24,0,""
"GSE232435",9,9,0,""
"GSE232508",6,6,0,""
"GSE232640",12,12,0,""
"GSE232713",14,14,0,""
"GSE232753",28,28,0,""
"GSE233049",12,12,0,""
"GSE233262",68,68,0,""
"GSE233548",12,12,0,""
"GSE234148",12,12,0,""
"GSE234297",144,144,0,""
"GSE234514",12,12,0,""
"GSE234615",16,16,0,""
"GSE234647",12,12,0,""
"GSE234729",111,111,0,""
"GSE234760",6,6,0,""
"GSE234805",9,9,0,""
"GSE235031",6,6,0,""
"GSE235549",15,15,0,""
"GSE235681",24,18,6,"GSM7507616,GSM7507625,GSM7507627,GSM7507629,GSM7507635,GSM7507636"
"GSE235704",16,16,0,""
"GSE235908",24,17,7,"GSM7511768,GSM7511769,GSM7511776,GSM7511777,GSM7511780,GSM7511786,GSM7511787"
"GSE236117",6,6,0,""
"GSE236122",36,36,0,""
"GSE236168",15,15,0,""
"GSE236205",12,12,0,""
"GSE236286",10,10,0,""
"GSE236331",12,12,0,""
"GSE236441",11,11,0,""
"GSE236502",12,12,0,""
"GSE236742",9,9,0,""
"GSE236746",6,6,0,""
"GSE236896",33,33,0,""
"GSE236998",12,12,0,""
"GSE236999",22,22,0,""
"GSE237052",14,14,0,""
"GSE237091",6,6,0,""
"GSE237177",42,42,0,""
"GSE237413",9,9,0,""
"GSE237784",53,53,0,""
"GSE237795",6,6,0,""
"GSE237803",24,18,6,"GSM7653743,GSM7653747,GSM7653754,GSM7653755,GSM7653756,GSM7653763"
"GSE237861",80,80,0,""
"GSE239585",15,15,0,""
"GSE239666",18,18,0,""
"GSE239726",58,58,0,""
"GSE239844",42,42,0,""
"GSE240476",18,12,6,"GSM7698601,GSM7698602,GSM7698607,GSM7698608,GSM7698613,GSM7698614"
"GSE240898",28,16,12,"GSM7711691,GSM7711696,GSM7711697,GSM7711699,GSM7711703,GSM7711704,GSM7711705,GSM7711706,GSM7711707,GSM7711709,GSM7711711,GSM7711713"
"GSE241554",6,6,0,""
"GSE241595",9,9,0,""
"GSE241903",9,9,0,""
"GSE241942",21,21,0,""
"GSE241943",31,31,0,""
"GSE242108",16,16,0,""
"GSE242706",32,32,0,""
"GSE243230",48,39,9,"GSM7781154,GSM7781155,GSM7781157,GSM7781160,GSM7781161,GSM7781163,GSM7781167,GSM7781169,GSM7781171"
"GSE243421",12,12,0,""
"GSE243454",36,14,22,"GSM7787382,GSM7787383,GSM7787384,GSM7787385,GSM7787386,GSM7787387,GSM7787388,GSM7787389,GSM7787390,GSM7787391,GSM7787392,GSM7787395,GSM7787399,GSM7787400,GSM7787401,GSM7787402,GSM7787403,GSM7787404,GSM7787406,GSM7787408,GSM7787409,GSM7787410"
"GSE243564",15,15,0,""
"GSE243618",6,6,0,""
"GSE243625",45,45,0,""
"GSE244272",11,11,0,""
"GSE244305",12,12,0,""
"GSE244485",18,18,0,""
"GSE244486",18,18,0,""
"GSE244533",6,6,0,""
"GSE244730",10,10,0,""
"GSE244754",81,81,0,""
"GSE244934",12,12,0,""
"GSE245454",30,30,0,""
"GSE245621",16,16,0,""
"GSE245677",12,12,0,""
"GSE245762",18,18,0,""
"GSE246045",18,18,0,""
"GSE246050",12,12,0,""
"GSE246340",12,12,0,""
"GSE246391",12,12,0,""
"GSE246493",11,11,0,""
"GSE246781",4,4,0,""
"GSE246886",24,24,0,""
"GSE247159",29,29,0,""
"GSE247275",10,10,0,""
"GSE247389",12,12,0,""
"GSE247637",22,22,0,""
"GSE248274",18,18,0,""
"GSE248485",17,17,0,""
"GSE248794",16,16,0,""
"GSE248927",8,8,0,""
"GSE249026",8,8,0,""
"GSE249573",40,40,0,""
"GSE249721",44,44,0,""
"GSE250037",7,7,0,""
"GSE250224",12,12,0,""
"GSE251809",67,67,0,""
"GSE251861",6,6,0,""
"GSE251869",12,12,0,""
"GSE252002",148,125,23,"GSM7991054,GSM7991057,GSM7991058,GSM7991067,GSM7991095,GSM7991096,GSM7991105,GSM7991110,GSM7991111,GSM7991115,GSM7991116,GSM7991134,GSM7991148,GSM7991167,GSM7991172,GSM7991176,GSM7991179,GSM7991181,GSM7991191,GSM7991196,GSM7991200,GSM7991201,GSM7991202"
"GSE252527",12,12,0,""
"GSE252566",12,12,0,""
"GSE252567",14,9,5,"GSM8003326,GSM8003327,GSM8003329,GSM8003330,GSM8003331"
"GSE252576",54,54,0,""
"GSE252740",21,21,0,""
"GSE253542",24,24,0,""
"GSE253742",8,8,0,""
"GSE254310",24,24,0,""
"GSE254479",30,21,9,"GSM8042976,GSM8042977,GSM8042980,GSM8042987,GSM8042990,GSM8042992,GSM8042993,GSM8042994,GSM8043000"
"GSE255071",130,130,0,""
"GSE255073",61,21,40,"GSM8063454,GSM8063455,GSM8063456,GSM8063457,GSM8063458,GSM8063459,GSM8063460,GSM8063461,GSM8063462,GSM8063463,GSM8063464,GSM8063465,GSM8063466,GSM8063467,GSM8063468,GSM8063469,GSM8063470,GSM8063471,GSM8063472,GSM8063473,GSM8063475,GSM8063476,GSM8063477,GSM8063478,GSM8063479,GSM8063480,GSM8063481,GSM8063483,GSM8063487,GSM8063488,GSM8063490,GSM8063491,GSM8063495,GSM8063497,GSM8063501,GSM8063504,GSM8063505,GSM8063507,GSM8063510,GSM8063511"
"GSE255074",60,60,0,""
"GSE255300",24,24,0,""
"GSE255352",11,11,0,""
"GSE255958",82,80,2,"GSM8083449,GSM8083451"
"GSE256235",14,14,0,""
"GSE256370",12,12,0,""
"GSE259282",24,24,0,""
"GSE261086",52,52,0,""
"GSE261699",28,28,0,""
"GSE262030",51,41,10,"GSM8156301,GSM8156314,GSM8156315,GSM8156317,GSM8156328,GSM8156333,GSM8156335,GSM8156339,GSM8156340,GSM8156341"
"GSE262137",14,14,0,""
"GSE262147",53,53,0,""
"GSE262398",33,33,0,""
"GSE262877",30,28,2,"GSM8180946,GSM8180947"
"GSE263180",29,29,0,""
"GSE263319",6,6,0,""
"GSE264144",14,14,0,""
"GSE264288",40,40,0,""
"GSE264575",29,29,0,""
"GSE264621",24,24,0,""
"GSE266011",35,35,0,""
"GSE266389",10,8,2,"GSM8246174,GSM8246177"
"GSE266932",38,29,9,"GSM8257009,GSM8257019,GSM8289457,GSM8289460,GSM8289464,GSM8289466,GSM8289470,GSM8289471,GSM8289473"
"GSE267150",16,16,0,""
"GSE267930",8,8,0,""
"GSE268499",10,10,0,""
"GSE269441",14,14,0,""
"GSE269699",5,5,0,""
"GSE270511",8,8,0,""
"GSE272030",20,20,0,""
"GSE46597",4,4,0,""
"GSE49159",10,10,0,""
"GSE52778",14,14,0,""
"GSE52946",19,19,0,""
"GSE55727",8,8,0,""
"GSE55922",12,12,0,""
"GSE56022",10,10,0,""
"GSE56066",30,30,0,""
"GSE56623",60,56,4,"GSM1365945,GSM1365955,GSM1365965,GSM1365990"
"GSE57116",14,14,0,""
"GSE57148",189,189,0,""
"GSE59066",24,24,0,""
"GSE60340",24,24,0,""
"GSE61375",13,13,0,""
"GSE64233",22,22,0,""
"GSE64529",6,6,0,""
"GSE64550",9,9,0,""
"GSE64741",41,41,0,""
