"studio","n_ricevuti","n_collocati","n_persi","persi"
"GSE134580",32,32,0,""
"GSE134737",34,34,0,""
"GSE134817",180,168,12,"GSM3972242,GSM3972250,GSM3972289,GSM3972290,GSM3972291,GSM3972296,GSM3972304,GSM3972310,GSM3972344,GSM3972345,GSM3972358,GSM3972362"
"GSE134896",24,24,0,""
"GSE135215",65,65,0,""
"GSE135251",194,194,0,""
"GSE135458",8,8,0,""
"GSE135485",58,58,0,""
"GSE135514",32,32,0,""
"GSE135640",45,45,0,""
"GSE135879",34,34,0,""
"GSE136272",86,86,0,""
"GSE136371",48,48,0,""
"GSE136534",12,12,0,""
"GSE136725",19,19,0,""
"GSE137056",24,24,0,""
"GSE137200",6,6,0,""
"GSE137619",12,12,0,""
"GSE137702",16,16,0,""
"GSE137779",6,6,0,""
"GSE138053",25,25,0,""
"GSE138252",48,48,0,""
"GSE138309",6,6,0,""
"GSE138614",94,94,0,""
"GSE138691",27,27,0,""
"GSE138698",12,12,0,""
"GSE138730",16,16,0,""
"GSE139341",19,19,0,""
"GSE139370",6,6,0,""
"GSE139393",4,4,0,""
"GSE139546",16,16,0,""
"GSE139862",12,12,0,""
"GSE139963",11,11,0,""
"GSE140347",24,18,6,"GSM4159716,GSM4159717,GSM4159718,GSM4159719,GSM4159730,GSM4159733"
"GSE140714",6,6,0,""
"GSE140758",29,29,0,""
"GSE140900",23,23,0,""
"GSE141236",12,12,0,""
"GSE141535",8,8,0,""
"GSE141536",6,6,0,""
"GSE141585",12,12,0,""
"GSE141806",6,6,0,""
"GSE142000",13,13,0,""
"GSE142123",6,6,0,""
"GSE142381",11,11,0,""
"GSE142383",16,16,0,""
"GSE142556",6,6,0,""
"GSE142560",12,12,0,""
"GSE142582",15,15,0,""
"GSE142620",36,36,0,""
"GSE142706",9,9,0,""
"GSE143443",20,20,0,""
"GSE143782",36,36,0,""
"GSE143905",12,12,0,""
"GSE144269",122,122,0,""
"GSE144326",24,24,0,""
"GSE144378",18,18,0,""
"GSE144484",12,12,0,""
"GSE144775",606,602,4,"GSM4295477,GSM4295895,GSM4295896,GSM4295897"
"GSE145065",7,7,0,""
"GSE145085",8,8,0,""
"GSE145108",9,9,0,""
"GSE145154",73,73,0,""
"GSE145316",8,8,0,""
"GSE145356",25,25,0,""
"GSE145382",38,38,0,""
"GSE145560",15,7,8,"GSM4321495,GSM4321496,GSM4321500,GSM4321501,GSM4321502,GSM4321503,GSM4321504,GSM4321506"
"GSE145639",58,58,0,""
"GSE145746",16,16,0,""
"GSE145990",18,18,0,""
"GSE146096",499,492,7,"GSM4364944,GSM4364946,GSM4365028,GSM4365126,GSM4365128,GSM4365226,GSM4365227"
"GSE146547",6,6,0,""
"GSE146805",6,6,0,""
"GSE146982",24,24,0,""
"GSE147045",11,11,0,""
"GSE147093",6,6,0,""
"GSE147236",14,14,0,""
"GSE147250",162,24,138,"GSM4422632,GSM4422633,GSM4422634,GSM4422635,GSM4422636,GSM4422637,GSM4422638,GSM4422639,GSM4422640,GSM4422641,GSM4422642,GSM4422643,GSM4422644,GSM4422645,GSM4422646,GSM4422647,GSM4422648,GSM4422649,GSM4422650,GSM4422651,GSM4422652,GSM4422653,GSM4422654,GSM4422655,GSM4422656,GSM4422657,GSM4422658,GSM4422659,GSM4422660,GSM4422661,GSM4422662,GSM4422663,GSM4422664,GSM4422665,GSM4422666,GSM4422667,GSM4422668,GSM4422669,GSM4422670,GSM4422671,GSM4422672,GSM4422673,GSM4422674,GSM4422675,GSM4422676,GSM4422677,GSM4422678,GSM4422679,GSM4422680,GSM4422681,GSM4422682,GSM4422683,GSM4422684,GSM4422685,GSM4422686,GSM4422687,GSM4422688,GSM4422689,GSM4422690,GSM4422691,GSM4422692,GSM4422693,GSM4422694,GSM4422695,GSM4422696,GSM4422697,GSM4422698,GSM4422699,GSM4422700,GSM4422701,GSM4422702,GSM4422703,GSM4422704,GSM4422705,GSM4422706,GSM4422707,GSM4422708,GSM4422709,GSM4422710,GSM4422711,GSM4422712,GSM4422713,GSM4422714,GSM4422715,GSM4422716,GSM4422717,GSM4422718,GSM4422719,GSM4422720,GSM4422721,GSM4422722,GSM4422723,GSM4422724,GSM4422725,GSM4422726,GSM4422727,GSM4422728,GSM4422729,GSM4422730,GSM4422731,GSM4422732,GSM4422733,GSM4422734,GSM4422735,GSM4422736,GSM4422737,GSM4422738,GSM4422739,GSM4422740,GSM4422741,GSM4422742,GSM4422743,GSM4422744,GSM4422745,GSM4422746,GSM4422747,GSM4422748,GSM4422749,GSM4422750,GSM4422751,GSM4422752,GSM4422753,GSM4422754,GSM4422755,GSM4422756,GSM4422757,GSM4422758,GSM4422759,GSM4422760,GSM4422761,GSM4422762,GSM4422763,GSM4422764,GSM4422765,GSM4422766,GSM4422767,GSM4422768,GSM4422769"
"GSE147304",10,10,0,""
"GSE147339",20,20,0,""
"GSE147507",77,77,0,""
"GSE147699",12,12,0,""
"GSE147815",12,12,0,""
"GSE147816",12,12,0,""
"GSE147876",36,36,0,""
"GSE148241",43,43,0,""
"GSE148342",10,10,0,""
"GSE148389",156,156,0,""
"GSE148696",4,4,0,""
"GSE148697",6,6,0,""
"GSE148767",16,16,0,""
"GSE148985",10,10,0,""
"GSE149132",5,5,0,""
"GSE149262",36,36,0,""
"GSE149280",18,18,0,""
"GSE149640",12,12,0,""
"GSE150683",10,10,0,""
"GSE150819",18,18,0,""
"GSE150851",42,42,0,""
"GSE150893",14,13,1,"GSM4560339"
"GSE151159",31,31,0,""
"GSE151464",6,6,0,""
"GSE151680",12,12,0,""
"GSE151796",24,24,0,""
"GSE151803",21,21,0,""
"GSE151879",18,18,0,""
"GSE152004",675,675,0,""
"GSE152360",89,89,0,""
"GSE152409",48,44,4,"GSM4614840,GSM4614864,GSM4614882,GSM4614886"
"GSE152699",12,12,0,""
"GSE153183",4,4,0,""
"GSE153303",10,10,0,""
"GSE153739",7,7,0,""
"GSE153740",8,8,0,""
"GSE153867",31,31,0,""
"GSE154058",39,30,9,"GSM4663432,GSM4663439,GSM4663442,GSM4663447,GSM4663449,GSM4663450,GSM4663453,GSM4663454,GSM4663455"
"GSE154118",6,6,0,""
"GSE154311",9,9,0,""
"GSE154377",133,133,0,""
"GSE154414",8,8,0,""
"GSE154427",44,44,0,""
"GSE154556",7,7,0,""
"GSE154646",24,24,0,""
"GSE155000",18,18,0,""
"GSE155001",12,12,0,""
"GSE155141",15,15,0,""
"GSE155272",9,9,0,""
