"cluster_id","study_id","etichetta","n_t","n_c","gsm_t","gsm_c"
"cgroup_L5_6df6a50e","GSE217421","Sorafenib-treated cardiac myocytes || DMSO-treated cardiac myocytes",6,12,"GSM6718086,GSM6718092,GSM6718094,GSM6718098,GSM6718102,GSM6718103","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_6df6a50e","GSE217421","Sorafenib-treated cardiac myocytes || DMSO-treated cardiac myocytes",7,12,"GSM6718087,GSM6718089,GSM6718090,GSM6718093,GSM6718096,GSM6718097,GSM6718100","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_7805eee6","GSE164332","COVID-19 Frontal Cortex || Healthy Control Frontal Cortex",2,2,"GSM5006437,GSM5006445","GSM5006430,GSM5006434"
"cgroup_L5_7805eee6","GSE164332","COVID-19 Frontal Cortex || Healthy Control Frontal Cortex",6,2,"GSM5006438,GSM5006439,GSM5006440,GSM5006441,GSM5006442,GSM5006443","GSM5006430,GSM5006434"
"cgroup_L5_83b1f88c","GSE249573","MDA-MB-453 monoculture Neratinib || MDA-MB-453 monoculture DMSO",2,4,"GSM7950286,GSM7950287","GSM7950284,GSM7950285,GSM7950292,GSM7950293"
"cgroup_L5_83b1f88c","GSE249573","MDA-MB-453 monoculture Neratinib || MDA-MB-453 monoculture DMSO",2,4,"GSM7950294,GSM7950295","GSM7950284,GSM7950285,GSM7950292,GSM7950293"
"cgroup_L5_889ec305","GSE205787","CRC patient-derived spheroids (untreated) || Normal colorectal epithelial stem cell spheroids (untreated)",19,2,"GSM6226392,GSM6226395,GSM6226396,GSM6226402,GSM6226403,GSM6226406,GSM6226407,GSM6226409,GSM6226411,GSM6226424,GSM6226428,GSM6226432,GSM6226435,GSM6226436,GSM6226437,GSM6226439,GSM6226440,GSM6226441,GSM6226442","GSM6226421,GSM6226422"
"cgroup_L5_889ec305","GSE205787","CRC patient-derived spheroids (untreated) || Normal colorectal epithelial stem cell spheroids (untreated)",13,2,"GSM6226410,GSM6226412,GSM6226414,GSM6226415,GSM6226416,GSM6226425,GSM6226430,GSM6226431,GSM6226433,GSM6226434,GSM6226438,GSM6226443,GSM6226444","GSM6226421,GSM6226422"
"cgroup_L5_8b61f50b","GSE123285","MCF7 + 4-hydroxy tamoxifen (100 nM) || MCF7 + DMSO Vehicle",2,16,"GSM3499231,GSM3499234","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_8b61f50b","GSE123285","MCF7 + 4-hydroxy tamoxifen (100 nM) || MCF7 + DMSO Vehicle",2,16,"GSM3499224,GSM3499232","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_8b61f50b","GSE123285","MCF7 + 4-hydroxy tamoxifen (100 nM) || MCF7 + DMSO Vehicle",2,16,"GSM3499226,GSM3499228","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_8b61f50b","GSE123285","MCF7 + 4-hydroxy tamoxifen (100 nM) || MCF7 + DMSO Vehicle",3,16,"GSM3499221,GSM3499223,GSM3499230","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_8b61f50b","GSE123285","MCF7 + 4-hydroxy tamoxifen (100 nM) || MCF7 + DMSO Vehicle",2,16,"GSM3499217,GSM3499219","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_905be893","GSE205851","IL1Beta 4h || Untreated",2,4,"GSM6234498,GSM6234499","GSM6234494,GSM6234495,GSM6234496,GSM6234497"
"cgroup_L5_905be893","GSE205851","IL1Beta 4h || Untreated",2,4,"GSM6234500,GSM6234501","GSM6234494,GSM6234495,GSM6234496,GSM6234497"
"cgroup_L5_90db4e34","GSE124704","LuCaP 96CR-ENZR, SPT, End of Study (EOS) || LuCaP 96CR-ENZR, Control, End of Study (EOS)",3,3,"GSM3543665,GSM3543666,GSM3543668","GSM3543660,GSM3543661,GSM3543663"
"cgroup_L5_90db4e34","GSE124704","LuCaP 96CR-ENZR, SPT, End of Study (EOS) || LuCaP 96CR-ENZR, Control, End of Study (EOS)",2,3,"GSM3543664,GSM3543667","GSM3543660,GSM3543661,GSM3543663"
"cgroup_L5_96c9f7bf","GSE80655","Bipolar_Disorder_DLPFC || Control_DLPFC",12,19,"GSM2132262,GSM2132299,GSM2132309,GSM2132332,GSM2132334,GSM2132368,GSM2132391,GSM2132404,GSM2132426,GSM2132445,GSM2132470,GSM2132481","GSM2132226,GSM2132227,GSM2132228,GSM2132233,GSM2132263,GSM2132274,GSM2132275,GSM2132284,GSM2132285,GSM2132297,GSM2132310,GSM2132311,GSM2132333,GSM2132367,GSM2132392,GSM2132422,GSM2132433,GSM2132440,GSM2132462"
"cgroup_L5_96c9f7bf","GSE80655","Bipolar_Disorder_DLPFC || Control_DLPFC",2,19,"GSM2132322,GSM2132379","GSM2132226,GSM2132227,GSM2132228,GSM2132233,GSM2132263,GSM2132274,GSM2132275,GSM2132284,GSM2132285,GSM2132297,GSM2132310,GSM2132311,GSM2132333,GSM2132367,GSM2132392,GSM2132422,GSM2132433,GSM2132440,GSM2132462"
"cgroup_L5_96c9f7bf","GSE80655","Bipolar_Disorder_DLPFC || Control_DLPFC",3,19,"GSM2132216,GSM2132425,GSM2132449","GSM2132226,GSM2132227,GSM2132228,GSM2132233,GSM2132263,GSM2132274,GSM2132275,GSM2132284,GSM2132285,GSM2132297,GSM2132310,GSM2132311,GSM2132333,GSM2132367,GSM2132392,GSM2132422,GSM2132433,GSM2132440,GSM2132462"
"cgroup_L5_96c9f7bf","GSE80655","Bipolar_Disorder_DLPFC || Control_DLPFC",6,19,"GSM2132213,GSM2132241,GSM2132243,GSM2132264,GSM2132287,GSM2132424","GSM2132226,GSM2132227,GSM2132228,GSM2132233,GSM2132263,GSM2132274,GSM2132275,GSM2132284,GSM2132285,GSM2132297,GSM2132310,GSM2132311,GSM2132333,GSM2132367,GSM2132392,GSM2132422,GSM2132433,GSM2132440,GSM2132462"
"cgroup_L5_9de3f0ea","GSE255074","TB Positive, HIV Negative || TB Negative, HIV Negative",6,4,"GSM8063527,GSM8063529,GSM8063537,GSM8063542,GSM8063550,GSM8063552","GSM8063521,GSM8063530,GSM8063539,GSM8063555"
"cgroup_L5_9de3f0ea","GSE255074","TB Positive, HIV Negative || TB Negative, HIV Negative",3,3,"GSM8063515,GSM8063533,GSM8063543","GSM8063516,GSM8063532,GSM8063558"
"cgroup_L5_a12414d4","GSE80365","Estradiol 10 nM 24h || Vehicle 24h",4,7,"GSM2112720,GSM2112728,GSM2112744,GSM2112748","GSM2112719,GSM2112723,GSM2112727,GSM2112743,GSM2112747,GSM2112751,GSM2112763"
"cgroup_L5_a12414d4","GSE80365","Estradiol 10 nM 24h || Vehicle 24h",3,7,"GSM2112724,GSM2112752,GSM2112764","GSM2112719,GSM2112723,GSM2112727,GSM2112743,GSM2112747,GSM2112751,GSM2112763"
"cgroup_L5_a32e5eaa","GSE155336","Decitabine || DMSO",3,6,"GSM4699413,GSM4699417,GSM4699418","GSM4699408,GSM4699409,GSM4699410,GSM4699414,GSM4699415,GSM4699416"
"cgroup_L5_a32e5eaa","GSE155336","Decitabine || DMSO",3,6,"GSM4699411,GSM4699412,GSM4699419","GSM4699408,GSM4699409,GSM4699410,GSM4699414,GSM4699415,GSM4699416"
"cgroup_L5_aecd610f","GSE80655","Schizophrenia_AnCg || Control_AnCg",15,2,"GSM2132221,GSM2132222,GSM2132279,GSM2132324,GSM2132325,GSM2132327,GSM2132360,GSM2132361,GSM2132373,GSM2132394,GSM2132407,GSM2132408,GSM2132409,GSM2132441,GSM2132469","GSM2132439,GSM2132464"
"cgroup_L5_aecd610f","GSE80655","Schizophrenia_AnCg || Control_AnCg",8,2,"GSM2132220,GSM2132223,GSM2132276,GSM2132303,GSM2132313,GSM2132347,GSM2132432,GSM2132443","GSM2132439,GSM2132464"
"cgroup_L5_b2affd22","GSE79782","Preeclampsia (Amnion) || Control (Amnion)",13,7,"GSM2102531,GSM2102536,GSM2102537,GSM2102540,GSM2102541,GSM2102543,GSM2102544,GSM2102545,GSM2102546,GSM2102547,GSM2102549,GSM2102551,GSM2102552","GSM2102532,GSM2102533,GSM2102534,GSM2102535,GSM2102538,GSM2102548,GSM2102553"
"cgroup_L5_b2affd22","GSE79782","Preeclampsia (Amnion) || Control (Amnion)",2,7,"GSM2102542,GSM2102550","GSM2102532,GSM2102533,GSM2102534,GSM2102535,GSM2102538,GSM2102548,GSM2102553"
"cgroup_L5_b71a25a2","GSE123285","MCF7 + JQ1 (250 nM) || MCF7 + DMSO Vehicle",2,16,"GSM3499261,GSM3499267","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_b71a25a2","GSE123285","MCF7 + JQ1 (250 nM) || MCF7 + DMSO Vehicle",2,16,"GSM3499265,GSM3499270","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_b71a25a2","GSE210196","SY01 + JQ1 || SY01 + DMSO",2,3,"GSM6423269,GSM6423270","GSM6423251,GSM6423325,GSM6423326"
"cgroup_L5_b71a25a2","GSE210196","SY01 + JQ1 || SY01 + DMSO",6,3,"GSM6423271,GSM6423272,GSM6423333,GSM6423334,GSM6423335,GSM6423336","GSM6423251,GSM6423325,GSM6423326"
"cgroup_L5_b71a25a2","GSE244754","DLD-1 BRD4_AID jq1 normoxia || DLD-1 BRD4_AID NT normoxia",3,3,"GSM7829091,GSM7829092,GSM7829093","GSM7829043,GSM7829044,GSM7829045"
"cgroup_L5_b71a25a2","GSE244754","DLD-1 BRD4_AID jq1 normoxia || DLD-1 BRD4_AID NT normoxia",3,3,"GSM7829085,GSM7829086,GSM7829087","GSM7829043,GSM7829044,GSM7829045"
"cgroup_L5_be15b706","GSE220972","IL-13 Stimulation || Control (Vehicle Only)",2,9,"GSM6833370,GSM6833371","GSM6833367,GSM6833368,GSM6833375,GSM6833376,GSM6833377,GSM6833384,GSM6833385,GSM6833393,GSM6833395"
"cgroup_L5_be15b706","GSE220972","IL-13 Stimulation || Control (Vehicle Only)",9,9,"GSM6833369,GSM6833378,GSM6833379,GSM6833380,GSM6833388,GSM6833389,GSM6833396,GSM6833397,GSM6833398","GSM6833367,GSM6833368,GSM6833375,GSM6833376,GSM6833377,GSM6833384,GSM6833385,GSM6833393,GSM6833395"
"cgroup_L5_c548d053","GSE118566","LPS-treated lung tissue || Vehicle control lung tissue",3,6,"GSM3333316,GSM3333317,GSM3333318","GSM3333307,GSM3333308,GSM3333309,GSM3333310,GSM3333311,GSM3333312"
