"study_id","esito"
"GSE166617","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE168527","sparisce dai cluster del contrasto"
"GSE168705","sparisce dai cluster del contrasto"
"GSE169241","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE172544","cambia l'ENTITA' anche in Stadio 3"
"GSE173735","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE174244","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE175615","cambia l'ENTITA' anche in Stadio 3"
"GSE175988","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE176123","sparisce dai cluster del contrasto"
"GSE178518","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE178807","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE179354","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE179987","sparisce dai cluster del contrasto"
"GSE180233","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE180467","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE181238","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE181586","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE182278","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE182955","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE183777","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE183850","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE183999","sparisce dai cluster del contrasto"
"GSE184336","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE184455","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE186239","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE186402","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE188717","sparisce dai cluster del contrasto"
"GSE189186","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE189212","sparisce dai cluster del contrasto"
"GSE190850","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE191034","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE191165","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE191257","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE192741","sparisce dai cluster del contrasto"
"GSE195663","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE195919","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE196387","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE196453","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE196464","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE197143","cambia l'ENTITA' anche in Stadio 3"
"GSE197346","sparisce dai cluster del contrasto"
"GSE197602","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE198248","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE198434","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE198449","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE199906","sparisce dai cluster del contrasto"
"GSE201021","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE201365","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE201955","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE202963","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE204919","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE205729","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE206185","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE206649","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE206677","sparisce dai cluster del contrasto"
"GSE208331","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE208405","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE208550","sparisce dai cluster del contrasto"
"GSE211468","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE211850","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE211868","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
