"cluster_id","entita","k","n_studi_accusati","peso_contaminato","verdetto","esito","n_studi_tolti","spearman","n_sig_pieno","n_sig_persi","pct_sig_persi","max_abs_delta_logFC","k_pieno","k_ridotto","sopravvive","percentile_sig","percentile_spearman","percentile_delta","n_nulli","bracci_accusati","bracci_nulli_mediana"
"cgroup_L5_a8015c98","gemcitabine",3,1,39.4874272908437,"difettosa","ok",1,0.410740883914064,3609,1737,48.1296758104738,0.244728380082234,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_a4029927","afatinib",3,2,38.4209057454248,"difettosa","ok",2,NA,1811,1811,100,NA,2,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3ec58cd6","obese",5,1,34.7171463797035,"difettosa","ok",1,0.309210006728375,446,361,80.9417040358744,0.759848287744662,5,4,TRUE,1,1,1,4,2,1
"cgroup_L5_8b61f50b","tamoxifen",3,1,34.2093831319511,"difettosa","ok",1,0.315018347674378,367,119,32.425068119891,0.326404601100116,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_31308596","PMA (phorbol 12-myristate 13-acetate)",3,1,33.4704410621565,"difettosa","ok",1,0.56146035755005,807,395,48.9467162329616,0.284092502237806,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_2ab433c8","IL22",5,1,33.3629634512037,"difettosa","ok",1,0.480543163537377,1258,707,56.2003179650238,0.55620353667831,5,4,TRUE,1,1,1,4,2,1
"cgroup_L5_aad8ed47","taz + yap",3,1,33.2421468198842,"difettosa","ok",1,0.655291583881231,3163,1264,39.9620613341764,0.357794213799445,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_3de56a79","pdac",3,1,33.0543964382142,"incerta","ok",1,0.100589645337953,170,169,99.4117647058823,0.97487784361971,2,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_d28620cd","staurosporine",4,1,32.1086644637646,"difettosa","ok",1,0.359777711484603,777,615,79.1505791505791,0.328179861927074,4,3,TRUE,1,1,0.333333333333333,3,1,1
"cgroup_L5_8341bee7","progesterone",3,1,31.5858366937559,"difettosa","ok",1,0.252479082238482,210,162,77.1428571428571,0.239808448340532,3,2,FALSE,NA,NA,NA,2,NA,NA
