"cluster_id","esito","scarto_accettazione","n_geni_confronto","n_studi_tolti","n_geni_richiesti","n_geni_confrontati","n_geni_spariti","spearman","n_sig_pieno","n_sig_ridotto","n_sig_persi","n_sig_guadagnati","max_abs_delta_logFC","gene_max_delta","k_pieno","k_ridotto","entita","k","pct_sig_persi"
"cgroup_L5_8341bee7","ok",0,14756,1,210,148,62,0.252479082238482,210,48,162,0,0.239808448340532,"ENSG00000187372",3,2,"progesterone",3,77.1428571428571
"cgroup_L5_83f57274","ok",0,19086,4,3291,3241,50,0.795067447893142,3291,2441,850,0,0.133349438841228,"ENSG00000114268",26,22,"hypoxia",27,25.8280158006685
"cgroup_L5_862cd9b9","ok",0,15572,1,5182,3630,1552,0.223074932543389,5182,2177,3005,0,0.356005275459999,"ENSG00000100299",3,2,"SCH772984",3,57.9891933616364
"cgroup_L5_871ae09e","ok",0,20343,1,816,815,1,0.811009158774593,816,702,114,0,0.0822992087586195,"ENSG00000269405",25,24,"SARS-CoV-2",25,13.9705882352941
"cgroup_L5_87c40ebb","ok",0,18692,3,1939,1914,25,0.824905442163409,1939,1192,747,0,1.0803125209928,"ENSG00000204161",16,13,"IFNG",16,38.5250128932439
"cgroup_L5_889ec305","ok",0,17543,1,2397,2301,96,0.67286683375676,2397,1380,1017,0,0.880982348252084,"ENSG00000174358",5,4,"Colorectal Neoplasms",5,42.4280350438048
"cgroup_L5_8b61f50b","ok",0,15620,1,367,314,53,0.315018347674378,367,248,119,0,0.326404601100116,"ENSG00000141639",3,2,"tamoxifen",3,32.425068119891
"cgroup_L5_905be893","ok",0,20360,1,1875,1873,2,0.98150440251734,1875,1853,22,0,0.207139064959814,"ENSG00000108691",19,18,"IL1B",19,1.17333333333333
"cgroup_L5_90db4e34","ok",0,16283,1,515,423,92,0.828280065689943,515,344,171,0,0.0315287295750902,"ENSG00000197381",3,3,"testosterone",4,33.2038834951456
"cgroup_L5_930c8dcf","ok",0,18789,3,2372,2363,9,0.786068249844069,2372,1413,959,0,0.422502925808034,"ENSG00000091138",16,13,"DHT (5alpha-dihydrotestosterone)",16,40.4300168634064
"cgroup_L5_99d7941a","ok",0,16580,2,2273,1873,400,0.676608263711299,2273,1239,1034,0,0.252100775528513,"ENSG00000168016",4,2,"temozolomide",4,45.4905411350638
"cgroup_L5_a4029927","ok",0,15942,2,1811,0,1811,NA,1811,0,1811,0,NA,NA,2,NA,"afatinib",3,100
"cgroup_L5_a8015c98","ok",0,15672,1,3609,3210,399,0.410740883914064,3609,1872,1737,0,0.244728380082234,"ENSG00000105173",3,2,"gemcitabine",3,48.1296758104738
"cgroup_L5_aad8ed47","ok",0,14375,1,3163,2893,270,0.655291583881231,3163,1899,1264,0,0.357794213799445,"ENSG00000261371",3,2,"taz + yap",3,39.9620613341764
"cgroup_L5_b2645a34","ok",0,13492,2,26,0,26,NA,26,0,26,0,NA,NA,3,NA,"CETUXIMAB",3,100
"cgroup_L5_b2affd22","ok",0,17623,1,1678,1655,23,0.421740028861355,1678,949,729,0,0.20932696736035,"ENSG00000263620",6,5,"Pre-Eclampsia",6,43.4445768772348
"cgroup_L5_b6b8bc00","ok",0,18481,1,3058,3047,11,0.873915663826308,3058,2933,125,0,0.843228696301961,"ENSG00000160307",15,14,"palbociclib",15,4.08763897972531
"cgroup_L5_b71a25a2","ok",0,19084,1,9294,9288,6,0.937453001756953,9294,9021,273,0,0.0391731593917528,"ENSG00000074657",25,24,"JQ1",25,2.93737895416398
"cgroup_L5_ba4af011","ok",0,16888,1,2854,2797,57,0.737853949193933,2854,2581,273,0,0.0213244989822571,"ENSG00000262814",7,6,"irradiation",7,9.56552207428171
"cgroup_L5_bd19fe42","ok",0,19084,1,105,101,4,0.615339363616772,105,57,48,0,0.567703924025158,"ENSG00000100362",5,5,"Carcinoma, Hepatocellular",6,45.7142857142857
"cgroup_L5_bd40f34f","ok",0,15296,2,198,0,198,NA,198,0,198,0,NA,NA,3,NA,"IL15",3,100
"cgroup_L5_c054e202","ok",0,17269,1,2975,2925,50,0.895991347497887,2975,2238,737,0,0.248472538813985,"ENSG00000170561",7,6,"sirolimus",7,24.7731092436975
"cgroup_L5_c0d1d837","ok",0,18445,2,3380,3370,10,0.853095742477504,3380,2717,663,0,0.0864001193076454,"ENSG00000198796",18,16,"enzalutamide",18,19.6153846153846
"cgroup_L5_c3ae78cd","ok",0,19481,1,3416,3408,8,0.906809768367128,3416,3094,322,0,0.0322005017157616,"ENSG00000133135",8,7,"Crohn Disease",8,9.42622950819672
