"slug","ricostruito","aggancia"
"pharyngitis_by_group_a_streptococcus","pharyngitisbygroupalphastreptococcus",FALSE
"implanted_in_a_rat_spinal_cord_hemisection_model","implantedinalpharatspinalcordhemisectionmodel",FALSE
"pccl_l_elk1_gfp","pccllambdaelk1gfp",FALSE
"crohn_s_disease_non_inflammatory","crohnsigmadiseasenoninflammatory",FALSE
"cushing_s","cushingsigma",FALSE
"sb1_b_57","sb1beta57",FALSE
"ech_a","echalpha",FALSE
"late_log_s_typhi","latelogsigmatyphi",FALSE
"heat_killed_s_aureus","heatkilledsigmaaureus",FALSE
"n_a_bg","nalphabg",FALSE
"parkinson_s_disease","parkinsonsigmadisease",FALSE
"fps_25_g_ml","fps25gammaml",FALSE
"crohn_s_disease_b3_penetrating","crohnsigmadiseaseb3penetrating",FALSE
"alcohol_mediated_laennec_s_cirrhotic","alcoholmediatedlaennecsigmacirrhotic",FALSE
"sal_b","salbeta",FALSE
"bps_d","bpsdelta",FALSE
"dbrd9_a","dbrd9alpha",FALSE
"0_75_mol_epigambogic_acid_a","075molepigambogicacidalpha",FALSE
"niemann_pick_type_b","niemannpicktypebeta",FALSE
"decanoyl_l_carnitine","decanoyllambdacarnitine",FALSE
"sporadic_parkinson_s_disease","sporadicparkinsonsigmadisease",FALSE
"lrrk2_parkinson_s_disease_g2019s_mutation","lrrk2parkinsonsigmadiseaseg2019smutation",FALSE
"1_um_s_equol","1umsigmaequol",FALSE
"non_sjogren_s_sicca","nonsjogrensigmasicca",FALSE
"huntington_s_disease","huntingtonsigmadisease",FALSE
