"cluster_id","key","ruolo","contrast_entity","contrast_direction","contrast_control_key","k","n_studies","level"
"cgroup_L5_356eedd3","CHEBI:46024||gain","vincente","CHEBI:46024","gain","vehicle_untreated",5,5,5
"cgroup_L5_35d1be10","STR:nutlin_3a||gain","vincente","STR:nutlin_3a","gain","vehicle_untreated",10,10,5
"cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771||gain","vincente","CHEMBL:CHEMBL4297771","gain","vehicle_untreated",4,4,5
"cgroup_L5_36a11112","MeSH:D015535||gain","vincente","MeSH:D015535","gain","vehicle_untreated",3,3,5
"cgroup_L5_36b956de","STR:ptsd||gain","vincente","STR:ptsd","gain","vehicle_untreated",3,3,5
"cgroup_L5_37942548","CHEBI:15367||gain","vincente","CHEBI:15367","gain","vehicle_untreated",7,7,5
"cgroup_L5_37b0b276","STR:osteosarcoma||gain","vincente","STR:osteosarcoma","gain","vehicle_untreated",4,4,5
"cgroup_L5_37ecd157","STR:vegf||gain","vincente","STR:vegf","gain","vehicle_untreated",4,4,5
"cgroup_L5_3824dc37","STR:nash||gain","vincente","STR:nash","gain","vehicle_untreated",7,7,5
"cgroup_L5_387b0d1a","MeSH:D003922||gain","vincente","MeSH:D003922","gain","vehicle_untreated",4,4,5
"cgroup_L5_38c9104c","NCBITaxon:32644||gain","vincente","NCBITaxon:32644","gain","vehicle_untreated",3,3,5
"cgroup_L5_3973fe03","HGNC:5991||gain","vincente","HGNC:5991","gain","vehicle_untreated",6,6,5
"cgroup_L5_3a0a595f","CHEBI:49375||gain","vincente","CHEBI:49375","gain","vehicle_untreated",11,11,5
"cgroup_L5_3a58e5f5","CHEBI:15551||gain","vincente","CHEBI:15551","gain","vehicle_untreated",4,4,5
"cgroup_L5_3a625868","CHEBI:231601||gain","vincente","CHEBI:231601","gain","vehicle_untreated",5,5,5
"cgroup_L5_3b461817","CHEBI:52172||gain","vincente","CHEBI:52172","gain","vehicle_untreated",5,5,5
"cgroup_L5_3b91a21d","MeSH:D009362||gain","vincente","MeSH:D009362","gain","vehicle_untreated",8,8,5
"cgroup_L5_3be7454c","HGNC:5417||gain","vincente","HGNC:5417","gain","vehicle_untreated",6,6,5
"cgroup_L5_3d3658ad","CHEBI:28777||gain","vincente","CHEBI:28777","gain","vehicle_untreated",3,3,5
"cgroup_L5_3d8c29f4","HGNC:6001||gain","vincente","HGNC:6001","gain","vehicle_untreated",6,6,5
"cgroup_L5_3de56a79","STR:pdac||gain","vincente","STR:pdac","gain","vehicle_untreated",4,4,5
"cgroup_L5_3e8ba26a","MeSH:D005909||gain","vincente","MeSH:D005909","gain","vehicle_untreated",3,3,5
"cgroup_L5_3eaa92c9","CHEBI:50122||gain","vincente","CHEBI:50122","gain","vehicle_untreated",5,5,5
"cgroup_L5_3ec58cd6","STR:obese||gain","vincente","STR:obese","gain","vehicle_untreated",7,7,5
"cgroup_L5_3f0cc1fe","MeSH:D003093||gain","vincente","MeSH:D003093","gain","vehicle_untreated",10,10,5
"cgroup_L5_3fa847fe","STR:osteoarthritis||gain","vincente","STR:osteoarthritis","gain","vehicle_untreated",5,5,5
"cgroup_L5_4041e3af","CHEBI:95077||gain","vincente","CHEBI:95077","gain","vehicle_untreated",5,5,5
"cgroup_L5_417c69a3","CHEBI:231324||gain","vincente","CHEBI:231324","gain","vehicle_untreated",4,4,5
"cgroup_L5_41f7b088","CHEBI:49668||gain","vincente","CHEBI:49668","gain","vehicle_untreated",11,11,5
