"cluster_id","k_max","k_med","frac_al_max"
"cgroup_L5_92f4f307",3,3,0.509055118110236
"cgroup_L5_93068469",4,4,0.735409050800454
"cgroup_L5_930c8dcf",23,23,0.556760137600334
"cgroup_L5_964c6389",3,3,0.897862482889333
"cgroup_L5_96c9f7bf",4,4,0.799256917872789
"cgroup_L5_988d478d",4,3,0.405557146949298
"cgroup_L5_99d7941a",5,5,0.741049908882488
"cgroup_L5_9bb4734d",3,3,0.720264745960677
"cgroup_L5_9bdf0dcb",3,3,0.8508655126498
"cgroup_L5_9de3f0ea",3,3,0.863129657228018
"cgroup_L5_9f0ea111",3,3,0.869531898588671
"cgroup_L5_a12414d4",10,9,0.383801670825648
"cgroup_L5_a25d0964",10,9,0.467977589805559
"cgroup_L5_a32e5eaa",14,12,0.39937984496124
"cgroup_L5_a3c3e08c",3,2,0.0168235294117647
"cgroup_L5_a3f0c959",3,3,0.813835728646958
"cgroup_L5_a4029927",4,4,0.580460462873674
"cgroup_L5_a69fcae5",4,4,0.819265502709211
"cgroup_L5_a6fd82fa",5,5,0.601841572520081
"cgroup_L5_a739837c",3,3,0.856435361757841
"cgroup_L5_a747a14e",4,4,0.800078503205548
"cgroup_L5_a7509255",4,4,0.725336513886522
"cgroup_L5_a8015c98",5,5,0.680330951485521
"cgroup_L5_a8d88150",4,4,0.778980659287191
"cgroup_L5_a8ff7b6d",5,5,0.628720659492795
"cgroup_L5_aa8c1d6d",5,5,0.562537837510594
"cgroup_L5_aad8ed47",3,3,0.87871581450654
"cgroup_L5_ae11259e",4,4,0.613719079637283
"cgroup_L5_ae969461",3,3,0.841440930364487
"cgroup_L5_aecd610f",14,14,0.625125325847203
"cgroup_L5_b0066299",4,4,0.7778333889445
"cgroup_L5_b2affd22",6,6,0.701867534069878
"cgroup_L5_b32ab7f6",9,8,0.405760342689663
"cgroup_L5_b3ccf1c1",3,3,0.740525424976084
"cgroup_L5_b5db4aff",4,4,0.612848402447315
"cgroup_L5_b6b8bc00",15,15,0.514128943758573
"cgroup_L5_b71a25a2",25,24,0.475948704527611
"cgroup_L5_b9c77320",4,4,0.642656449553001
"cgroup_L5_b9e7806c",3,3,0.733616908148345
"cgroup_L5_ba4af011",7,7,0.698549866824504
"cgroup_L5_bb8cb388",7,7,0.757408499008628
"cgroup_L5_bd19fe42",9,9,0.75872566000105
"cgroup_L5_bd40f34f",3,3,0.795541214432385
"cgroup_L5_be15b706",12,12,0.575613040794568
"cgroup_L5_c040a36d",4,4,0.801855206103518
"cgroup_L5_c054e202",6,6,0.690771222489366
"cgroup_L5_c0d1d837",19,19,0.576902232820291
"cgroup_L5_c13b1103",5,5,0.797602004294918
"cgroup_L5_c3ae78cd",10,10,0.636937030859049
"cgroup_L5_c548d053",35,32,0.305099351175994
"cgroup_L5_c5e86fe9",7,7,0.555413702960666
