"cluster_id","entita","k","classe_registro","antenato_di_membro","str_stato_o_ombrello","non_entita"
"cgroup_L5_2ad4f5e0","CHEBI:135598",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_2c54e184","CHEBI:81579",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_2d0df321","NCBITaxon:2093",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_2e29beb4","CHEBI:232618",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_2e5fa547","CHEBI:15551+CHEBI:84491",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_2e7c89fd","CHEBI:2762+CHEBI:40784",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_2ebf1efd","MeSH:D010411",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_2ec565c1","NCBITaxon:11646",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_2f9a6df4","CHEBI:198892",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_300f0f0c","MeSH:D013964",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_3048eebd","MeSH:D018869",2,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_307b67c0","CHEBI:199449",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_3154709e","CHEBI:28793",1,"",TRUE,FALSE,TRUE
"cgroup_L5_31796fbf","CHEBI:231679",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_31b34c5f","CHEBI:232424",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_31c085c2","CHEBI:67895",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_33052c73","CHEBI:135898",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_332d3c11","MeSH:D014780",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_343c2a8e","NCBITaxon:337744",2,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_3498cff8","CHEBI:81351",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_358f4f05","CHEBI:3815",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_36260404","CHEBI:176335",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_364d0c6f","CHEBI:16704+CHEBI:233437",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_36b6e29f","MeSH:D000077153",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_37744c31","STR:irak4_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_37f38699","CHEBI:234592",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_37fe5728","MeSH:D007822",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_3827a80c","MeSH:D000505",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_387b0d1a","MeSH:D003922",4,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_38c9c69d","STR:mir_508_3p_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_39273d5a","STR:dna_pk_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_393a3550","MeSH:D049590",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_3a625868","CHEBI:231601",5,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_3aad546d","STR:tvb_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_3ae5badd","MeSH:D000234",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_3b91a21d","MeSH:D009362",8,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_3d1d048b","CHEBI:39026",2,"",TRUE,FALSE,TRUE
"cgroup_L5_3e4e016e","MeSH:D005317",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_413d7495","CHEBI:15553+CHEBI:26333",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_417c69a3","CHEBI:231324",4,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_42fb59a5","CHEBI:39026+CHEBI:60151",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4319732d","CHEBI:231683",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4348259b","MeSH:D014612",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_438c76a9","CHEBI:135899",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_444fd001","STR:atm_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_4485ee98","CHEBI:231324",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_44f25f31","CHEBI:231339",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_45aa579d","MeSH:D015444",2,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_45c3f6dd","CHEBI:84491+CHEBI:9574",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_462d1cb3","CHEBI:22901+CHEBI:34372",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_464bdbd4","CHEBI:24261",1,"",TRUE,FALSE,TRUE
"cgroup_L5_46bc60d2","MeSH:D000078822",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_47b2d362","CHEBI:181391",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_47b90dd4","NCBITaxon:12059",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_49a22e63","CHEBI:5759",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4aa860fb","MeSH:D009362",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_4b81127e","CHEBI:16219+CHEBI:3942",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4c5baa39","NCBITaxon:162387",2,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_4c60fc0f","CHEBI:29548",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4c6e54d3","CHEBI:231661",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4c8223ac","CHEBI:233316",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4d3755b2","NCBITaxon:3451070",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_4d3bbf4b","MeSH:D006976",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_4db3b546","CHEBI:232587",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4f3ee2fc","CHEBI:39026",1,"",TRUE,FALSE,TRUE
"cgroup_L5_4f688e71","CHEBI:232423",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4f6e87c1","CHEBI:81572",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_4f9206fd","CHEBI:29108+CHEMBL:CHEMBL2109588",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5065d4c1","STR:prkdc_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_514fbbd1","CHEBI:231603",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_515c6410","CHEBI:81580",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_5339cd2b","MeSH:D002648",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_53ebfaa0","CHEBI:231604",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_54db2f52","CHEBI:178012",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_553d693b","CHEBI:231683",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_557aa8d9","NCBITaxon:10239",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_55b6a45f","CHEBI:746968",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_55ebbbb6","MeSH:D013961",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
