"cluster_id","anchor_key","k","n_total","studies_in_cluster","canonical_name","contrast_entity","contrast_direction","contrast_control_key","contrast_entity_source","entita_canonica","fonte_risoluzione","fiducia"
"cgroup_L5_1fe776fd","COMBO:il-1+ze14||gain||vehicle_untreated",1,25,"GSE162510","Interleukin-1alpha","COMBO:il-1+ze14","gain","vehicle_untreated","COMBO","COMBO:il-1+ze14","GIA_CANONICO","nessuna"
"cgroup_L5_1ffc10ab","STR:pabpc1l_sh||gain||pabpc l shnc",1,6,"GSE241871","PABPC1L","STR:pabpc1l_sh","gain","pabpc l shnc","STR","STR:pabpc1l_sh","STR_NON_TOCCATO","nessuna"
"cgroup_L5_1ffed6a3","STR:yeast||gain||vehicle_untreated_clin",1,2,"GSE210797","Yeasts","STR:yeast","gain","vehicle_untreated_clin","STR","STR:yeast","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20007c95","STR:recently_activated_c_maf_kd_shrna1||block||resting+vehicle_untreated",1,6,"GSE101389","MAF","STR:recently_activated_c_maf_kd_shrna1","block","resting+vehicle_untreated","STR","STR:recently_activated_c_maf_kd_shrna1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20031a2e","STR:se351_knockdown||block||vehicle_untreated",1,2,"GSE190214","SENP3","STR:se351_knockdown","block","vehicle_untreated","STR","STR:se351_knockdown","STR_NON_TOCCATO","nessuna"
"cgroup_L5_2006d235","STR:sc912||gain||vehicle_untreated",1,8,"GSE253122","selinexor","STR:sc912","gain","vehicle_untreated","STR","STR:sc912","STR_NON_TOCCATO","nessuna"
"cgroup_L5_201261a1","HGNC:2082||gain||sh nc",1,5,"GSE208729","CLOCK","HGNC:2082","gain","sh nc","onto","HGNC:2082","GIA_CANONICO","nessuna"
"cgroup_L5_2013f54c","STR:siusp1||gain||sicontrol",1,6,"GSE218366","USP1","STR:siusp1","gain","sicontrol","STR","STR:siusp1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_201ea685","HGNC:37496||block||wild type",1,15,"GSE253189","PXN-AS1","HGNC:37496","block","wild type","onto","HGNC:37496","GIA_CANONICO","nessuna"
"cgroup_L5_20223a7f","STR:circrna_ha42t||gain||vehicle_untreated",1,2,"GSE157013","gastric cancer tissues","STR:circrna_ha42t","gain","vehicle_untreated","STR","STR:circrna_ha42t","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20228f46","STR:1_tpa||gain||vehicle_untreated",1,3,"GSE182959","Bikhaconitine","STR:1_tpa","gain","vehicle_untreated","STR","STR:1_tpa","STR_NON_TOCCATO","nessuna"
"cgroup_L5_2026be90","STR:adnp_knockdown_week1||block||vehicle_untreated_ownbase",1,2,"GSE235921","ADNP","STR:adnp_knockdown_week1","block","vehicle_untreated_ownbase","STR","STR:adnp_knockdown_week1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20328a57","MeSH:D003928||gain||non diabetic renal cancer",1,4,"GSE199838","diabetic kidney disease","MeSH:D003928","gain","non diabetic renal cancer","anchor","MeSH:D003928","GIA_CANONICO","nessuna"
"cgroup_L5_203dc31a","CHEBI:91091||gain||vehicle_untreated",3,18,"GSE108252;GSE227433;GSE232218","dihexadecanoyl phosphatidic acid","CHEBI:91091","gain","vehicle_untreated","onto","CHEBI:91091","GIA_CANONICO","nessuna"
"cgroup_L5_2045932e","STR:apoe44||gain||vehicle_untreated",1,6,"GSE190187","APOA1","STR:apoe44","gain","vehicle_untreated","STR","STR:apoe44","STR_NON_TOCCATO","nessuna"
"cgroup_L5_204d7258","STR:nbnc||gain||vehicle_untreated_clin",1,3,"GSE141198","Carcinoma, Hepatocellular","STR:nbnc","gain","vehicle_untreated_clin","STR","STR:nbnc","STR_NON_TOCCATO","nessuna"
"cgroup_L5_205eea7a","STR:reprogramming_genetic_overexpression_day9||gain||vehicle_untreated",1,15,"GSE181181","PAX8","STR:reprogramming_genetic_overexpression_day9","gain","vehicle_untreated","STR","STR:reprogramming_genetic_overexpression_day9","STR_NON_TOCCATO","nessuna"
"cgroup_L5_205f1899","COMBO:enzalutamide+simirosertib||gain||vehicle_untreated",1,9,"GSE252566","RB1","COMBO:enzalutamide+simirosertib","gain","vehicle_untreated","COMBO","COMBO:enzalutamide+simirosertib","GIA_CANONICO","nessuna"
"cgroup_L5_20609b35","STR:hnrnpa2b1_knockdown||block||vehicle_untreated",1,9,"GSE240809","SYNPO2","STR:hnrnpa2b1_knockdown","block","vehicle_untreated","STR","STR:hnrnpa2b1_knockdown","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20631aa2","STR:hunov_gii_4||gain||vehicle_untreated",1,12,"GSE117911","Norovirus GII.4","STR:hunov_gii_4","gain","vehicle_untreated","STR","STR:hunov_gii_4","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20645fad","COMBO:a485+etoh||gain||vehicle_untreated",1,4,"GSE245968","Enzalutamide","COMBO:a485+etoh","gain","vehicle_untreated","COMBO","COMBO:a485+etoh","GIA_CANONICO","nessuna"
"cgroup_L5_206576be","HGNC:2434||gain||vehicle_untreated",3,14,"GSE122941;GSE149377;GSE248927","<small>L</small>-arabinono-1,4-lactone","HGNC:2434","gain","vehicle_untreated","onto","CHEMBL:CHEMBL2107881","T3_alias_alias","bassa"
"cgroup_L5_20667443","STR:derived_cancerous||gain||vehicle_untreated",1,4,"GSE106119","colorectal cancer","STR:derived_cancerous","gain","vehicle_untreated","STR","STR:derived_cancerous","STR_NON_TOCCATO","nessuna"
"cgroup_L5_206b8049","STR:kb4302014_dn||gain||transgene stable",1,14,"GSE212638",NA,"STR:kb4302014_dn","gain","transgene stable","STR","STR:kb4302014_dn","STR_NON_TOCCATO","nessuna"
"cgroup_L5_207f3a59","HGNC:2720||gain||non targeting",1,21,"GSE247513","ASAP1","HGNC:2720","gain","non targeting","onto","HGNC:2720","GIA_CANONICO","nessuna"
"cgroup_L5_207fecf9","STR:syk_ko||block||syk wt",1,8,"GSE106716","SYPL1","STR:syk_ko","block","syk wt","STR","STR:syk_ko","STR_NON_TOCCATO","nessuna"
"cgroup_L5_2085e5da","CHEBI:232861||gain||vehicle_untreated",1,6,"GSE181828","VTP-50469","CHEBI:232861","gain","vehicle_untreated","anchor","CHEBI:232861","GIA_CANONICO","nessuna"
"cgroup_L5_20878962","STR:sma1c||gain||vehicle_untreated",1,3,"GSE199949","ipf","STR:sma1c","gain","vehicle_untreated","STR","STR:sma1c","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20878f64","HGNC:2638||gain||vehicle_untreated",1,33,"GSE149000","LINC00313","HGNC:2638","gain","vehicle_untreated","onto","HGNC:2638","GIA_CANONICO","nessuna"
"cgroup_L5_209abed1","HGNC:6091||gain||non treatment",1,4,"GSE210411","ionizing radiation","HGNC:6091","gain","non treatment","onto","HGNC:6091","GIA_CANONICO","nessuna"
"cgroup_L5_209b8af2","STR:no_arv||loss||vehicle_untreated",1,13,"GSE152461",NA,"STR:no_arv","loss","vehicle_untreated","STR","STR:no_arv","STR_NON_TOCCATO","nessuna"
"cgroup_L5_209ecd44","COMBO:pd-l1+tgfbeta pdkd-t2||block||control shrna",1,2,"GSE167173","CD274","COMBO:pd-l1+tgfbeta pdkd-t2","block","control shrna","COMBO","COMBO:pd-l1+tgfbeta pdkd-t2","GIA_CANONICO","nessuna"
"cgroup_L5_20a2407c","STR:hypertrophic_medium||gain||vehicle_untreated",1,5,"GSE199847",NA,"STR:hypertrophic_medium","gain","vehicle_untreated","STR","STR:hypertrophic_medium","STR_NON_TOCCATO","nessuna"
"cgroup_L5_20af6a93","MeSH:D007965||gain||vehicle_untreated",1,6,"GSE212512","EYA2","MeSH:D007965","gain","vehicle_untreated","onto","MeSH:D007965","GIA_CANONICO","nessuna"
"cgroup_L5_20b41908","STR:csa1||gain||veh",1,2,"GSE98670","puromycin aminonucleoside","STR:csa1","gain","veh","STR","STR:csa1","STR_NON_TOCCATO","nessuna"
