"id_a","id_b","chiave","tier","entrambi_nel_corpus","blocco"
"CHEBI:15367","MeSH:D014212","alltransretinoicacid","T2_canonico_alias",FALSE,""
"CHEBI:15367","NCBITaxon:61833","renova","T2_canonico_alias",FALSE,"taxon_sopra_specie"
"CHEBI:15379","CHEMBL:CHEMBL1234886","dioxygen","T2_canonico_alias",FALSE,""
"CHEBI:15379","MeSH:D010100","dioxygen","T2_canonico_alias",FALSE,"mesh_troppo_alto"
"CHEBI:15414","CHEMBL:CHEMBL1088977","same","T3_alias_alias",FALSE,""
"CHEBI:15414","MeSH:D012436","same","T3_alias_alias",FALSE,""
"CHEBI:15422","CHEMBL:CHEMBL14249","adenosinetriphosphate","T2_canonico_alias",FALSE,""
"CHEBI:15422","MeSH:D000255","adenosinetriphosphate","T2_canonico_alias",FALSE,""
"CHEBI:15428","MeSH:D005998","aminoaceticacid","T3_alias_alias",FALSE,"mesh_troppo_alto"
"CHEBI:15551","CHEMBL:CHEMBL548","dinoprostone","T2_canonico_alias",FALSE,""
"CHEBI:15551","MeSH:D015232","dinoprostone","T2_canonico_alias",FALSE,""
"CHEBI:15553","CHEMBL:CHEMBL1200896","prostinf2alpha","T3_alias_alias",FALSE,""
"CHEBI:15553","CHEMBL:CHEMBL815","dinoprost","T2_canonico_alias",FALSE,""
"CHEBI:15553","MeSH:D015237","dinoprost","T2_canonico_alias",FALSE,""
"CHEBI:156287","CHEMBL:CHEMBL4303309","cx5461","T1_canonico_canonico",FALSE,""
"CHEBI:15640","CHEMBL:CHEMBL1679","5formyltetrahydrofolicacid","T2_canonico_alias",FALSE,""
"CHEBI:15640","MeSH:D002955","leucovorin","T2_canonico_alias",FALSE,""
"CHEBI:15647","MeSH:D007975","512dihete","T3_alias_alias",FALSE,""
"CHEBI:15688","MeSH:D000093","acetoin","T1_canonico_canonico",FALSE,""
"CHEBI:15698","CHEMBL:CHEMBL66115","2deoxycytidine","T2_canonico_alias",FALSE,""
"CHEBI:15698","MeSH:D003841","deoxycytidine","T2_canonico_alias",FALSE,""
"CHEBI:15727","MeSH:D002336","lcarnosine","T3_alias_alias",FALSE,""
"CHEBI:15756","CHEMBL:CHEMBL82293","palmiticacid","T2_canonico_alias",FALSE,""
"CHEBI:15756","HGNC:30074","c160","T3_alias_alias",FALSE,""
"CHEBI:15756","MeSH:D019308","hexadecanoicacid","T2_canonico_alias",FALSE,""
"CHEBI:157718","CHEMBL:CHEMBL251958","flavokawainc","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:15843","CHEMBL:CHEMBL15594","arachidonicacid","T1_canonico_canonico",FALSE,""
"CHEBI:15843","MeSH:D016718","arachidonicacid","T1_canonico_canonico",FALSE,""
"CHEBI:15940","CHEMBL:CHEMBL573","nicotinicacid","T2_canonico_alias",FALSE,""
"CHEBI:15940","MeSH:D009525","nicotinicacid","T2_canonico_alias",FALSE,""
"CHEBI:16113","CHEMBL:CHEMBL112570","cholesterol","T1_canonico_canonico",FALSE,""
"CHEBI:16113","MeSH:D002784","cholesterol","T1_canonico_canonico",FALSE,""
"CHEBI:16196","CHEMBL:CHEMBL8659","oleicacid","T1_canonico_canonico",FALSE,""
"CHEBI:16196","MeSH:D019301","oleicacid","T1_canonico_canonico",FALSE,""
"CHEBI:16199","CHEMBL:CHEMBL985","urea","T1_canonico_canonico",FALSE,""
"CHEBI:16199","MeSH:D014508","urea","T1_canonico_canonico",FALSE,"mesh_troppo_alto"
"CHEBI:16240","CHEMBL:CHEMBL71595","hydrogenperoxide","T1_canonico_canonico",FALSE,""
"CHEBI:16240","MeSH:D006861","hydrogenperoxide","T1_canonico_canonico",FALSE,""
