"entita","k_rif","k_a3","usciti","entrati","quota_rigenerata_da_A3"
"SARS-CoV-2",38,32,8,2,38
"TGFB1",78,71,9,2,78
"LPS",50,44,9,3,50
"enzalutamide",29,26,4,1,29
"vemurafenib",20,15,5,0,20
