"studio","braccio","a","b","r","dichiarata","dep_a","dep_b"
"GSE163831,GSE163832","GSM4988050,GSM4988054,GSM4988058","GSM4988054","GSM4988058",0.997505012961805,FALSE,65326022,87506810
"GSE252575","GSM8003415,GSM8003416,GSM8003417","GSM8003415","GSM8003416",0.997503612241285,FALSE,48006361,57905628
"GSE120660","GSM3407118,GSM3407119,GSM3407120","GSM3407118","GSM3407120",0.997502745330225,FALSE,31340690,53877657
"GSE241565,GSE241566","GSM7731060,GSM7731061,GSM7731062","GSM7731060","GSM7731062",0.997501963693643,FALSE,65002067,46606056
"GSE120660","GSM3407115,GSM3407116,GSM3407117","GSM3407115","GSM3407117",0.997501370493468,FALSE,35629621,39076661
"GSE126750","GSM3612121,GSM3612122,GSM3612123","GSM3612122","GSM3612123",0.997496413038317,FALSE,45054892,49019966
"GSE93330","GSM2451438,GSM2451439,GSM2451440","GSM2451439","GSM2451440",0.997488415954465,FALSE,67449654,57480050
"GSE151879,GSE151880","GSM4592632,GSM4592633,GSM4592634","GSM4592632","GSM4592633",0.997483043460291,FALSE,52287839,48198624
"GSE117329","GSM3291094,GSM3291095,GSM3291096","GSM3291095","GSM3291096",0.997476482390177,FALSE,56700200,56245448
"GSE102812","GSM2746670,GSM2746671,GSM2746672,GSM2746","GSM2746688","GSM2746690",0.997476360549529,FALSE,49240779,60895180
"GSE222992","GSM6937829,GSM6937830,GSM6937831","GSM6937829","GSM6937830",0.997445756481099,FALSE,30856291,31397659
"GSE260507","GSM8118584,GSM8118585,GSM8118586","GSM8118584","GSM8118586",0.997444389475201,FALSE,146168924,126997573
"GSE161283","GSM4904310,GSM4904311","GSM4904310","GSM4904311",0.997442164942678,FALSE,31691453,34681935
"GSE102812","GSM2746670,GSM2746671,GSM2746672,GSM2746","GSM2746694","GSM2746696",0.99743876461968,FALSE,48389119,36584990
"GSE93330","GSM2451438,GSM2451439,GSM2451440","GSM2451438","GSM2451439",0.997435758638125,FALSE,98660558,67449654
"GSE120660","GSM3407118,GSM3407119,GSM3407120","GSM3407118","GSM3407119",0.997423484497549,FALSE,31340690,35795918
"GSE237784","GSM7653271,GSM7653272,GSM7653273","GSM7653272","GSM7653273",0.997415415974301,FALSE,61135450,59564792
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880373","GSM7880374",0.997403586593581,FALSE,38828360,38374932
"GSE207954,GSE255300","GSM8068657,GSM8068658","GSM8068657","GSM8068658",0.997387042825806,FALSE,43617984,36033755
"GSE213588","GSM6589477,GSM6589478,GSM6589479","GSM6589477","GSM6589478",0.997379343033789,FALSE,37652670,55672400
"GSE222992","GSM6937820,GSM6937821,GSM6937822","GSM6937821","GSM6937822",0.997376787816807,FALSE,37466114,23974636
"GSE249721","GSM7961965,GSM7961966","GSM7961965","GSM7961966",0.997370634878274,FALSE,40974134,33170866
"GSE247777","GSM7900685,GSM7900686,GSM7900687","GSM7900686","GSM7900687",0.997360800429003,FALSE,123596241,138778764
"GSE120660","GSM3407115,GSM3407116,GSM3407117","GSM3407115","GSM3407116",0.997358306066579,FALSE,35629621,40464934
"GSE243230","GSM7781133,GSM7781134,GSM7781135","GSM7781134","GSM7781135",0.997358148730073,FALSE,41911905,45734571
"GSE213588","GSM6589477,GSM6589478,GSM6589479","GSM6589478","GSM6589479",0.997349129004287,FALSE,55672400,33919360
"GSE252740,GSE252746","GSM8006152,GSM8006153","GSM8006152","GSM8006153",0.997348881354163,FALSE,40393974,34564170
"GSE117329","GSM3291109,GSM3291110,GSM3291111","GSM3291109","GSM3291110",0.997313355386292,FALSE,41337609,49757724
"GSE64529,GSE64530","GSM1573661,GSM1573662","GSM1573661","GSM1573662",0.997308791743331,FALSE,37476039,35050296
"GSE120660","GSM3407121,GSM3407122,GSM3407123","GSM3407122","GSM3407123",0.997304242476927,FALSE,35035057,32565682
"GSE223688","GSM6971810,GSM6971811","GSM6971810","GSM6971811",0.99730285247841,FALSE,51700695,51229202
"GSE164933","GSM5023282,GSM5023283,GSM5023284","GSM5023282","GSM5023283",0.997299336618409,FALSE,39373102,39122963
"GSE102812","GSM2746670,GSM2746671,GSM2746672,GSM2746","GSM2746695","GSM2746696",0.997294466554971,FALSE,55488489,36584990
"GSE260507","GSM8118584,GSM8118585,GSM8118586","GSM8118585","GSM8118586",0.997276379842102,FALSE,153398059,126997573
"GSE183487","GSM5558280,GSM5558281,GSM6840378,GSM6840","GSM5558280","GSM5558281",0.997263236094657,FALSE,57250424,57392639
"GSE171358","GSM5224087,GSM5224088,GSM5224089","GSM5224087","GSM5224088",0.997261156720616,FALSE,48724997,46065345
"GSE222992","GSM6937832,GSM6937833,GSM6937834","GSM6937832","GSM6937833",0.997241909233595,FALSE,34854773,35472511
"GSE97117,GSE97358","GSM2562505,GSM2562507,GSM2562509,GSM2562","GSM2562639","GSM2562641",0.997241017832736,FALSE,38149897,47418284
"GSE120660","GSM3407121,GSM3407122,GSM3407123","GSM3407121","GSM3407123",0.997225831310331,FALSE,34808532,32565682
"GSE222992","GSM6937817,GSM6937818,GSM6937819","GSM6937818","GSM6937819",0.997222643395053,FALSE,46182776,32922850
"GSE237784","GSM7653256,GSM7653257,GSM7653258","GSM7653256","GSM7653257",0.997211873321423,FALSE,55650754,59925215
"GSE205730,GSE205731","GSM6222370,GSM6222371,GSM6222372","GSM6222371","GSM6222372",0.997211676857976,FALSE,44781818,42146480
"GSE102812","GSM2746676,GSM2746679,GSM2746680,GSM2746","GSM2746691","GSM2746693",0.997203583249576,FALSE,42706193,48792417
"GSE117329","GSM3291094,GSM3291095,GSM3291096","GSM3291094","GSM3291095",0.997196432728352,FALSE,53914326,56700200
"GSE64741","GSM1579168,GSM1579169","GSM1579168","GSM1579169",0.997176039582298,FALSE,36130656,32033341
"GSE222992","GSM6937829,GSM6937830,GSM6937831","GSM6937830","GSM6937831",0.997164027740927,FALSE,31397659,38142102
"GSE97117,GSE97358","GSM2562505,GSM2562507,GSM2562509,GSM2562","GSM2562611","GSM2562613",0.997159734688895,FALSE,42042922,39998815
"GSE135879","GSM4037050,GSM4037051","GSM4037050","GSM4037051",0.997155533818495,FALSE,34323574,34160062
"GSE188958","GSM5692444,GSM5692445","GSM5692444","GSM5692445",0.997152790491641,FALSE,45861535,50011115
"GSE117329","GSM3291097,GSM3291098,GSM3291099","GSM3291098","GSM3291099",0.997151871902655,FALSE,48913450,48534398
"GSE124118","GSM3521157,GSM3521158,GSM3521159","GSM3521157","GSM3521159",0.997150075795301,FALSE,37075665,127111296
"GSE222992","GSM6937820,GSM6937821,GSM6937822","GSM6937820","GSM6937822",0.997149775289691,FALSE,31050427,23974636
"GSE247777","GSM7900685,GSM7900686,GSM7900687","GSM7900685","GSM7900686",0.997144956155598,FALSE,114584540,123596241
"GSE93330","GSM2451435,GSM2451436,GSM2451437","GSM2451436","GSM2451437",0.997137706605667,FALSE,85153382,63108825
"GSE222992","GSM6937817,GSM6937818,GSM6937819","GSM6937817","GSM6937819",0.997135258572511,FALSE,30094061,32922850
"GSE249721","GSM7961992,GSM7961993","GSM7961992","GSM7961993",0.997132729904186,FALSE,43432982,38973378
"GSE151879,GSE151880","GSM4592632,GSM4592633,GSM4592634","GSM4592632","GSM4592634",0.997126757431767,FALSE,52287839,50425138
"GSE138780,GSE138798","GSM4119205,GSM4119206","GSM4119205","GSM4119206",0.997114467236274,FALSE,42629709,38460681
"GSE222117","GSM6915104,GSM6915105,GSM6915106","GSM6915104","GSM6915105",0.997101877721264,FALSE,43475904,49679647
"GSE161916,GSE161917","GSM4923346,GSM4923347,GSM4923348","GSM4923347","GSM4923348",0.997098075200466,FALSE,45351756,124402056
"GSE157069","GSM4751921,GSM4751922","GSM4751921","GSM4751922",0.99709471383366,FALSE,27377831,27191722
"GSE102812","GSM2746670,GSM2746671,GSM2746672,GSM2746","GSM2746688","GSM2746689",0.99708421629949,FALSE,49240779,41516218
"GSE145746,GSE145747","GSM4332062,GSM4332063,GSM4332070,GSM4332","GSM4332070","GSM4332071",0.997079888205437,FALSE,46838398,43204548
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880373","GSM7880375",0.997074583038619,FALSE,38828360,38077113
"GSE225481,GSE228897","GSM7049269,GSM7049270","GSM7049269","GSM7049270",0.997060955038894,FALSE,38684333,35786498
"GSE188958","GSM5692446,GSM5692447","GSM5692446","GSM5692447",0.997058904632865,FALSE,48333314,50536663
"GSE215653,GSE215945","GSM6637903,GSM6637904,GSM6637905","GSM6637904","GSM6637905",0.997052059392153,FALSE,48512835,40488468
"GSE222117","GSM6915104,GSM6915105,GSM6915106","GSM6915105","GSM6915106",0.997050587571802,FALSE,49679647,48931512
"GSE213588","GSM6589489,GSM6589491","GSM6589489","GSM6589491",0.997048564594839,FALSE,39147737,42103476
"GSE237784","GSM7653274,GSM7653275,GSM7653276","GSM7653275","GSM7653276",0.997036714250524,FALSE,55332298,66611562
"GSE97117,GSE97358","GSM2562506,GSM2562508,GSM2562510,GSM2562","GSM2562512","GSM2562514",0.997031312406235,FALSE,44470893,39487477
"GSE184029","GSM5576177,GSM5576178,GSM5576179","GSM5576177","GSM5576178",0.997029775334797,FALSE,59686699,37739932
"GSE164933","GSM5023282,GSM5023283,GSM5023284","GSM5023283","GSM5023284",0.997020660648293,FALSE,39122963,36802494
"GSE117329","GSM3291103,GSM3291104,GSM3291105","GSM3291103","GSM3291104",0.997015835610779,FALSE,54848826,48350142
"GSE77307","GSM2048413,GSM2048415","GSM2048413","GSM2048415",0.997008271172723,FALSE,24640358,24574610
"GSE249721","GSM7962000,GSM7962001,GSM7962002","GSM7962000","GSM7962002",0.996999978140361,FALSE,32075313,36725291
"GSE264575","GSM8222924,GSM8222925,GSM8222926","GSM8222924","GSM8222925",0.996998576923781,FALSE,31151234,27165944
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880375","GSM7880377",0.996986041717568,FALSE,38077113,41939947
"GSE252575","GSM8003412,GSM8003413,GSM8003414,GSM8003","GSM8003421","GSM8003423",0.996977215624586,FALSE,55746893,59379073
"GSE205730,GSE205731","GSM6222370,GSM6222371,GSM6222372","GSM6222370","GSM6222371",0.996967457354303,FALSE,56975087,44781818
"GSE231483,GSE251869","GSM7989332,GSM7989333,GSM7989334","GSM7989332","GSM7989334",0.99695778102426,FALSE,28520078,27709093
"GSE222992","GSM6937832,GSM6937833,GSM6937834","GSM6937832","GSM6937834",0.996957497296399,FALSE,34854773,35018731
"GSE135514","GSM4013425,GSM4013426,GSM4013427,GSM4013","GSM4013427","GSM4013428",0.996945757947307,FALSE,45470866,39857941
"GSE209536,GSE209541","GSM6373975,GSM6373976","GSM6373975","GSM6373976",0.996943094995604,FALSE,45609181,55044530
"GSE270511","GSM8345781,GSM8345782,GSM8345785,GSM8345","GSM8345785","GSM8345786",0.996940885333843,FALSE,34209843,25753724
"GSE164933","GSM5023282,GSM5023283,GSM5023284","GSM5023282","GSM5023284",0.996939980315836,FALSE,39373102,36802494
"GSE198722","GSM5955770,GSM5955771,GSM5955772,GSM5955","GSM5955774","GSM5955775",0.996937950273104,FALSE,53855775,48207141
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880374","GSM7880375",0.996937099309737,FALSE,38374932,38077113
"GSE134595","GSM3957941,GSM3957942,GSM3957945,GSM3957","GSM3957945","GSM3957946",0.996927778465683,FALSE,41155286,50404148
"GSE117329","GSM3291106,GSM3291107,GSM3291108","GSM3291106","GSM3291108",0.996921069857129,FALSE,46485177,45367396
"GSE117329","GSM3291103,GSM3291104,GSM3291105","GSM3291103","GSM3291105",0.996919532320905,FALSE,54848826,45805930
"GSE198670,GSE198674","GSM6753183,GSM6753191,GSM6753195","GSM6753191","GSM6753195",0.996917539751755,FALSE,30385596,31583434
"GSE129942,GSE129971","GSM3728390,GSM3728391,GSM3728392","GSM3728391","GSM3728392",0.996916080526433,FALSE,46784324,47978196
"GSE222992","GSM6937829,GSM6937830,GSM6937831","GSM6937829","GSM6937831",0.996914190486468,FALSE,30856291,38142102
"GSE158814","GSM4811091,GSM4811092","GSM4811091","GSM4811092",0.996902580615492,FALSE,82246903,82705421
"GSE213588","GSM6589477,GSM6589478,GSM6589479","GSM6589477","GSM6589479",0.996887129515368,FALSE,37652670,33919360
"GSE209536,GSE209541","GSM6373977,GSM6373978","GSM6373977","GSM6373978",0.996875406639903,FALSE,36120583,52607011
"GSE244754","GSM7829076,GSM7829077,GSM7829078","GSM7829076","GSM7829078",0.996871235165721,FALSE,40971768,43413557
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880374","GSM7880376",0.996851510067293,FALSE,38374932,37669785
"GSE249721","GSM7961970,GSM7961971,GSM7961972","GSM7961971","GSM7961972",0.996848291912788,FALSE,34934069,34600769
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880376","GSM7880377",0.996847509719568,FALSE,37669785,41939947
"GSE117329","GSM3291097,GSM3291098,GSM3291099","GSM3291097","GSM3291099",0.996843471535489,FALSE,42960997,48534398
"GSE151680","GSM4588126,GSM4588127,GSM4588128","GSM4588126","GSM4588128",0.996838584134296,FALSE,39879691,45504963
"GSE198722","GSM5955764,GSM5955765,GSM5955766,GSM5955","GSM5955765","GSM5955766",0.996834571179869,FALSE,60543095,52707600
"GSE117329","GSM3291103,GSM3291104,GSM3291105","GSM3291104","GSM3291105",0.996832071890063,FALSE,48350142,45805930
"GSE241565,GSE241566","GSM7731060,GSM7731061,GSM7731062","GSM7731060","GSM7731061",0.996827407520889,FALSE,65002067,41590123
"GSE222117","GSM6915104,GSM6915105,GSM6915106","GSM6915104","GSM6915106",0.996817838904151,FALSE,43475904,48931512
"GSE97117,GSE97358","GSM2562505,GSM2562507,GSM2562509,GSM2562","GSM2562615","GSM2562617",0.996817292708178,FALSE,40661181,39443489
"GSE117329","GSM3291094,GSM3291095,GSM3291096","GSM3291094","GSM3291096",0.996815503810052,FALSE,53914326,56245448
"GSE215653,GSE215945","GSM6637903,GSM6637904,GSM6637905","GSM6637903","GSM6637905",0.996801441246104,FALSE,41834614,40488468
"GSE232508","GSM7349324,GSM7349326","GSM7349324","GSM7349326",0.996793837109835,FALSE,38829966,54140211
"GSE99875","GSM2656591,GSM2656592,GSM2656593,GSM2656","GSM2656592","GSM2656593",0.996786330178565,FALSE,75193872,41699846
"GSE157069","GSM4751915,GSM4751916","GSM4751915","GSM4751916",0.996777394031831,FALSE,26214143,27641229
