"studio","a","b","ta","tb","r","stessa_libreria"
"GSE173902","GSM5282758","GSM5282767","SE.none sam2_L001","SE.IL4IL13 sam11_L001",0.903682930433449,FALSE
"GSE173902","GSM5282759","GSM5282767","SA.none sam3_L001","SE.IL4IL13 sam11_L001",0.901757244148618,FALSE
"GSE173902","GSM5282760","GSM5282767","none.IL4 sam4_L001","SE.IL4IL13 sam11_L001",0.906243297142821,FALSE
"GSE173902","GSM5282761","GSM5282767","SE.IL4 sam5_L001","SE.IL4IL13 sam11_L001",0.905292960143195,FALSE
"GSE173902","GSM5282762","GSM5282767","SA.IL4 sam6_L001","SE.IL4IL13 sam11_L001",0.907155687060764,FALSE
"GSE173902","GSM5282763","GSM5282767","none.IL13 sam7_L001","SE.IL4IL13 sam11_L001",0.903444997491952,FALSE
"GSE173902","GSM5282764","GSM5282767","SE.IL13 sam8_L001","SE.IL4IL13 sam11_L001",0.905377549093038,FALSE
"GSE173902","GSM5282765","GSM5282767","SA.IL13 sam9_L001","SE.IL4IL13 sam11_L001",0.903617339612136,FALSE
"GSE173902","GSM5282766","GSM5282767","none.IL4IL13 sam10_L001","SE.IL4IL13 sam11_L001",0.904081537575812,FALSE
"GSE173902","GSM5282757","GSM5282768","none.none sam1_L001","SA.IL4IL13 sam12_L001",0.900952647313333,FALSE
"GSE173902","GSM5282758","GSM5282768","SE.none sam2_L001","SA.IL4IL13 sam12_L001",0.900617291366411,FALSE
"GSE173902","GSM5282759","GSM5282768","SA.none sam3_L001","SA.IL4IL13 sam12_L001",0.902698812997088,FALSE
"GSE173902","GSM5282760","GSM5282768","none.IL4 sam4_L001","SA.IL4IL13 sam12_L001",0.905953331448735,FALSE
"GSE173902","GSM5282761","GSM5282768","SE.IL4 sam5_L001","SA.IL4IL13 sam12_L001",0.906139798545595,FALSE
"GSE173902","GSM5282762","GSM5282768","SA.IL4 sam6_L001","SA.IL4IL13 sam12_L001",0.907635708029762,FALSE
"GSE173902","GSM5282763","GSM5282768","none.IL13 sam7_L001","SA.IL4IL13 sam12_L001",0.903543649017029,FALSE
"GSE173902","GSM5282764","GSM5282768","SE.IL13 sam8_L001","SA.IL4IL13 sam12_L001",0.905600483000388,FALSE
"GSE173902","GSM5282765","GSM5282768","SA.IL13 sam9_L001","SA.IL4IL13 sam12_L001",0.903421578801862,FALSE
"GSE173902","GSM5282766","GSM5282768","none.IL4IL13 sam10_L001","SA.IL4IL13 sam12_L001",0.904105221934643,FALSE
"GSE173902","GSM5282767","GSM5282768","SE.IL4IL13 sam11_L001","SA.IL4IL13 sam12_L001",0.905674515215687,FALSE
"GSE173902","GSM5282757","GSM5282769","none.none sam1_L001","none.IL22 sam13_L001",0.908255593071255,FALSE
"GSE173902","GSM5282758","GSM5282769","SE.none sam2_L001","none.IL22 sam13_L001",0.903834205566369,FALSE
"GSE173902","GSM5282759","GSM5282769","SA.none sam3_L001","none.IL22 sam13_L001",0.907521165909018,FALSE
"GSE173902","GSM5282760","GSM5282769","none.IL4 sam4_L001","none.IL22 sam13_L001",0.906365302129153,FALSE
"GSE173902","GSM5282761","GSM5282769","SE.IL4 sam5_L001","none.IL22 sam13_L001",0.900886711226454,FALSE
"GSE173902","GSM5282762","GSM5282769","SA.IL4 sam6_L001","none.IL22 sam13_L001",0.902080677384461,FALSE
"GSE173902","GSM5282763","GSM5282769","none.IL13 sam7_L001","none.IL22 sam13_L001",0.902660721478902,FALSE
"GSE173902","GSM5282764","GSM5282769","SE.IL13 sam8_L001","none.IL22 sam13_L001",0.900191650189887,FALSE
"GSE173902","GSM5282765","GSM5282769","SA.IL13 sam9_L001","none.IL22 sam13_L001",0.897489837101037,FALSE
"GSE173902","GSM5282766","GSM5282769","none.IL4IL13 sam10_L001","none.IL22 sam13_L001",0.904574229811301,FALSE
"GSE173902","GSM5282767","GSM5282769","SE.IL4IL13 sam11_L001","none.IL22 sam13_L001",0.900585474020167,FALSE
"GSE173902","GSM5282768","GSM5282769","SA.IL4IL13 sam12_L001","none.IL22 sam13_L001",0.900204500270142,FALSE
"GSE173902","GSM5282757","GSM5282770","none.none sam1_L001","SE.IL22 sam14_L001",0.907705064283933,FALSE
"GSE173902","GSM5282758","GSM5282770","SE.none sam2_L001","SE.IL22 sam14_L001",0.905735656866098,FALSE
"GSE173902","GSM5282759","GSM5282770","SA.none sam3_L001","SE.IL22 sam14_L001",0.908477121966698,FALSE
"GSE173902","GSM5282760","GSM5282770","none.IL4 sam4_L001","SE.IL22 sam14_L001",0.903618461891065,FALSE
"GSE173902","GSM5282761","GSM5282770","SE.IL4 sam5_L001","SE.IL22 sam14_L001",0.902800441139099,FALSE
"GSE173902","GSM5282762","GSM5282770","SA.IL4 sam6_L001","SE.IL22 sam14_L001",0.903917325556794,FALSE
"GSE173902","GSM5282763","GSM5282770","none.IL13 sam7_L001","SE.IL22 sam14_L001",0.900850543423467,FALSE
"GSE173902","GSM5282764","GSM5282770","SE.IL13 sam8_L001","SE.IL22 sam14_L001",0.902772642092105,FALSE
"GSE173902","GSM5282765","GSM5282770","SA.IL13 sam9_L001","SE.IL22 sam14_L001",0.897964881523672,FALSE
"GSE173902","GSM5282766","GSM5282770","none.IL4IL13 sam10_L001","SE.IL22 sam14_L001",0.902182325660588,FALSE
"GSE173902","GSM5282767","GSM5282770","SE.IL4IL13 sam11_L001","SE.IL22 sam14_L001",0.902465011398872,FALSE
"GSE173902","GSM5282768","GSM5282770","SA.IL4IL13 sam12_L001","SE.IL22 sam14_L001",0.903484563627971,FALSE
"GSE173902","GSM5282769","GSM5282770","none.IL22 sam13_L001","SE.IL22 sam14_L001",0.906828321638861,FALSE
"GSE173902","GSM5282757","GSM5282771","none.none sam1_L001","SA.IL22 sam15_L001",0.907758225917036,FALSE
"GSE173902","GSM5282758","GSM5282771","SE.none sam2_L001","SA.IL22 sam15_L001",0.907462259451604,FALSE
"GSE173902","GSM5282759","GSM5282771","SA.none sam3_L001","SA.IL22 sam15_L001",0.909444789618106,FALSE
"GSE173902","GSM5282760","GSM5282771","none.IL4 sam4_L001","SA.IL22 sam15_L001",0.905037104749445,FALSE
"GSE173902","GSM5282761","GSM5282771","SE.IL4 sam5_L001","SA.IL22 sam15_L001",0.904583811436671,FALSE
"GSE173902","GSM5282762","GSM5282771","SA.IL4 sam6_L001","SA.IL22 sam15_L001",0.905549534132092,FALSE
"GSE173902","GSM5282763","GSM5282771","none.IL13 sam7_L001","SA.IL22 sam15_L001",0.902129829555432,FALSE
"GSE173902","GSM5282764","GSM5282771","SE.IL13 sam8_L001","SA.IL22 sam15_L001",0.903883216839812,FALSE
"GSE173902","GSM5282765","GSM5282771","SA.IL13 sam9_L001","SA.IL22 sam15_L001",0.89967731659762,FALSE
"GSE173902","GSM5282766","GSM5282771","none.IL4IL13 sam10_L001","SA.IL22 sam15_L001",0.902524765157258,FALSE
"GSE173902","GSM5282767","GSM5282771","SE.IL4IL13 sam11_L001","SA.IL22 sam15_L001",0.900854420317804,FALSE
"GSE173902","GSM5282768","GSM5282771","SA.IL4IL13 sam12_L001","SA.IL22 sam15_L001",0.903015693000966,FALSE
"GSE173902","GSM5282769","GSM5282771","none.IL22 sam13_L001","SA.IL22 sam15_L001",0.907590452253112,FALSE
"GSE173902","GSM5282770","GSM5282771","SE.IL22 sam14_L001","SA.IL22 sam15_L001",0.907745802555057,FALSE
"GSE173902","GSM5282757","GSM5282772","none.none sam1_L001","none.IFNg sam19_L001",0.892179036881925,FALSE
"GSE173902","GSM5282758","GSM5282772","SE.none sam2_L001","none.IFNg sam19_L001",0.888223979091814,FALSE
"GSE173902","GSM5282759","GSM5282772","SA.none sam3_L001","none.IFNg sam19_L001",0.890224688318947,FALSE
"GSE173902","GSM5282760","GSM5282772","none.IL4 sam4_L001","none.IFNg sam19_L001",0.892219067148516,FALSE
"GSE173902","GSM5282761","GSM5282772","SE.IL4 sam5_L001","none.IFNg sam19_L001",0.888919529213918,FALSE
"GSE173902","GSM5282762","GSM5282772","SA.IL4 sam6_L001","none.IFNg sam19_L001",0.891907011787222,FALSE
"GSE173902","GSM5282763","GSM5282772","none.IL13 sam7_L001","none.IFNg sam19_L001",0.889968801907221,FALSE
"GSE173902","GSM5282764","GSM5282772","SE.IL13 sam8_L001","none.IFNg sam19_L001",0.888840759291623,FALSE
"GSE173902","GSM5282765","GSM5282772","SA.IL13 sam9_L001","none.IFNg sam19_L001",0.886414448063658,FALSE
"GSE173902","GSM5282766","GSM5282772","none.IL4IL13 sam10_L001","none.IFNg sam19_L001",0.890721373921897,FALSE
"GSE173902","GSM5282767","GSM5282772","SE.IL4IL13 sam11_L001","none.IFNg sam19_L001",0.888519835649882,FALSE
"GSE173902","GSM5282768","GSM5282772","SA.IL4IL13 sam12_L001","none.IFNg sam19_L001",0.889154572744185,FALSE
"GSE173902","GSM5282769","GSM5282772","none.IL22 sam13_L001","none.IFNg sam19_L001",0.891425690978246,FALSE
"GSE173902","GSM5282770","GSM5282772","SE.IL22 sam14_L001","none.IFNg sam19_L001",0.890076961545022,FALSE
"GSE173902","GSM5282771","GSM5282772","SA.IL22 sam15_L001","none.IFNg sam19_L001",0.891478343677184,FALSE
"GSE173902","GSM5282757","GSM5282773","none.none sam1_L001","SE.IFNg sam20_L001",0.887440570844752,FALSE
"GSE173902","GSM5282758","GSM5282773","SE.none sam2_L001","SE.IFNg sam20_L001",0.884841026254022,FALSE
"GSE173902","GSM5282759","GSM5282773","SA.none sam3_L001","SE.IFNg sam20_L001",0.889587904438041,FALSE
"GSE173902","GSM5282760","GSM5282773","none.IL4 sam4_L001","SE.IFNg sam20_L001",0.8907827682553,FALSE
"GSE173902","GSM5282761","GSM5282773","SE.IL4 sam5_L001","SE.IFNg sam20_L001",0.888668365154581,FALSE
