"study","cluster","n_t","n_c","n_t_bio","n_c_bio","n_geni","SE_corsie","SE_sommato","rapporto_SE","cor_logFC","scarto_logFC_med"
"GSE173902","cgroup_L5_034592d9",2,2,1,1,NA,NA,NA,NA,NA,NA
"GSE115542","cgroup_L5_03d0ca7b",12,12,3,3,12961,0.212587104730939,0.453805610613829,2.16236149401102,0.996010822408094,0.0303509479568141
"GSE173902","cgroup_L5_2ab433c8",2,2,1,1,NA,NA,NA,NA,NA,NA
"GSE173902","cgroup_L5_49d55bfd",2,2,1,1,NA,NA,NA,NA,NA,NA
"GSE173902","cgroup_L5_87c40ebb",2,2,1,1,NA,NA,NA,NA,NA,NA
"GSE173902","cgroup_L5_a7509255",2,2,1,1,NA,NA,NA,NA,NA,NA
"GSE178340","cgroup_L5_a8ff7b6d",12,12,3,3,12456,0.0579181596041123,0.0676538975785755,1.19546570556486,0.99493943630823,0.00332231151302831
"GSE173902","cgroup_L5_be15b706",2,2,1,1,NA,NA,NA,NA,NA,NA
"GSE116899","cgroup_L5_f29dd3b3",10,3,5,2,12790,0.284823609737407,0.358433778450749,1.30931153021355,0.968673836539046,0.0439690032657931
