"studio","ta","tb","r_pearson","r_spearman","stessa_libreria"
"GSE173902","SA.IL4 sam6_L001","SE.IL4IL13 sam11_L001",0.991223883205275,0.992524929508937,FALSE
"GSE173902","none.IL13 sam7_L001","SE.IL4IL13 sam11_L001",0.985143620055542,0.986672656805863,FALSE
"GSE173902","SE.IL13 sam8_L001","SE.IL4IL13 sam11_L001",0.990958700705104,0.992385607223845,FALSE
"GSE173902","SA.IL13 sam9_L001","SE.IL4IL13 sam11_L001",0.991115249804487,0.992645712714969,FALSE
"GSE173902","none.IL4IL13 sam10_L001","SE.IL4IL13 sam11_L001",0.984033257140107,0.985696037718501,FALSE
"GSE173902","none.none sam1_L001","SA.IL4IL13 sam12_L001",0.959099005115591,0.961121334391896,FALSE
"GSE173902","SE.none sam2_L001","SA.IL4IL13 sam12_L001",0.965419205620883,0.966985140237468,FALSE
"GSE173902","SA.none sam3_L001","SA.IL4IL13 sam12_L001",0.973694828738104,0.975297743063122,FALSE
"GSE173902","none.IL4 sam4_L001","SA.IL4IL13 sam12_L001",0.982868542065489,0.98451486102481,FALSE
"GSE173902","SE.IL4 sam5_L001","SA.IL4IL13 sam12_L001",0.991996583064655,0.99288728848269,FALSE
"GSE173902","SA.IL4 sam6_L001","SA.IL4IL13 sam12_L001",0.992580661075717,0.993560284766475,FALSE
"GSE173902","none.IL13 sam7_L001","SA.IL4IL13 sam12_L001",0.981707597006156,0.983010683624518,FALSE
"GSE173902","SE.IL13 sam8_L001","SA.IL4IL13 sam12_L001",0.989100649945021,0.98998902577437,FALSE
"GSE173902","SA.IL13 sam9_L001","SA.IL4IL13 sam12_L001",0.988788772103583,0.989940213389422,FALSE
"GSE173902","none.IL4IL13 sam10_L001","SA.IL4IL13 sam12_L001",0.98257721847387,0.983949789914403,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","SA.IL4IL13 sam12_L001",0.990123073748956,0.991254504495713,FALSE
"GSE173902","none.none sam1_L001","none.IL22 sam13_L001",0.985352242360379,0.98675018601258,FALSE
"GSE173902","SE.none sam2_L001","none.IL22 sam13_L001",0.978714402471917,0.980572584118605,FALSE
"GSE173902","SA.none sam3_L001","none.IL22 sam13_L001",0.984648918283619,0.986331510085314,FALSE
"GSE173902","none.IL4 sam4_L001","none.IL22 sam13_L001",0.976023198763274,0.978352403443564,FALSE
"GSE173902","SE.IL4 sam5_L001","none.IL22 sam13_L001",0.966675083135247,0.969626339369692,FALSE
"GSE173902","SA.IL4 sam6_L001","none.IL22 sam13_L001",0.968869486847685,0.971375870788705,FALSE
"GSE173902","none.IL13 sam7_L001","none.IL22 sam13_L001",0.976254692785173,0.978442767589449,FALSE
"GSE173902","SE.IL13 sam8_L001","none.IL22 sam13_L001",0.966729875403602,0.969490626826088,FALSE
