"cluster_id","n_treated","n_ricostruiti","n_entita_distinte","entita","n_label_distinte","scarti","k","canonical_name","kind_effective_resolved","agent_id_resolved"
"group_L1_2999e81d",4,4,2,"STR:advanced_alzheimer_s_disease | STR:alzheimer_s_disease_late_stage",3,"delta_multiclasse,no_delta",6,"Alzheimer's disease","disease_vs_normal","MeSH:D000544"
"group_L1_2f2ba9ff",2,1,0,"",2,"no_entity",9,"Breast Neoplasms","disease_vs_normal","MeSH:D001943"
"group_L1_30b7ae94",6,5,1,"STR:basal",4,"no_delta",5,"breast cancer","disease_vs_normal","MeSH:D001943"
"group_L1_3f390971",63,16,3,"STR:active | STR:moderate_stroke | STR:pregnant",63,"delta_multiclasse,str_generico",9,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L1_443641a6",2,2,0,"",2,"str_generico",7,NA,"none","UNK"
"group_L1_496145be",4,1,0,"",4,"str_generico",5,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L1_56195a0a",12,12,7,"STR:hook | STR:positive_group_iii_iii | STR:positive_group_iii_iv | STR:positive_group_iv_iii | STR:positive_group_iv_iv | STR:positive_na_iv | STR:severe_recovered",12,"entita_costante,str_generico",5,"acute myeloid leukemia","environmental","MeSH:D015470"
"group_L1_5ac688a1",3,3,1,"STR:fever_post_vaccination",3,"",6,"Mycobacterium tuberculosis","pathogen_or_aggregate_exposure","NCBITaxon:1773"
"group_L1_5d50b5b1",8,2,2,"STR:adult_mixed_phenotype_acute_leukemia | STR:pretreatment",8,"",6,"acute myeloid leukemia","disease_vs_normal","MeSH:D015470"
"group_L1_61604f73",5,4,2,"STR:high_ar_expression | STR:therapeutic_sensitive",5,"str_generico",7,"Breast Neoplasms","disease_vs_normal","MeSH:D001943"
"group_L1_619fb9c6",12,5,1,"STR:ab_positive",12,"no_delta,str_generico",6,"Mycobacterium tuberculosis","pathogen_or_aggregate_exposure","NCBITaxon:1773"
"group_L1_69c99602",4,2,0,"",4,"no_delta",11,NA,"none","UNK"
"group_L1_6d1b5757",1,1,0,"",1,"no_delta",18,NA,"vehicle_only","UNK"
"group_L1_70c503a4",20,18,10,"MeSH:D007251 | MeSH:D049590 | STR:active_tb | STR:bacteria | STR:first_infection | STR:positive_interval | STR:respiratory_virus | STR:second_infection | STR:third_infection | STR:tuberculosis",20,"delta_multiclasse,str_generico",11,"Mycobacterium tuberculosis","pathogen_or_aggregate_exposure","NCBITaxon:1773"
"group_L1_71a049f9",3,0,0,"",3,"",9,NA,"none","UNK"
"group_L1_729dad9b",3,1,1,"STR:newborn",3,"",24,NA,"none","UNK"
